epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.240541573059994E+00,  1.890422224543093E+01,  8.563035319460151E-02, -6.104790721030293E-03, -2.902058874826083E-04, -2.290895470622971E-03
A.D. 1950-Jul-01, -1.954306479805732E+00,  1.881169960635708E+01,  9.592497676294308E-02, -2.719681749453097E-03, -1.251921179881948E-03, -2.819515653662179E-03
A.D. 1951-Jan-01, -2.677549130252777E+00,  1.869004788051031E+01,  1.048202750910845E-01, -2.789370666999351E-03, -1.388772458162724E-03, -2.858585295270334E-03
A.D. 1951-Jul-01, -3.386576660446727E+00,  1.854366395040821E+01,  1.142300349350909E-01, -7.902590729144077E-04, -1.567943144300863E-03,  4.137581032342119E-05
A.D. 1952-Jan-01, -4.101492172435864E+00,  1.836695867097398E+01,  1.228516266475526E-01, -7.660458878685103E-04, -1.730990987675985E-03, -5.450345534999049E-05
A.D. 1952-Jul-01, -4.801778280493981E+00,  1.816448044495850E+01,  1.302059056562811E-01, -3.279176539146930E-03, -1.736064162965427E-03, -3.043747713782172E-03
A.D. 1953-Jan-01, -5.503970982920900E+00,  1.793265303911704E+01,  1.384271409995349E-01, -3.330637173000443E-03, -1.868418807613716E-03, -3.063532105741799E-03
A.D. 1953-Jul-01, -6.187683380337220E+00,  1.767807521451548E+01,  1.473584362801918E-01, -7.370282988509866E-04, -2.239466395637600E-03, -6.600466587155336E-04
A.D. 1954-Jan-01, -6.872489092728322E+00,  1.739183581201754E+01,  1.551866654576841E-01, -7.093798345886607E-04, -2.394635085390083E-03, -7.562866983597959E-04
A.D. 1954-Jul-01, -7.537202973691582E+00,  1.708411522254517E+01,  1.622207111761811E-01, -1.654723078061346E-03, -1.862039071194414E-03,  2.523612284563471E-03
A.D. 1955-Jan-01, -8.199965114538710E+00,  1.674462925866185E+01,  1.696067652388887E-01, -1.515766430104145E-03, -2.030034704794556E-03,  2.461344240104469E-03
A.D. 1955-Jul-01, -8.839594282719426E+00,  1.638492355568710E+01,  1.752052085999530E-01, -4.818565735934074E-03, -1.375676373399336E-03,  2.845498715345889E-03
A.D. 1956-Jan-01, -9.475780328484786E+00,  1.599390861218477E+01,  1.820581623245653E-01, -4.651706178074519E-03, -1.527267750538885E-03,  2.886657420830482E-03
A.D. 1956-Jul-01, -1.008982198393307E+01,  1.558249597861363E+01,  1.900326845189192E-01, -8.687322161990633E-04, -2.591307967686411E-03,  2.022642426004078E-03
A.D. 1957-Jan-01, -1.069492667570701E+01,  1.514203751713462E+01,  1.962831491892429E-01, -7.211554159074564E-04, -2.746133187655138E-03,  1.944259117274429E-03
A.D. 1957-Jul-01, -1.127394592506002E+01,  1.468538505047677E+01,  2.007910021518743E-01, -3.808213486681565E-03, -2.015589405203738E-03,  3.085827505812916E-03
A.D. 1958-Jan-01, -1.184407591009889E+01,  1.419828835954739E+01,  2.064194490762112E-01, -3.612859045868342E-03, -2.156942225562846E-03,  3.105809346134113E-03
A.D. 1958-Jul-01, -1.238532953181394E+01,  1.369691134531391E+01,  2.106173893728435E-01, -5.975182078481073E-03, -2.077205099811130E-03,  6.362871786244869E-04
A.D. 1959-Jan-01, -1.291673522923423E+01,  1.316616484786029E+01,  2.155422542593278E-01, -5.841769917582960E-03, -2.183793342684199E-03,  7.312932861149444E-04
A.D. 1959-Jul-01, -1.341779611780280E+01,  1.262355909619816E+01,  2.205209279149224E-01, -4.627736770630823E-03, -2.987190042149124E-03, -2.527777311625679E-03
A.D. 1960-Jan-01, -1.390701674371137E+01,  1.205243937926375E+01,  2.246996003793772E-01, -4.582828169025544E-03, -3.068476367905284E-03, -2.471083979034241E-03
A.D. 1960-Jul-01, -1.437032226480594E+01,  1.146906784096740E+01,  2.281252866049642E-01, -5.276476258192120E-03, -2.463050914885506E-03,  1.306582632717370E-03
A.D. 1961-Jan-01, -1.481419615619727E+01,  1.086099975725609E+01,  2.316181847970643E-01, -5.105595430712095E-03, -2.556180851166511E-03,  1.392469657605119E-03
A.D. 1961-Jul-01, -1.522616576300211E+01,  1.024576208711942E+01,  2.348544887047076E-01, -4.628796489608873E-03, -3.201534590644583E-03, -2.056336329012062E-03
A.D. 1962-Jan-01, -1.562209575091753E+01,  9.604485076653773E+00,  2.375574899263077E-01, -4.552875624852930E-03, -3.264305063227411E-03, -1.985357514616143E-03
A.D. 1962-Jul-01, -1.598660712535278E+01,  8.958778437598113E+00,  2.411985619995910E-01, -1.170658551155806E-03, -4.199718412014089E-03, -3.020444077721434E-03
A.D. 1963-Jan-01, -1.633213599001646E+01,  8.288017766290785E+00,  2.431273803324210E-01, -1.122459925140795E-03, -4.258354857071029E-03, -3.047449949781416E-03
A.D. 1963-Jul-01, -1.664742342875043E+01,  7.615429033112225E+00,  2.456188747701292E-01,  1.388127548289897E-03, -4.489095387651495E-03, -4.744445545622481E-04
A.D. 1964-Jan-01, -1.694032344222084E+01,  6.918989761960844E+00,  2.468074947257072E-01,  1.516713842054112E-03, -4.562971978800954E-03, -5.696754646363259E-04
A.D. 1964-Jul-01, -1.720220994279359E+01,  6.218476503980414E+00,  2.464353376008366E-01, -1.277547269630686E-03, -4.333972698664956E-03, -3.147778684819508E-03
A.D. 1965-Jan-01, -1.744027432413447E+01,  5.500309522064885E+00,  2.468093723036359E-01, -1.218474462704826E-03, -4.367564615705741E-03, -3.153913112277330E-03
A.D. 1965-Jul-01, -1.764755734414307E+01,  4.785081154113877E+00,  2.479664181749907E-01,  1.789730202727673E-03, -4.763191151117250E-03, -1.157591096021575E-03
A.D. 1966-Jan-01, -1.782891166956943E+01,  4.049561410838463E+00,  2.475727793508369E-01,  1.908612690386879E-03, -4.808140479689688E-03, -1.248375141514551E-03
A.D. 1966-Jul-01, -1.798020532153704E+01,  3.319466885889146E+00,  2.465671899810243E-01,  1.569445435090848E-03, -4.260690241901803E-03,  2.153131169155756E-03
A.D. 1967-Jan-01, -1.810329702576396E+01,  2.571287802012382E+00,  2.454174736688318E-01,  1.792808648318881E-03, -4.312174790432061E-03,  2.079764774716293E-03
A.D. 1967-Jul-01, -1.819569840527834E+01,  1.830791175317414E+00,  2.425265729666508E-01, -1.312087693759879E-03, -3.491129237594183E-03,  2.983598681453096E-03
A.D. 1968-Jan-01, -1.825943982089094E+01,  1.074935160481849E+00,  2.405919393193091E-01, -1.055031372355699E-03, -3.521659583396703E-03,  3.011596176245575E-03
A.D. 1968-Jul-01, -1.829217330660342E+01,  3.254321129233085E-01,  2.396955679370722E-01,  2.618176173912247E-03, -4.496613872108522E-03,  1.579425580875360E-03
A.D. 1969-Jan-01, -1.829575732328848E+01, -4.330040091474492E-01,  2.369509980417828E-01,  2.827855187599073E-03, -4.518048606383471E-03,  1.492604935845012E-03
A.D. 1969-Jul-01, -1.827048164649073E+01, -1.178454994641184E+00,  2.326248133393997E-01,  3.046568619342743E-05, -3.636367987469695E-03,  3.120000763372665E-03
A.D. 1970-Jan-01, -1.821418013349930E+01, -1.934269440042840E+00,  2.291287098255596E-01,  2.902463341965039E-04, -3.642290886938092E-03,  3.125234304637414E-03
A.D. 1970-Jul-01, -1.812871645675161E+01, -2.674932233472184E+00,  2.241667122283875E-01, -2.351710904032923E-03, -3.296298840220793E-03,  1.043696211531254E-03
A.D. 1971-Jan-01, -1.801312516321902E+01, -3.423024447041559E+00,  2.198988615625867E-01, -2.154449140986725E-03, -3.263631433733416E-03,  1.132940854400905E-03
A.D. 1971-Jul-01, -1.786924144082841E+01, -4.153558047145694E+00,  2.156206669805260E-01, -1.387076216876418E-03, -3.835723586205220E-03, -2.274042522255202E-03
A.D. 1972-Jan-01, -1.769547160060390E+01, -4.888969400289532E+00,  2.105978672741841E-01, -1.295811274253804E-03, -3.770138213890673E-03, -2.204844416248232E-03
A.D. 1972-Jul-01, -1.749683850011323E+01, -5.608008778410602E+00,  2.051709167731584E-01, -1.395205538331140E-03, -3.128668025087279E-03,  1.674110918990326E-03
A.D. 1973-Jan-01, -1.726640859827078E+01, -6.325920697044129E+00,  1.995246518202066E-01, -1.187369978641438E-03, -3.075400976288480E-03,  1.755028391170174E-03
A.D. 1973-Jul-01, -1.701128034254858E+01, -7.022216921963188E+00,  1.936106272209501E-01, -1.201858183311537E-03, -3.464734966672627E-03, -1.727067510217524E-03
A.D. 1974-Jan-01, -1.672643035061709E+01, -7.718266134204267E+00,  1.872969013908066E-01, -1.103287136316331E-03, -3.377438669196223E-03, -1.646640051902078E-03
A.D. 1974-Jul-01, -1.641966193235153E+01, -8.390690991762597E+00,  1.820701577523716E-01,  2.076218858091432E-03, -4.183318390050607E-03, -3.161311499865106E-03
A.D. 1975-Jan-01, -1.608276304734045E+01, -9.060873794434748E+00,  1.751641269665103E-01,  2.121045870804935E-03, -4.088370134089368E-03, -3.173850865136296E-03
