epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.418176830937778E+00, -3.765248707063710E+00, -6.093105445397013E-02,  7.316958296593135E-03,  9.840674773123080E-03,  2.809882858203369E-05
A.D. 1950-Jul-01,  4.265835427660017E+00, -2.661959234296822E+00, -8.505636330367849E-02,  8.562892784006177E-03,  7.732596622443319E-03, -3.104114191320359E-05
A.D. 1951-Jan-01,  4.805354477095822E+00, -1.326301325640710E+00, -1.025484969625370E-01,  6.362147573563895E-03,  9.331182684712827E-03,  3.321223135260470E-05
A.D. 1951-Jul-01,  4.944817300769371E+00,  9.217118416588362E-02, -1.118322742243830E-01,  3.630171943926351E-03,  5.182976510254888E-03, -8.024917971414317E-05
A.D. 1952-Jan-01,  4.698314646318521E+00,  1.522522832782938E+00, -1.121674700470657E-01,  1.832163907242403E-03,  5.455816452233552E-03, -2.948255367380656E-06
A.D. 1952-Jul-01,  4.067406070194323E+00,  2.819940369887016E+00, -1.033434212163552E-01, -2.036734904794451E-03,  2.472607130555003E-03, -4.552310990185221E-05
A.D. 1953-Jan-01,  3.106037946338080E+00,  3.895973572076218E+00, -8.624825797109022E-02, -3.018795165191475E-03,  1.393153176598054E-03,  1.811237788877446E-05
A.D. 1953-Jul-01,  1.913368950545221E+00,  4.664031189229176E+00, -6.230937325069057E-02, -8.402022028546081E-03, -1.265866246528814E-03, -2.624700296334497E-05
A.D. 1954-Jan-01,  5.545824564291567E-01,  5.072321441755462E+00, -3.362829048650411E-02, -8.204636167443153E-03, -3.467023897985907E-03, -3.546639888886532E-06
A.D. 1954-Jul-01, -8.176238980839390E-01,  5.114399040601687E+00, -2.456759307234721E-03, -1.172922351213406E-02, -2.986009592781754E-03,  5.092556640174639E-05
A.D. 1955-Jan-01, -2.162988481865302E+00,  4.780790014877582E+00,  2.896454941649873E-02, -1.076086759165527E-02, -5.537146033695557E-03,  2.825728891777636E-05
A.D. 1955-Jul-01, -3.327980305985391E+00,  4.131348699184721E+00,  5.819582453988544E-02, -1.043056697678107E-02, -2.854839504428461E-03,  1.550211471912408E-04
A.D. 1956-Jan-01, -4.304340230444945E+00,  3.195862722206298E+00,  8.387320981937095E-02, -9.228509867396708E-03, -4.901966873872465E-03,  1.022425838700943E-04
A.D. 1956-Jul-01, -4.986853518635958E+00,  2.062697779967074E+00,  1.039142719469502E-01, -6.375014695843090E-03, -3.339510403269292E-03,  1.698050209382171E-04
A.D. 1957-Jan-01, -5.370466296118237E+00,  7.924153482011249E-01,  1.177274741245844E-01, -5.062717724030704E-03, -4.410861589811745E-03,  1.061959620413291E-04
A.D. 1957-Jul-01, -5.414771140548655E+00, -5.169383747957602E-01,  1.238747101287977E-01,  6.815401268516504E-04, -2.398585672680580E-03,  1.817285451234247E-04
A.D. 1958-Jan-01, -5.134019211810821E+00, -1.803424896501091E+00,  1.229434460266811E-01,  1.708361168651005E-03, -2.061902749914405E-03,  1.295396844576370E-04
A.D. 1958-Jul-01, -4.552696899169042E+00, -2.974087444965883E+00,  1.141633726978142E-01,  7.547346898839387E-03, -2.758248872865309E-03,  8.574917339114029E-05
