epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.395504753308936E+00,  9.042519680742628E-01,  5.334262414193703E-02, -6.429751099138374E-03, -1.025485470679780E-02, -3.592741200343554E-04
A.D. 1950-Jul-01, -1.003286883232106E+00, -1.182270789754649E+00, -2.652058660145591E-06,  1.057222125597965E-02, -7.554206360278222E-03, -9.352566249299748E-05
A.D. 1951-Jan-01,  1.268545300787609E+00, -5.455481494703566E-01, -4.279815323668806E-02,  6.365783365673739E-03,  1.476431122880443E-02,  4.715438877862795E-05
A.D. 1951-Jul-01,  2.190623185376005E-01,  1.534809493002238E+00,  2.675226430026689E-02, -1.397346938351480E-02,  2.884216879870595E-03,  7.099717796296020E-04
A.D. 1952-Jan-01, -1.612006350149498E+00,  4.062184968374226E-01,  4.823371706546330E-02, -3.112216887518191E-03, -1.165137354087215E-02, -1.465858690886794E-05
A.D. 1952-Jul-01, -4.441466170374821E-01, -1.425918182524643E+00, -1.888908009801841E-02,  1.321304895312022E-02, -2.834002909082619E-03, -4.648554433404937E-05
A.D. 1953-Jan-01,  1.391639714762167E+00,  1.087962095821460E-01, -3.214114001493978E-02, -4.038190101030446E-04,  1.590892177002869E-02,  3.211588006992420E-04
A.D. 1953-Jul-01, -3.689996265897132E-01,  1.557909368456296E+00,  4.175857188035265E-02, -1.367078678701168E-02, -2.478183801110526E-03,  5.416339952531265E-04
A.D. 1954-Jan-01, -1.636393173340461E+00, -1.522023823011860E-01,  3.714707211538970E-02,  1.456723933099110E-03, -1.209768654211372E-02, -6.921956207335264E-05
A.D. 1954-Jul-01,  1.734256984866006E-01, -1.429844135902153E+00, -3.413811400812983E-02,  1.426114977891735E-02,  2.123333036686063E-03, -2.790396354366928E-04
A.D. 1955-Jan-01,  1.233749204118535E+00,  7.294950794894001E-01, -1.518028927446364E-02, -7.256811160338435E-03,  1.339551942459252E-02,  7.934704877049410E-04
A.D. 1955-Jul-01, -8.962726719016890E-01,  1.371672309182419E+00,  5.087569062156260E-02, -1.082855188903078E-02, -7.121680471574599E-03, -9.460959636815476E-05
A.D. 1956-Jan-01, -1.458278318722238E+00, -6.792461480278654E-01,  2.180032403751469E-02,  5.833037112810639E-03, -1.190738405281416E-02, -1.363965305867517E-04
A.D. 1956-Jul-01,  7.698054747833990E-01, -1.168423416306367E+00, -4.338541723420472E-02,  1.221367390848753E-02,  8.122008232734309E-03, -1.834458401048589E-04
A.D. 1957-Jan-01,  8.384914700955327E-01,  1.226571239755029E+00,  5.005043702651330E-03, -1.171508105630198E-02,  9.067038684984654E-03,  8.058829282583126E-04
A.D. 1957-Jul-01, -1.321449382529507E+00,  1.005820307502144E+00,  5.369757382954810E-02, -7.461676739194176E-03, -1.048453199905103E-02, -2.999992177292092E-04
A.D. 1958-Jan-01, -1.079242989048309E+00, -1.125763876642950E+00,  3.108513312673526E-03,  1.012207824334304E-02, -9.045313727789689E-03, -2.428368607885837E-04
A.D. 1958-Jul-01,  1.201031420787080E+00, -6.824417664273489E-01, -4.392409322892252E-02,  8.149928523233329E-03,  1.336171607976183E-02, -2.457350677645194E-04
A.D. 1959-Jan-01,  3.106699570809547E-01,  1.509517071063264E+00,  2.400311402042518E-02, -1.320427828727008E-02,  3.231575191585536E-03,  3.505494751018285E-04
A.D. 1959-Jul-01, -1.578522478578990E+00,  5.271743654955160E-01,  4.992376550945411E-02, -3.380241193835702E-03, -1.153946202793412E-02, -3.588325948768842E-04
A.D. 1960-Jan-01, -5.533191636666198E-01, -1.398777495117307E+00, -1.559280357061755E-02,  1.401203890056471E-02, -4.509926757344855E-03, -6.942660442116767E-04
A.D. 1960-Jul-01,  1.389435844647439E+00, -4.216149741516773E-02, -3.517412750830320E-02,  1.655318653213796E-03,  1.535764574921460E-02, -1.973792118346003E-05
A.D. 1961-Jan-01, -2.779562552753286E-01,  1.568963223464579E+00,  3.975877236381570E-02, -1.311368839288569E-02, -2.012480452534711E-03,  1.661742092040877E-04
A.D. 1961-Jul-01, -1.649181124158849E+00, -2.612256262394725E-02,  4.006460936429251E-02,  1.150533432851402E-03, -1.214446699778354E-02, -4.161092514049543E-04
A.D. 1962-Jan-01,  7.299237837468660E-02, -1.446874858623621E+00, -3.206359983250404E-02,  1.508641674900462E-02,  1.485197195923367E-03, -6.299501135838258E-04
A.D. 1962-Jul-01,  1.292894916924053E+00,  5.941779615787840E-01, -1.950072601229105E-02, -5.415311509774113E-03,  1.466991810688904E-02,  5.460239687256159E-04
A.D. 1963-Jan-01, -8.174043635888119E-01,  1.413871461692717E+00,  4.973782657392072E-02, -1.088184942033576E-02, -5.666091147527538E-03, -1.490639149478444E-04
A.D. 1963-Jul-01, -1.516450114130778E+00, -5.636450092639379E-01,  2.556280591634529E-02,  4.834475831885062E-03, -1.148490783218563E-02, -7.819929927283670E-05
A.D. 1964-Jan-01,  6.712808670318123E-01, -1.235046923245376E+00, -4.246781834450193E-02,  1.325241314436854E-02,  8.519072049119881E-03, -2.906777952750625E-04
A.D. 1964-Jul-01,  9.442357567300973E-01,  1.130722695136131E+00,  3.381403058579430E-04, -1.047742528124397E-02,  1.086635506612675E-02,  6.536248331508641E-04
A.D. 1965-Jan-01, -1.264175035033943E+00,  1.073011079388044E+00,  5.360019273996099E-02, -7.867554599563616E-03, -9.155454228541148E-03, -2.612355940815407E-04
A.D. 1965-Jul-01, -1.179984182430489E+00, -1.037361371576042E+00,  7.360582907969950E-03,  9.118334077544586E-03, -9.034813236398534E-03, -1.125584151997655E-04
A.D. 1966-Jan-01,  1.146979737454648E+00, -7.720884355074821E-01, -4.450136106368745E-02,  8.635309230454163E-03,  1.352589598258580E-02, -4.694448471912851E-06
A.D. 1966-Jul-01,  4.398769093730613E-01,  1.464183720535004E+00,  1.983952575221770E-02, -1.353097377979888E-02,  4.910072561957302E-03,  7.026585278992008E-04
A.D. 1967-Jan-01, -1.549105361588830E+00,  6.101865328525873E-01,  5.090374670275282E-02, -4.850764732161573E-03, -1.110923115184383E-02,  3.916771132249557E-05
A.D. 1967-Jul-01, -6.855206832904647E-01, -1.353428433215532E+00, -1.138299943481992E-02,  1.271689046940766E-02, -5.839222818972412E-03, -3.511748965131273E-04
A.D. 1968-Jan-01,  1.376778739413946E+00, -1.613969953064142E-01, -3.732955582357868E-02,  1.527952812314319E-03,  1.540114283317587E-02,  5.769927203235123E-04
A.D. 1968-Jul-01, -1.463066536484322E-01,  1.575991768626996E+00,  3.664693368174782E-02, -1.398676006571848E-02, -5.660367618494535E-04,  5.560848415561591E-04
A.D. 1969-Jan-01, -1.651872847366400E+00,  6.249068886754850E-02,  4.197529453206462E-02, -4.021752413249962E-04, -1.216062081063495E-02, -4.042479986983508E-05
A.D. 1969-Jul-01, -7.134036114695028E-02, -1.458905946809154E+00, -2.873019201074532E-02,  1.436626287051805E-02, -2.485844766913731E-04, -3.407658931266312E-04
A.D. 1970-Jan-01,  1.326133991515221E+00,  4.963458496890915E-01, -2.229368557386155E-02, -5.063351011397412E-03,  1.443654505683343E-02,  7.280104206017854E-04
A.D. 1970-Jul-01, -7.004493568635025E-01,  1.466637388770111E+00,  4.801904371140232E-02, -1.171012127425932E-02, -5.484709887323062E-03, -2.018490851344523E-05
A.D. 1971-Jan-01, -1.551617069123882E+00, -4.802337999333215E-01,  2.822180590303339E-02,  4.063228899100528E-03, -1.261083769901976E-02, -1.330019069251311E-04
A.D. 1971-Jul-01,  5.404815330928007E-01, -1.306783987847549E+00, -4.067120681550720E-02,  1.415771861547131E-02,  6.389966610443137E-03, -5.133768634508118E-04
A.D. 1972-Jan-01,  1.022004119445247E+00,  1.046860277322081E+00, -3.202663299639279E-03, -9.642577881493364E-03,  1.020454890320340E-02,  4.860177571384257E-04
A.D. 1972-Jul-01, -1.176000961817984E+00,  1.163261480418318E+00,  5.336672043860218E-02, -8.797185506516965E-03, -9.283008291155056E-03, -2.148922711880978E-04
A.D. 1973-Jan-01, -1.245906032888243E+00, -9.711836110232839E-01,  1.040717607106206E-02,  8.635636593906103E-03, -1.041376307594117E-02, -2.468303024185284E-04
A.D. 1973-Jul-01,  1.057354618322800E+00, -8.952363482936122E-01, -4.479849691881568E-02,  1.029147887468351E-02,  1.189849890128186E-02, -3.015102824282623E-04
A.D. 1974-Jan-01,  5.279772871677171E-01,  1.424865719383469E+00,  1.689214701122437E-02, -1.258643670426312E-02,  5.270900698831309E-03,  3.911398088147244E-04
A.D. 1974-Jul-01, -1.498661547417039E+00,  7.250820446557958E-01,  5.205370596591345E-02, -5.057033429002045E-03, -1.084750996313973E-02, -2.961285275951869E-04
A.D. 1975-Jan-01, -7.740561681948755E-01, -1.315730663025101E+00, -8.448701576316478E-03,  1.308890014642584E-02, -6.444606242790625E-03, -6.837292516133081E-04
A.D. 1975-Jul-01,  1.347750157463919E+00, -3.109186892631848E-01, -3.976884661803471E-02,  3.702502765837837E-03,  1.560929203168144E-02,  2.521297672551169E-04
A.D. 1976-Jan-01, -3.945245903417381E-02,  1.572663427690938E+00,  3.390295390842187E-02, -1.274206158387977E-02,  8.287142857540610E-04,  3.213481657650579E-05
A.D. 1976-Jul-01, -1.646441499936145E+00,  1.889472994861372E-01,  4.445701625023078E-02, -6.897404570696097E-04, -1.204208080368632E-02, -3.760416572200661E-04
A.D. 1977-Jan-01, -1.711079008023446E-01, -1.459284430445170E+00, -2.631476758447302E-02,  1.503345374746613E-02, -8.343545462835076E-04, -6.515288629040010E-04
A.D. 1977-Jul-01,  1.362884641544591E+00,  3.520015445374423E-01, -2.625380412896859E-02, -3.107533216073086E-03,  1.550058476192592E-02,  4.815123892841278E-04
A.D. 1978-Jan-01, -6.151522382303262E-01,  1.497703837003043E+00,  4.649296114907175E-02, -1.171404480422923E-02, -3.956399723434043E-03, -8.513551807318298E-05
A.D. 1978-Jul-01, -1.592587630558934E+00, -3.576930592619509E-01,  3.169146701220785E-02,  3.002404252852456E-03, -1.203543282631864E-02, -6.719298815663493E-05
A.D. 1979-Jan-01,  4.458694035606924E-01, -1.348596201771987E+00, -3.927087690963153E-02,  1.421860847957277E-02,  6.246036909603261E-03, -3.764959790874691E-04
A.D. 1979-Jul-01,  1.110874077510844E+00,  9.338446494600806E-01, -7.780740996761087E-03, -9.165820030678938E-03,  1.175448855716475E-02,  7.673574505394691E-04
A.D. 1980-Jan-01, -1.099788079832517E+00,  1.230344419516158E+00,  5.278267959421486E-02, -1.002462899763675E-02, -7.371214121153494E-03,  1.573428407269317E-04
A.D. 1980-Jul-01, -1.331786990847867E+00, -8.701324372788428E-01,  1.454298286762875E-02,  7.514929622468123E-03, -1.025769081311792E-02, -1.106455354679446E-04
A.D. 1981-Jan-01,  9.880805904787956E-01, -9.752362291384031E-01, -4.480974259542617E-02,  1.061389264813923E-02,  1.189125802280321E-02, -1.106884715263950E-04
A.D. 1981-Jul-01,  6.501011259617165E-01,  1.359042282012541E+00,  1.248664825092482E-02, -1.274023758015276E-02,  6.907336911617839E-03,  7.354705624765431E-04
A.D. 1982-Jan-01, -1.458149684403379E+00,  8.027069527779533E-01,  5.265386087791046E-02, -6.502077235206443E-03, -1.035519602432949E-02,  7.310745094967241E-05
A.D. 1982-Jul-01, -8.955619175188581E-01, -1.251926025272695E+00, -4.113850810027335E-03,  1.164391192886303E-02, -7.670722860756353E-03, -3.377953066379459E-04
A.D. 1983-Jan-01,  1.318643533141535E+00, -4.125759203765839E-01, -4.112368554989254E-02,  4.061303581681791E-03,  1.483681960891308E-02,  4.994320598444959E-04
A.D. 1983-Jul-01,  9.372910269101829E-02,  1.558349908920144E+00,  3.038438399749900E-02, -1.317226586573841E-02,  1.307614977455774E-03,  2.298049902749875E-04
A.D. 1984-Jan-01, -1.634978039600913E+00,  2.888952735014697E-01,  4.631900030729518E-02, -2.566325296786615E-03, -1.288391434932347E-02,  8.129202761640135E-05
A.D. 1984-Jul-01, -3.134095389207357E-01, -1.448328176448972E+00, -2.255281679960359E-02,  1.410145657935467E-02, -2.530700027160334E-03, -3.570785516811737E-04
A.D. 1985-Jan-01,  1.379673819490565E+00,  2.493664447780224E-01, -2.874103177810035E-02, -2.645304819791873E-03,  1.507700329701368E-02,  6.920644841154766E-04
A.D. 1985-Jul-01, -4.903927993002479E-01,  1.533370054307834E+00,  4.423111534800108E-02, -1.238831775581656E-02, -3.707170805179821E-03,  4.125310390264238E-05
A.D. 1986-Jan-01, -1.614896228392985E+00, -2.715214422727658E-01,  3.409062361667273E-02,  2.268392334870493E-03, -1.306231885541630E-02, -7.221080146151666E-05
A.D. 1986-Jul-01,  3.066806568378512E-01, -1.397539730020778E+00, -3.680481775209291E-02,  1.489128332298604E-02,  4.066954788550022E-03, -5.951581590949890E-04
A.D. 1987-Jan-01,  1.166730628729011E+00,  8.489698199962018E-01, -1.086419406840806E-02, -7.827387063870846E-03,  1.174163742533746E-02,  4.947358831642323E-04
A.D. 1987-Jul-01, -9.982401451493810E-01,  1.306704153085089E+00,  5.189571908108044E-02, -1.000156098781306E-02, -6.867497633822279E-03, -1.635206757054927E-04
A.D. 1988-Jan-01, -1.393392879600657E+00, -7.853253814379284E-01,  1.789168073454766E-02,  7.783324405314672E-03, -1.164439561107126E-02, -6.156542908780643E-04
A.D. 1988-Jul-01,  8.803714047379999E-01, -1.080514663784199E+00, -4.429592431376778E-02,  1.208131972729688E-02,  1.008272087981821E-02, -4.091891071997808E-04
A.D. 1989-Jan-01,  7.326376780826432E-01,  1.305865147092809E+00,  9.389395549575784E-03, -1.164064134107381E-02,  7.258254087478020E-03,  4.197720963388273E-04
A.D. 1989-Jul-01, -1.391828877924139E+00,  9.098526406007806E-01,  5.324644252410801E-02, -6.649164271380997E-03, -9.944363051292059E-03, -2.645668391462046E-04
A.D. 1990-Jan-01, -9.764376334951855E-01, -1.201373812327053E+00, -1.097289735680635E-03,  1.189869497652596E-02, -8.157386039652314E-03, -7.051392484592524E-04
A.D. 1990-Jul-01,  1.264734724992029E+00, -5.541342735755245E-01, -4.278125139448910E-02,  6.143329891407159E-03,  1.479185317487183E-02,  1.692119462496690E-04
A.D. 1991-Jan-01,  1.864869127089026E-01,  1.541503067225679E+00,  2.769642723018396E-02, -1.266015663372109E-02,  2.885896967226787E-03,  4.200673097226724E-05
A.D. 1991-Jul-01, -1.610812922439327E+00,  4.128225882496863E-01,  4.821694968242971E-02, -3.441724784585018E-03, -1.181705866909986E-02,  7.542964364271475E-05
A.D. 1992-Jan-01, -4.254588438031114E-01, -1.430441699129561E+00, -1.954975067920639E-02,  1.443817950870120E-02, -2.231931805988107E-03, -6.323344002105381E-04
A.D. 1992-Jul-01,  1.391408284982287E+00,  9.934657337615947E-02, -3.220231257923319E-02, -6.283580069381631E-04,  1.590815262531084E-02,  4.385447709617207E-04
A.D. 1993-Jan-01, -4.013877863286440E-01,  1.551842595233629E+00,  4.236219117286766E-02, -1.233893754089591E-02, -2.116609549646625E-03, -6.303351992186339E-05
A.D. 1993-Jul-01, -1.637719730358134E+00, -1.458766063197102E-01,  3.718677037964496E-02,  1.174425630270206E-03, -1.234406276154065E-02,  2.595470501865799E-06
A.D. 1994-Jan-01,  2.076731652481724E-01, -1.423378850314408E+00, -3.498207597691134E-02,  1.474476745433618E-02,  3.888721978347762E-03, -4.496497334267126E-04
A.D. 1994-Jul-01,  1.237475680479294E+00,  7.204878689725287E-01, -1.532295463772033E-02, -7.184396709159272E-03,  1.311041069649988E-02,  7.775257466692802E-04
A.D. 1995-Jan-01, -9.235789816841550E-01,  1.354952163644960E+00,  5.102818420294592E-02, -1.117709599705147E-02, -5.932228365923002E-03,  2.343124817853886E-04
A.D. 1995-Jul-01, -1.461772570423123E+00, -6.736983369912293E-01,  2.189204719471710E-02,  5.997736358639182E-03, -1.217022247094400E-02, -2.274658691488884E-04
A.D. 1996-Jan-01,  7.874208330972727E-01, -1.155902753652567E+00, -4.360711946428493E-02,  1.152133327852794E-02,  9.498120773245180E-03,  2.060064454255597E-04
A.D. 1996-Jul-01,  8.450123827935768E-01,  1.220735472101092E+00,  4.826540194013524E-03, -1.159920591614814E-02,  8.806429831456707E-03,  7.685269272322553E-04
A.D. 1997-Jan-01, -1.340515476451102E+00,  9.809399926011316E-01,  5.344277342600470E-02, -8.031473288391563E-03, -9.403297013181976E-03,  1.627668074845827E-04
A.D. 1997-Jul-01, -1.085317746748615E+00, -1.121407667715229E+00,  3.256487605909585E-03,  1.034031284067847E-02, -9.270255011717524E-03, -3.487097499611412E-04
A.D. 1998-Jan-01,  1.218601864817324E+00, -6.495728545514866E-01, -4.358444544170535E-02,  6.470972636816862E-03,  1.380403524788545E-02,  4.567303009139877E-04
A.D. 1998-Jul-01,  3.178004011367345E-01,  1.507069600496516E+00,  2.382107650003896E-02, -1.288357826199626E-02,  3.368492570173579E-03,  2.290848847123373E-04
A.D. 1999-Jan-01, -1.588089559710491E+00,  4.972900759963700E-01,  4.948886781446760E-02, -4.292193544693357E-03, -1.248686196104394E-02,  1.476610622068749E-04
A.D. 1999-Jul-01, -5.611511928121645E-01, -1.396964476131444E+00, -1.544997623835159E-02,  1.415407810234717E-02, -4.296844420531823E-03, -7.644552901910203E-04
A.D. 2000-Jan-01,  1.390232661615676E+00, -2.095296548134463E-02, -3.454810980730942E-02,  4.799849482151911E-04,  1.445993121478433E-02,  3.969423748644142E-04
A.D. 2000-Jul-01, -2.709470794128490E-01,  1.569295625351016E+00,  3.958366204292395E-02, -1.284421641908515E-02, -1.803744767968234E-03,  4.931142107957710E-05
A.D. 2001-Jan-01, -1.647424309387431E+00, -5.739916932565941E-02,  3.933521570049868E-02,  4.562184687781776E-04, -1.327167926103727E-02, -3.320849252410660E-05
A.D. 2001-Jul-01,  6.461756169517084E-02, -1.448162617046132E+00, -3.191654181580646E-02,  1.519505309243764E-02,  1.722085932854523E-03, -6.804814507666388E-04
A.D. 2002-Jan-01,  1.279299649633145E+00,  6.273988936098006E-01, -1.822888974063470E-02, -5.738193941811020E-03,  1.298600848062256E-02,  4.350932972025073E-04
A.D. 2002-Jul-01, -8.112214188316277E-01,  1.416824984973209E+00,  4.956580531797788E-02, -1.104291167775773E-02, -5.300432474563857E-03, -9.990430860530755E-05
A.D. 2003-Jan-01, -1.503809566749036E+00, -5.926816315464465E-01,  2.458343588343688E-02,  6.047894636043162E-03, -1.245047653762711E-02, -6.339554420142357E-04
A.D. 2003-Jul-01,  6.628756588828519E-01, -1.239936623691730E+00, -4.233093513267960E-02,  1.300790720345952E-02,  8.567505407211271E-03, -1.680197970321991E-04
A.D. 2004-Jan-01,  9.289644069390558E-01,  1.144742471101428E+00,  1.168153635839366E-03, -9.652586402370917E-03,  9.881726247329093E-03,  1.023976562474402E-04
A.D. 2004-Jul-01, -1.259918992811142E+00,  1.077743636255919E+00,  5.347745726131815E-02, -8.102358828112888E-03, -8.845026812196736E-03, -1.826305758325107E-04
A.D. 2005-Jan-01, -1.156871987804695E+00, -1.060377798460898E+00,  6.241573159812172E-03,  1.049390020060208E-02, -9.622025607978863E-03, -7.398837995078195E-04
