epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.006547757234257E+00,  2.502513624607801E+00,  3.128169109428523E-01, -7.230576020856538E-03, -3.504435148546274E-03, -2.931461076209594E-04
A.D. 1950-Jul-01, -9.278321470938774E+00,  1.515165108005269E+00,  3.410780699035583E-01, -6.241287428846411E-03, -7.776176575564463E-03,  1.820726002447851E-03
A.D. 1951-Jan-01, -9.443259851849492E+00,  4.909804177066151E-01,  3.670282657231432E-01,  1.495090925641000E-03, -1.044793693259130E-02,  2.472234206016208E-03
A.D. 1951-Jul-01, -9.494353944214010E+00, -5.208602274681108E-01,  3.873872483780352E-01,  5.402206160537772E-03, -7.633734381942004E-03,  6.504327761985791E-04
A.D. 1952-Jan-01, -9.435582591819387E+00, -1.541193560141336E+00,  4.022927938908886E-01,  3.348166637210401E-03, -1.102196300418084E-03, -2.506101361862947E-03
A.D. 1952-Jul-01, -9.279203116247256E+00, -2.531896156641741E+00,  4.125067616313347E-01, -1.635463459375128E-03, -9.749243297789291E-03,  2.604039037946676E-03
A.D. 1953-Jan-01, -9.012653274856468E+00, -3.510634933779412E+00,  4.204786626194419E-01,  6.335350412100481E-03, -8.465618648892741E-03,  1.279757221042287E-03
A.D. 1953-Jul-01, -8.652220647829163E+00, -4.433607296301695E+00,  4.224401566948524E-01,  7.906208467809870E-03, -4.223398422236827E-03, -9.465805917875428E-04
A.D. 1954-Jan-01, -8.192657375449967E+00, -5.321634573862285E+00,  4.184566615588441E-01,  2.374943794945003E-03,  4.557887049551394E-04, -2.686377851846380E-03
A.D. 1954-Jul-01, -7.657903354934778E+00, -6.140572401354150E+00,  4.107497223271756E-01, -1.336756799288059E-03, -9.814656128269664E-04, -1.384891443504680E-03
A.D. 1955-Jan-01, -7.036404931930505E+00, -6.910736606909486E+00,  3.997077271579809E-01, -5.563452986790825E-04, -7.387944280838435E-03,  2.103555451083252E-03
A.D. 1955-Jul-01, -6.350871598773026E+00, -7.600080172628990E+00,  3.853925352095753E-01,  4.144027068294771E-03, -8.726319610082356E-03,  2.573673971009371E-03
A.D. 1956-Jan-01, -5.585958191273487E+00, -8.224034509740365E+00,  3.669115474971997E-01,  1.003523707681825E-02, -3.918481032966743E-03, -2.699309612550653E-04
A.D. 1956-Jul-01, -4.774803220372576E+00, -8.752412244213005E+00,  3.416455036567473E-01, -1.152552304668379E-03, -1.875381380257011E-03, -9.995931481421379E-06
A.D. 1957-Jan-01, -3.909865925349139E+00, -9.204887740721853E+00,  3.161364042721502E-01,  3.427305562930915E-03, -7.128782460532823E-03,  2.560536604977792E-03
A.D. 1957-Jul-01, -3.017529011503899E+00, -9.560429269318030E+00,  2.877878306649755E-01,  8.222563232590012E-03, -6.093653709827247E-03,  1.821308425029139E-03
A.D. 1958-Jan-01, -2.077606108985460E+00, -9.826610101932266E+00,  2.553730364740267E-01,  1.032884006539481E-02,  8.688931814711424E-04, -1.754802263641796E-03
A.D. 1958-Jul-01, -1.134497823130063E+00, -9.991334314742559E+00,  2.200389205144705E-01,  6.843076928170030E-03,  4.199963551200030E-03, -2.894540530442101E-03
A.D. 1959-Jan-01, -1.672439742145929E-01, -1.005955523627868E+01,  1.815150955436885E-01,  1.825470623598439E-07,  2.162136945671703E-03, -8.937333487143634E-04
A.D. 1959-Jul-01,  7.853687786220777E-01, -1.003244568638230E+01,  1.432820268535085E-01, -1.186983365000211E-05, -1.467938239268272E-03,  1.279157486943894E-03
A.D. 1960-Jan-01,  1.746774959893262E+00, -9.909378457072107E+00,  1.043586658765411E-01,  6.846620444570035E-03, -4.041679595371061E-03,  2.236147383465814E-03
A.D. 1960-Jul-01,  2.686978710560367E+00, -9.687617817076399E+00,  6.232861483382621E-02,  3.488113207052162E-03,  6.456653069609181E-03, -2.688209951176997E-03
A.D. 1961-Jan-01,  3.603310781067032E+00, -9.367179103355330E+00,  1.962895277528683E-02, -7.958696152709465E-04,  1.475762022559631E-03,  5.922300185574503E-04
A.D. 1961-Jul-01,  4.470690318913197E+00, -8.963366777705907E+00, -2.132670479009786E-02,  1.471299301914378E-03, -1.646048092673299E-03,  2.247243400997426E-03
A.D. 1962-Jan-01,  5.310041360223285E+00, -8.465684416340610E+00, -6.189860944632782E-02,  8.755952467781070E-03, -6.172348731800845E-04,  1.225902767836018E-03
A.D. 1962-Jul-01,  6.084900245714053E+00, -7.890399571080852E+00, -1.025274091980513E-01,  9.859416002690016E-03,  3.748906494008457E-03, -9.643842583144269E-04
A.D. 1963-Jan-01,  6.811264451169515E+00, -7.223206323155154E+00, -1.442337848058195E-01,  3.852578176871381E-03,  8.950694169216520E-03, -2.913730259307318E-03
A.D. 1963-Jul-01,  7.454406095003683E+00, -6.494838534637411E+00, -1.833321414871188E-01, -8.483494079896711E-04,  7.877674535155255E-03, -1.723651417652292E-03
A.D. 1964-Jan-01,  8.028654476396479E+00, -5.689072517174290E+00, -2.201690715281139E-01, -1.550839493413400E-03,  1.494053454496398E-03,  1.838984594716406E-03
A.D. 1964-Jul-01,  8.519776157331679E+00, -4.837183224943868E+00, -2.529399689301444E-01,  6.971654522797981E-03,  7.861392561128512E-03, -2.201863672511181E-03
A.D. 1965-Jan-01,  8.923134715747087E+00, -3.918393652890239E+00, -2.865422549276832E-01, -1.047345145423400E-03,  9.625320833194841E-03, -2.245497937740983E-03
A.D. 1965-Jul-01,  9.223338879748006E+00, -2.975193618619155E+00, -3.154519134790943E-01, -4.263567983952064E-03,  6.519517210156792E-03, -2.359841871641165E-04
A.D. 1966-Jan-01,  9.426689695043994E+00, -1.986774697500819E+00, -3.399965938398878E-01, -1.018292213946104E-03,  6.743134146393251E-04,  2.550325821049786E-03
A.D. 1966-Jul-01,  9.526912707670178E+00, -9.935827084803163E-01, -3.604791538732667E-01,  3.051883536196217E-03,  9.442169122275861E-04,  2.025263112241374E-03
