epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.827171266862873E-01,  9.661172312381214E-01,  1.080375070699130E-04, -1.717965811945085E-02, -3.263562355384877E-03, -9.476906870595645E-07
A.D. 1950-Jul-01,  1.641888004065594E-01, -1.003320189483615E+00, -1.100063245770704E-04,  1.669107411639349E-02,  2.712104779492790E-03,  2.421154090042352E-07
A.D. 1951-Jan-01, -1.782236259189635E-01,  9.670105826751138E-01,  1.077944508843180E-04, -1.720103330697528E-02, -3.176122764707428E-03,  1.006292939102693E-07
A.D. 1951-Jul-01,  1.599140525476223E-01, -1.004070137630749E+00, -1.135706870904738E-04,  1.671559795747015E-02,  2.638839080618257E-03,  3.182460242929391E-07
A.D. 1952-Jan-01, -1.739207822218616E-01,  9.678096168374488E-01,  1.027811027145407E-04, -1.721803357967917E-02, -3.112720999724004E-03, -1.137724438496040E-06
A.D. 1952-Jul-01,  1.723393366743949E-01, -1.002005898828671E+00, -1.030934045243640E-04,  1.667239730157313E-02,  2.858222528468929E-03,  7.993280216780949E-07
A.D. 1953-Jan-01, -1.866674764949144E-01,  9.653673729270273E-01,  9.927953396535931E-05, -1.716580249927491E-02, -3.327485180433850E-03,  7.277364230098756E-08
A.D. 1953-Jul-01,  1.679684922213159E-01, -1.002685409311727E+00, -1.029611422075589E-04,  1.668423310790852E-02,  2.772749538815087E-03, -1.712416624596060E-07
A.D. 1954-Jan-01, -1.822858332279270E-01,  9.662788299303855E-01,  1.001139145338644E-04, -1.719231258689486E-02, -3.248957319997844E-03, -8.214239713031321E-07
A.D. 1954-Jul-01,  1.636968052975565E-01, -1.003425569112449E+00, -1.013267928966905E-04,  1.670730306882633E-02,  2.708218794949894E-03,  1.122227057234769E-06
A.D. 1955-Jan-01, -1.778895650911447E-01,  9.670659550683703E-01,  9.304404507255049E-05, -1.720120004667065E-02, -3.183510253050812E-03, -5.467418445968313E-07
A.D. 1955-Jul-01,  1.594993408416962E-01, -1.004076897596629E+00, -9.779308586264463E-05,  1.670558265217515E-02,  2.639146476183916E-03, -7.678091045198208E-08
A.D. 1956-Jan-01, -1.734116962566910E-01,  9.678478339970628E-01,  9.768033911933828E-05, -1.721033200603883E-02, -3.093228755527109E-03, -1.244688494415904E-07
A.D. 1956-Jul-01,  1.718191777957042E-01, -1.002093372055616E+00, -1.005374564479175E-04,  1.667703954066867E-02,  2.837712439257171E-03,  7.654997892686651E-07
A.D. 1957-Jan-01, -1.862980837944009E-01,  9.655121485277118E-01,  9.124218369562779E-05, -1.718022688938696E-02, -3.324006156904135E-03, -9.545124066414244E-07
A.D. 1957-Jul-01,  1.675542884229340E-01, -1.002826098989059E+00, -9.322407314383616E-05,  1.669307157941169E-02,  2.777596267186738E-03,  3.829398531570215E-07
A.D. 1958-Jan-01, -1.819038837227271E-01,  9.663101168577329E-01,  9.176417504156228E-05, -1.718323325484694E-02, -3.250440506031717E-03,  1.510101286011177E-07
A.D. 1958-Jul-01,  1.633522546849034E-01, -1.003445059534058E+00, -9.521872185396440E-05,  1.669318122261930E-02,  2.699853144697639E-03,  9.998770329804072E-08
A.D. 1959-Jan-01, -1.774303522416750E-01,  9.671462947781060E-01,  8.980493369352565E-05, -1.720157152261153E-02, -3.161348303782166E-03, -1.011118837216526E-06
A.D. 1959-Jul-01,  1.590546461606576E-01, -1.004190595112060E+00, -9.010414018006465E-05,  1.671672757304817E-02,  2.622634471629116E-03,  8.784475275283794E-07
A.D. 1960-Jan-01, -1.730923476127742E-01,  9.679324807646977E-01,  8.357071908815946E-05, -1.722315977413188E-02, -3.096614539742639E-03,  8.847643345158268E-09
A.D. 1960-Jul-01,  1.715069060594091E-01, -1.002160663356792E+00, -8.863154802368082E-05,  1.667725603174334E-02,  2.844746959441125E-03, -2.254691546070207E-07
A.D. 1961-Jan-01, -1.858092865701518E-01,  9.655010381451329E-01,  8.755875852471054E-05, -1.716903067502724E-02, -3.315170140497606E-03, -6.425804983450551E-07
