epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.007866428015442E+00,  2.499117969492950E+00,  3.147252142188031E-01,  5.141872411162343E-03, -7.717761175937089E-03,  7.169715688142775E-04
A.D. 1950-Jul-01, -9.276679793915148E+00,  1.511786504258384E+00,  3.426899596527310E-01,  5.825238057169385E-03, -4.003811266979201E-03, -1.327430461978327E-03
A.D. 1951-Jan-01, -9.439533972465975E+00,  4.923126389151157E-01,  3.659685061359261E-01, -4.116928320436057E-03,  2.462039549387368E-04, -2.587506421343999E-03
A.D. 1951-Jul-01, -9.492738015247745E+00, -5.175917058253194E-01,  3.855176438273675E-01, -6.512835769070247E-03, -2.389217677790257E-03, -9.429648395683203E-04
A.D. 1952-Jan-01, -9.439322311067398E+00, -1.539647411157544E+00,  4.018454858926357E-01, -1.176574996380377E-03, -1.173834706750628E-02,  3.507011316640511E-03
A.D. 1952-Jul-01, -9.277342982334314E+00, -2.531684477226460E+00,  4.122141400855761E-01, -5.922987287278162E-03, -6.522581549043716E-03,  1.328348978273783E-03
A.D. 1953-Jan-01, -9.012572295152545E+00, -3.509449050745252E+00,  4.198497010188387E-01,  4.845698131949398E-03, -1.118670284335810E-02,  2.852611523541708E-03
A.D. 1953-Jul-01, -8.653493389677138E+00, -4.432579620856628E+00,  4.220260481024028E-01,  8.536885850179079E-03, -8.462494293041177E-03,  1.214343249591610E-03
A.D. 1954-Jan-01, -8.193651476093352E+00, -5.322146756929808E+00,  4.188217503133788E-01,  4.866265965813121E-03,  1.425046115078492E-03, -3.438327320983117E-03
A.D. 1954-Jul-01, -7.657955082709089E+00, -6.141896927240380E+00,  4.114476584624728E-01,  9.847151673372842E-04,  1.891216465990463E-03, -3.117851010044469E-03
A.D. 1955-Jan-01, -7.035454584920688E+00, -6.911170439125528E+00,  3.998423275359037E-01, -2.693232624495562E-03, -7.032357607071613E-03,  2.127804033140754E-03
A.D. 1955-Jul-01, -6.349783350315044E+00, -7.599448668068018E+00,  3.849570947092348E-01,  8.646492201881977E-04, -9.334963051392973E-03,  3.212084624712387E-03
A.D. 1956-Jan-01, -5.586038021784948E+00, -8.223173135315886E+00,  3.664687920780939E-01,  1.143698788066677E-02, -4.849782077854988E-03,  8.160429560503127E-05
A.D. 1956-Jul-01, -4.776633856656856E+00, -8.754904192381229E+00,  3.431269102064380E-01,  6.399848167324636E-03, -9.002412617251009E-03,  2.995394741783330E-03
A.D. 1957-Jan-01, -3.906714481393314E+00, -9.206810739861051E+00,  3.168400699911927E-01,  1.130314758716140E-02,  4.726979687124438E-04, -2.182238167705085E-03
A.D. 1957-Jul-01, -3.014046001723393E+00, -9.559997979156076E+00,  2.872260364203025E-01,  8.464648689650916E-03,  3.829510586268270E-03, -3.402950651561225E-03
A.D. 1958-Jan-01, -2.078280003739955E+00, -9.823218625909941E+00,  2.536609842176227E-01, -1.845693066430971E-03,  8.481582480568365E-04, -5.680259333694996E-04
