julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2433282.500000000, A.D. 1950-Jan-01,  8.726697070540146E+01,  1.176823136070038E+01, -4.030084085324476E+01, -7.842973256858543E-04,  1.369049837082942E-03,  8.178444887779402E-04,  5.593067899663503E-01,  9.684096870093219E+01, -8.807406436234152E-04

2433463.500000000, A.D. 1950-Jul-01,  8.732166570291618E+01,  1.196623564637915E+01, -4.017847863301316E+01, -6.340992434868583E-04,  4.587603811385485E-04,  7.724299627436606E-04,  5.594380113285408E-01,  9.686368897548770E+01, -8.353597611833348E-04

2433647.500000000, A.D. 1951-Jan-01,  8.737843366691919E+01,  1.216181063380288E+01, -4.005412160127796E+01,  9.419064399747730E-04,  1.396180868674660E-04,  5.696278426659466E-04,  5.595768827822543E-01,  9.688773382232985E+01,  6.314976398756368E-04

2433828.500000000, A.D. 1951-Jul-01,  8.743740634926971E+01,  1.235847558525967E+01, -3.993176188937090E+01,  1.433625090413859E-03,  9.178738881260892E-04,  5.348852272468357E-04,  5.597361567446519E-01,  9.691531125404377E+01,  1.190081016041763E-03

2434012.500000000, A.D. 1952-Jan-01,  8.749817563204564E+01,  1.256418222350864E+01, -3.980700776656168E+01,  4.818610268207008E-04,  2.233202821544188E-03,  6.949960881671481E-04,  5.599092408012352E-01,  9.694527982944264E+01,  4.389549789571778E-04

2434194.500000000, A.D. 1952-Jul-01,  8.755003946215427E+01,  1.276799124143930E+01, -3.968229270979872E+01, -6.133961817788521E-04,  1.795223502889182E-03,  8.179841464043950E-04,  5.600381488274407E-01,  9.696759956228878E+01, -6.521863857043130E-04

2434378.500000000, A.D. 1953-Jan-01,  8.759650798853811E+01,  1.296837439770904E+01, -3.955535061069077E+01, -4.158063728144032E-04,  1.798830236749823E-04,  7.447146888334099E-04,  5.601345507542590E-01,  9.698429103849681E+01, -6.552385525571890E-04

2434559.500000000, A.D. 1953-Jul-01,  8.764654005716729E+01,  1.316227272651139E+01, -3.943080990828455E+01,  4.692457776231756E-04, -4.420282606075199E-05,  6.302340293867540E-04,  5.602535648922881E-01,  9.700489769770890E+01,  1.617992632871101E-04

2434743.500000000, A.D. 1954-Jan-01,  8.770256385353157E+01,  1.335882228199577E+01, -3.930454416670723E+01,  1.400187885232137E-03,  1.282452047575976E-03,  5.586672710951804E-04,  5.604052141481110E-01,  9.703115495240365E+01,  1.215835821256347E-03

2434924.500000000, A.D. 1954-Jul-01,  8.775459538214068E+01,  1.355746256351470E+01, -3.917947149717180E+01,  8.920312660129794E-04,  2.051688314119349E-03,  6.471946485037907E-04,  5.605438767472171E-01,  9.705516363719154E+01,  8.318855279611921E-04

2435108.500000000, A.D. 1955-Jan-01,  8.780211508561980E+01,  1.376326320089639E+01, -3.905121016269145E+01, -6.937475777719619E-04,  1.708212773763260E-03,  8.338594880890322E-04,  5.606608283097334E-01,  9.707541317252412E+01, -7.207298169995174E-04

