epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.410689561287461E+00, -3.762363236211036E+00, -6.093289727876286E-02,  8.693808712796054E-03,  1.270701523745262E-02,  1.664960919997230E-04
A.D. 1950-Jul-01,  4.267086711837562E+00, -2.652165576146917E+00, -8.472380025824632E-02,  8.351487597031877E-03,  1.339324212783271E-02,  1.874815246767000E-04
A.D. 1951-Jan-01,  4.800157998931073E+00, -1.319027381663792E+00, -1.023749799578144E-01,  9.664040297899017E-03,  6.153769110168880E-03, -6.857584922485767E-05
A.D. 1951-Jul-01,  4.950333502622124E+00,  9.826366415017042E-02, -1.115837802720983E-01,  7.021572824457175E-03,  4.823397749427656E-03, -8.825996977466591E-05
A.D. 1952-Jan-01,  4.699451137371307E+00,  1.533795553721595E+00, -1.117573839230581E-01, -2.434760337877013E-03, -4.366436364657968E-04, -3.112868254784115E-04
A.D. 1952-Jul-01,  4.078446706110826E+00,  2.821623284334962E+00, -1.031991198816996E-01,  3.468462808378176E-03,  6.656675591620834E-03,  1.580987557288728E-04
A.D. 1953-Jan-01,  3.111736221096630E+00,  3.902089338841182E+00, -8.598841965234759E-02, -2.898506569846090E-03, -2.194920986095578E-03, -1.623108373939950E-04
A.D. 1953-Jul-01,  1.921174393047291E+00,  4.659448780900049E+00, -6.239507334707063E-02, -5.345303070025844E-03, -4.574072395019026E-03, -1.702574524039019E-04
A.D. 1954-Jan-01,  5.644853047352589E-01,  5.074234714042319E+00, -3.342617375106140E-02, -1.404989062860788E-02, -3.447859625526089E-03, -1.189812148657047E-04
A.D. 1954-Jul-01, -8.136027303607564E-01,  5.107300001189087E+00, -2.627646194873243E-03, -1.473337745650001E-02, -4.020165309953858E-03, -6.440068889905891E-05
A.D. 1955-Jan-01, -2.152338567238932E+00,  4.773825845203120E+00,  2.887979317521918E-02, -1.273180305910974E-02,  2.692512712588667E-03,  3.201081661237132E-04
A.D. 1955-Jul-01, -3.328418176310950E+00,  4.122033361715411E+00,  5.790397913963530E-02, -1.068042405757656E-02,  2.065535316731248E-03,  3.588533360637193E-04
A.D. 1956-Jan-01, -4.302547996928051E+00,  3.181167362718849E+00,  8.338208372899256E-02, -5.477824272013231E-04,  1.100196226217027E-03,  4.862180996778113E-04
A.D. 1956-Jul-01, -4.993175594963018E+00,  2.057374759232645E+00,  1.037022781037762E-01, -9.792066554595568E-03, -2.478808495416099E-03,  1.559961545564755E-04
A.D. 1957-Jan-01, -5.373170354860238E+00,  7.814612912408209E-01,  1.173400293601497E-01, -1.013714393472640E-04,  8.018907879170390E-04,  4.125265312463729E-04
A.D. 1957-Jul-01, -5.422992939878594E+00, -5.182926645197465E-01,  1.237557250365864E-01,  3.173596984179680E-03,  2.743594285600294E-04,  3.768649590305110E-04
A.D. 1958-Jan-01, -5.146148996755811E+00, -1.809834997408127E+00,  1.225543788297196E-01,  1.027768208517448E-02, -6.308481166783553E-03,  1.444884223957163E-04
