epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.413528275772656E+00, -3.758716367934488E+00, -6.073351592706393E-02,  3.909286192676554E-03,  1.150223503915089E-02,  2.513618258368095E-05
A.D. 1950-Jul-01,  4.259553391477723E+00, -2.643664407057620E+00, -8.451667082974640E-02, -1.426349262611115E-03,  3.419584282592673E-03, -2.983589831013401E-04
A.D. 1951-Jan-01,  4.807662123685673E+00, -1.312085087208761E+00, -1.020114603414028E-01, -3.130876401612316E-04,  1.352367467007556E-02,  8.172542431295314E-05
A.D. 1951-Jul-01,  4.947713313862446E+00,  1.080167824928902E-01, -1.112795777318404E-01, -5.193608132627275E-03,  4.030895921311895E-03, -2.202701952683220E-04
A.D. 1952-Jan-01,  4.710311055700610E+00,  1.536940492083437E+00, -1.115240990115211E-01, -5.239845790148080E-03,  1.316515734036005E-02,  1.628605550915585E-04
A.D. 1952-Jul-01,  4.071255396651092E+00,  2.825605478753016E+00, -1.031244264828879E-01, -3.913177997958497E-03,  3.040837216800447E-04, -1.205780703281235E-04
A.D. 1953-Jan-01,  3.116796963330977E+00,  3.910903318842784E+00, -8.563057800043113E-02, -1.223269001065545E-02,  5.863513736405914E-03,  5.212033201585845E-05
A.D. 1953-Jul-01,  1.918471819586030E+00,  4.659119456507437E+00, -6.243921810515353E-02, -5.943973714379884E-03, -2.932311120377252E-03, -3.501566232781627E-05
A.D. 1954-Jan-01,  5.673008860668349E-01,  5.077781761438098E+00, -3.331897115598503E-02, -1.387705415089995E-02,  1.343414489374445E-03,  8.394367869524393E-05
A.D. 1954-Jul-01, -8.186379324478305E-01,  5.101149706214615E+00, -2.939141663523510E-03, -5.785704631026620E-03, -6.856211816863990E-03,  5.611046458179883E-06
A.D. 1955-Jan-01, -2.156035222913983E+00,  4.777723742561701E+00,  2.891249515009941E-02, -1.323634900516182E-02, -3.260040826569578E-03,  6.688833306774113E-05
A.D. 1955-Jul-01, -3.338617445126784E+00,  4.116697509188220E+00,  5.756035818749568E-02, -3.586116851505015E-03, -1.021331472993453E-02, -1.171919183505828E-06
A.D. 1956-Jan-01, -4.307752707933382E+00,  3.190436628379071E+00,  8.362152615858323E-02, -1.076122356821763E-02, -6.871204460033714E-03,  7.353851383773492E-06
A.D. 1956-Jul-01, -4.996940946222548E+00,  2.046582361646321E+00,  1.032583624329050E-01,  3.196403796665037E-03, -7.892164503663330E-03,  1.345730212050602E-04
A.D. 1957-Jan-01, -5.384155872793586E+00,  7.848475780286905E-01,  1.172897179908972E-01, -3.646319414530782E-03, -1.289834363156206E-02, -1.604054512951699E-04
A.D. 1957-Jul-01, -5.427986725704872E+00, -5.239661252098314E-01,  1.235018080285933E-01,  6.874305452137365E-03, -7.785870799488396E-03,  7.646831787322805E-05
A.D. 1958-Jan-01, -5.153215244470208E+00, -1.803206235222105E+00,  1.227179702413364E-01,  5.469471499924207E-04, -1.277433180768341E-02, -2.411381245154678E-04
A.D. 1958-Jul-01, -4.561077329675797E+00, -2.972018867727380E+00,  1.141612092295217E-01,  1.030212468186371E-02, -5.946797014339966E-03,  1.538838157916946E-05
A.D. 1959-Jan-01, -3.693093555703554E+00, -3.959450652713628E+00,  9.883026492486296E-02,  4.209397203693132E-03, -1.094905765614815E-02, -3.140812822486330E-04
A.D. 1959-Jul-01, -2.597840267643125E+00, -4.704455609084670E+00,  7.731838649519282E-02,  1.276302524774914E-02, -2.616902707250440E-03, -3.203660043904407E-05
A.D. 1960-Jan-01, -1.334749632934842E+00, -5.144481473879744E+00,  5.082905771171550E-02,  6.641431921226426E-03, -7.784858326050632E-03, -3.626238294292931E-04
A.D. 1960-Jul-01,  2.263133776241901E-02, -5.254862098774333E+00,  2.119712698316053E-02,  1.036539346404646E-02,  5.945415393020549E-03,  4.550562261182424E-05
A.D. 1961-Jan-01,  1.368467853339408E+00, -5.005063393598168E+00, -1.044219150441648E-02,  1.207498711591916E-02, -1.602522682264366E-03, -2.373381430746065E-04
A.D. 1961-Jul-01,  2.618321478954409E+00, -4.405432132307824E+00, -4.041577443261780E-02,  8.726312814015360E-03,  1.004562519590371E-02,  5.526259837789791E-05
A.D. 1962-Jan-01,  3.673575212112878E+00, -3.478445493022400E+00, -6.835424706425412E-02,  1.036174030514458E-02,  2.411086522526131E-03, -1.844301539390250E-04
A.D. 1962-Jul-01,  4.456717223751268E+00, -2.298632919020680E+00, -9.022808443107777E-02,  5.078787066556288E-03,  1.310749149146920E-02,  1.109701245775016E-04
A.D. 1963-Jan-01,  4.881406295078248E+00, -9.282605658839058E-01, -1.058865342363520E-01,  6.897627937721625E-03,  4.898681280050163E-03, -8.693977162718133E-05
A.D. 1963-Jul-01,  4.933691347239412E+00,  5.023185661577789E-01, -1.123947029855315E-01,  2.086712684817066E-04,  1.404931173182157E-02,  1.996837418811126E-04
A.D. 1964-Jan-01,  4.566695225910976E+00,  1.904284143279414E+00, -1.104669519997464E-01,  2.848334291348660E-03,  5.037173772895890E-03,  3.296807378658601E-05
A.D. 1964-Jul-01,  3.852678677932304E+00,  3.154860707911489E+00, -9.891962156710445E-02, -9.421763619722759E-03,  1.052522028380790E-02,  1.698025491539140E-04
A.D. 1965-Jan-01,  2.812837171119535E+00,  4.142666798881355E+00, -8.011744862550541E-02, -1.194792359342246E-03,  8.179659453639842E-03,  3.010140355821309E-04
A.D. 1965-Jul-01,  1.573204709699550E+00,  4.816969683223604E+00, -5.468654915787585E-02, -1.224447809515099E-02,  6.533511915410768E-03,  2.176828721250270E-04
A.D. 1966-Jan-01,  1.935138488411725E-01,  5.113025417640869E+00, -2.538961326445671E-02, -2.887412746487386E-03,  4.739118803585095E-03,  3.585961333653755E-04
A.D. 1966-Jul-01, -1.179773986591970E+00,  5.056244846618121E+00,  6.000170408301103E-03, -1.278198996601712E-02,  1.938579411090743E-03,  2.174617846227971E-04
A.D. 1967-Jan-01, -2.489703224661426E+00,  4.618074935730172E+00,  3.679257549730664E-02, -2.429925704073965E-03,  1.339983546708421E-03,  3.647320823647997E-04
