julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2433282.500000000, A.D. 1950-Jan-01, -3.784161593132164E+01,  2.990760009574439E+01,  8.734021537467312E+00, -2.466998390869647E-03, -1.229941370004157E-03,  1.192148475528692E-03,  2.831026637210388E-01,  4.901770671907825E+01,  1.366503370306333E-03

2433463.500000000, A.D. 1950-Jul-01, -3.808946231100700E+01,  2.963402280581824E+01,  8.923555497204433E+00, -2.294388523827936E-03, -2.153064037376640E-03,  1.140344682017115E-03,  2.834486648262666E-01,  4.907761495334778E+01,  6.879716039005118E-04

2433647.500000000, A.D. 1951-Jan-01, -3.833608765108274E+01,  2.934783622574582E+01,  9.115006381292215E+00, -6.955492353736838E-04, -2.485064812694395E-03,  9.309834437536343E-04,  2.837675288987507E-01,  4.913282455605107E+01, -7.689506758683781E-04

2433828.500000000, A.D. 1951-Jul-01, -3.857145804280696E+01,  2.906830275197792E+01,  9.302182832540849E+00, -1.813210214950839E-04, -1.719273893666534E-03,  8.897264722528714E-04,  2.840741520572340E-01,  4.918591471019608E+01, -7.056117543088391E-04

2434012.500000000, A.D. 1952-Jan-01, -3.880572997330746E+01,  2.878762270478551E+01,  9.491613702086999E+00, -1.110154640191497E-03, -4.164298835598990E-04,  1.043152519447531E-03,  2.843938551561684E-01,  4.924126958582588E+01,  8.325036278861532E-04

2434194.500000000, A.D. 1952-Jul-01, -3.904154548638256E+01,  2.850808880815086E+01,  9.679086865866427E+00, -2.182684406816758E-03, -8.665738348017453E-04,  1.159467140378616E-03,  2.847417300069229E-01,  4.930150224907638E+01,  1.454998095539626E-03

2434378.500000000, A.D. 1953-Jan-01, -3.928170858837548E+01,  2.821758406730800E+01,  9.868236434199606E+00, -1.962071768120940E-03, -2.494026505125421E-03,  1.079389622023823E-03,  2.850946299569255E-01,  4.936260498129034E+01,  3.514766056544811E-04

2434559.500000000, A.D. 1953-Jul-01, -3.950949765013486E+01,  2.792644024692740E+01,  1.005274271609420E+01, -1.054328427004645E-03, -2.729845009560244E-03,  9.581523986564240E-04,  2.854031920748695E-01,  4.941603085585895E+01, -5.048322792235628E-04

2434743.500000000, A.D. 1954-Jan-01, -3.973168598532514E+01,  2.762774847096146E+01,  1.023870894289127E+01, -1.002756083055891E-04, -1.414932770994437E-03,  8.796572070079413E-04,  2.856827620581530E-01,  4.946443689792129E+01, -5.276666478779951E-04

2434924.500000000, A.D. 1954-Jul-01, -3.994917777340422E+01,  2.733713038582970E+01,  1.042125958074065E+01, -5.856566319470792E-04, -6.570668204078884E-04,  9.613107927027917E-04,  2.859819594062051E-01,  4.951624131284689E+01,  3.120642532826566E-04

2435108.500000000, A.D. 1955-Jan-01, -4.017141938985313E+01,  2.704347070012972E+01,  1.060667091873565E+01, -2.148241096489110E-03, -1.011917911151974E-03,  1.140929224053270E-03,  2.863162584851631E-01,  4.957412340407640E+01,  1.432876218476263E-03

2435289.500000000, A.D. 1955-Jul-01, -4.038898547934521E+01,  2.674640106267125E+01,  1.078831317693788E+01, -2.280504694057684E-03, -1.938127732041836E-03,  1.126281163074896E-03,  2.866326277617615E-01,  4.962890104626246E+01,  1.056239452202892E-03

2435473.500000000, A.D. 1956-Jan-01, -4.060626355889116E+01,  2.643573137771149E+01,  1.097183993251330E+01, -8.735869437755531E-04, -2.779339497985258E-03,  9.243511273644069E-04,  2.869274836224324E-01,  4.967995375595015E+01, -5.607681967986595E-04

2435655.500000000, A.D. 1956-Jul-01, -4.081098606911128E+01,  2.612836515033142E+01,  1.115173274255679E+01, -2.556417080618953E-05, -1.956345289119925E-03,  8.434153906981361E-04,  2.871884369580462E-01,  4.972513642539014E+01, -8.178411353101180E-04

2435839.500000000, A.D. 1957-Jan-01, -4.101209580788807E+01,  2.582218416908749E+01,  1.133262558014939E+01, -8.299789690248238E-04, -5.719822890384434E-04,  9.837358884738061E-04,  2.874564072121867E-01,  4.977153403661092E+01,  6.111456291185631E-04

2436020.500000000, A.D. 1957-Jul-01, -4.121246751159963E+01,  2.551927808807725E+01,  1.151042820297889E+01, -1.716686943514014E-03, -7.364166147876411E-04,  1.085729054039321E-03,  2.877455156097735E-01,  4.982159160391413E+01,  1.293681890826154E-03

2436204.500000000, A.D. 1958-Jan-01, -4.141828969912177E+01,  2.520696328187228E+01,  1.169088000247548E+01, -2.033384584258942E-03, -2.339726979024798E-03,  1.072251954835053E-03,  2.880555267416141E-01,  4.987526836746159E+01,  7.574389051653368E-04

2436385.500000000, A.D. 1958-Jul-01, -4.161294535042958E+01,  2.489341613211477E+01,  1.186679721463870E+01, -1.246639753147916E-03, -2.855409421501617E-03,  9.566805330092221E-04,  2.883216187079072E-01,  4.992134076322296E+01, -1.572836192523725E-04

2436569.500000000, A.D. 1959-Jan-01, -4.180138823456695E+01,  2.457072372735209E+01,  1.204388477925681E+01,  9.176583416605534E-05, -1.920060144684209E-03,  8.183043885883823E-04,  2.885524147463808E-01,  4.996130185852716E+01, -8.237904400811023E-04

2436750.500000000, A.D. 1959-Jul-01, -4.198336751810284E+01,  2.425778809011116E+01,  1.221734012558766E+01, -1.103351547458642E-04, -1.032079948599778E-03,  8.684127127342041E-04,  2.887936371047038E-01,  5.000306821515181E+01, -1.958688176958327E-04

