epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.027265359844147E+00,  2.514421865361755E+00,  3.144553408662092E-01, -2.813940695588258E-03, -6.807402518860329E-03,  7.299142974498191E-04
A.D. 1950-Jul-01, -9.287902601533805E+00,  1.492816626192759E+00,  3.492966722394269E-01,  4.508475460889513E-04, -6.371949221511476E-03,  3.063285760422884E-05
A.D. 1951-Jan-01, -9.418216641041310E+00,  4.908045369848221E-01,  3.621065723188536E-01, -6.073511145517973E-04, -3.695735540350644E-03, -3.482409521970080E-04
A.D. 1951-Jul-01, -9.499658913024414E+00, -4.961575906304262E-01,  3.817765364077410E-01, -1.784358549969877E-03, -5.923987767965162E-03,  5.428842363393561E-04
A.D. 1952-Jan-01, -9.457306488869035E+00, -1.552822738096777E+00,  4.090172114951446E-01,  1.664615376110885E-03, -7.002705087957758E-03,  2.331829652275486E-04
A.D. 1952-Jul-01, -9.259297083589914E+00, -2.548229536248799E+00,  4.131683611972822E-01,  2.334009796382938E-03, -3.976964866796063E-03, -5.396286851137668E-04
A.D. 1953-Jan-01, -9.007560990698179E+00, -3.486444989193656E+00,  4.130876867165967E-01, -1.150747716802181E-04, -4.786794192701779E-03,  2.841120948563941E-04
A.D. 1953-Jul-01, -8.676723571619164E+00, -4.430127068143359E+00,  4.258139316622038E-01,  2.220995447056843E-03, -6.753677451232849E-03,  4.457469209739523E-04
A.D. 1954-Jan-01, -8.186789778249560E+00, -5.343422838401263E+00,  4.224790087820625E-01,  4.451931803097250E-03, -4.060491433095576E-03, -5.283681297319407E-04
A.D. 1954-Jul-01, -7.641342971939768E+00, -6.129440518654505E+00,  4.049605540129371E-01,  2.053718486598043E-03, -2.808243556531276E-03, -2.135611968117201E-04
A.D. 1955-Jan-01, -7.055870565962478E+00, -6.900502603062812E+00,  4.016906697692439E-01,  2.741717584908787E-03, -5.528145036150203E-03,  4.804843917806504E-04
A.D. 1955-Jul-01, -6.356779902233913E+00, -7.621559402621600E+00,  3.921923333957955E-01,  5.698637198774462E-03, -4.277723015193267E-03, -2.704461527947111E-04
A.D. 1956-Jan-01, -5.563161749924503E+00, -8.220106194858083E+00,  3.607881068508396E-01,  4.073880560845217E-03, -1.277985827502715E-03, -5.365097231250418E-04
A.D. 1956-Jul-01, -4.785427152135410E+00, -8.733188320046800E+00,  3.395713915073143E-01,  2.922702555770756E-03, -3.367058366647649E-03,  3.663970900488013E-04
A.D. 1957-Jan-01, -3.924049282692961E+00, -9.221669541471934E+00,  3.235771094836150E-01,  6.153876958867376E-03, -3.489415160702751E-03, -9.923081674280279E-05
A.D. 1957-Jul-01, -2.996203972023659E+00, -9.572355756211014E+00,  2.863685962201903E-01,  6.010429067501852E-03, -1.570946754575646E-04, -7.525831153223816E-04
A.D. 1958-Jan-01, -2.077695227014818E+00, -9.801636329094276E+00,  2.485102372172342E-01,  3.301059382220751E-03, -9.606632029302664E-04,  1.339725886327418E-04
A.D. 1958-Jul-01, -1.160815772138922E+00, -9.991855960050083E+00,  2.250039183644163E-01,  5.421086397108723E-03, -2.433257170632945E-03,  2.086102086873435E-04
A.D. 1959-Jan-01, -1.575064688209894E-01, -1.008227899852007E+01,  1.856400295294357E-01,  6.911090430086739E-03,  7.103765837023488E-04, -7.408770598283024E-04
A.D. 1959-Jul-01,  8.028123242649240E-01, -1.001960035094368E+01,  1.372697374740254E-01,  3.970755073254202E-03,  1.842301143904312E-03, -3.105707362168529E-04
A.D. 1960-Jan-01,  1.726899183608874E+00, -9.899130156285883E+00,  1.059183671278150E-01,  4.512113553560074E-03, -6.700643801854912E-04,  3.162648159046317E-04
A.D. 1960-Jul-01,  2.680417203822424E+00, -9.710841997073723E+00,  6.929997537547412E-02,  6.893383230358390E-03,  1.116558166301330E-03, -5.047304897308443E-04
A.D. 1961-Jan-01,  3.625198629957181E+00, -9.363221472256726E+00,  1.489461746958685E-02,  4.308036867911456E-03,  3.802074458459538E-03, -5.589236378872552E-04
A.D. 1961-Jul-01,  4.460164830822309E+00, -8.944328951296034E+00, -2.334335359111471E-02,  3.118816214077808E-03,  1.628777562828405E-03,  2.977934504253082E-04
A.D. 1962-Jan-01,  5.297030054347752E+00, -8.481924742431515E+00, -5.552029617536475E-02,  5.873810757845405E-03,  1.812022406019798E-03, -2.356385984059322E-04
A.D. 1962-Jul-01,  6.105111080713458E+00, -7.899002299196927E+00, -1.051072211449337E-01,  4.917292031537787E-03,  5.060810805572981E-03, -7.965503688739642E-04
A.D. 1963-Jan-01,  6.807168369906162E+00, -7.199984070612624E+00, -1.494674698376610E-01,  1.900371406796919E-03,  3.836061687326533E-03,  1.533362601720986E-04
A.D. 1963-Jul-01,  7.429167782250670E+00, -6.500103938113152E+00, -1.766953133027601E-01,  3.726090033228276E-03,  2.442982998021806E-03,  1.549902331610116E-04
A.D. 1964-Jan-01,  8.043186872399538E+00, -5.710318148026984E+00, -2.171601401642430E-01,  4.440911759669386E-03,  5.556346062625448E-03, -7.524527792641980E-04
A.D. 1964-Jul-01,  8.531241137930525E+00, -4.817325630667902E+00, -2.608283502444900E-01,  9.135372383176224E-04,  6.009700123383419E-03, -1.631374902811604E-04
A.D. 1965-Jan-01,  8.897437823191900E+00, -3.913778874831448E+00, -2.824538445968915E-01,  1.568448092942233E-03,  3.373343193994725E-03,  3.348753490855697E-04
A.D. 1965-Jul-01,  9.221239089062729E+00, -3.000434493175016E+00, -3.082277892905365E-01,  3.241736486403276E-03,  5.139827621641248E-03, -4.781964694292163E-04
A.D. 1966-Jan-01,  9.449617919579216E+00, -1.978932238072348E+00, -3.460645596133604E-01,  3.987996048713615E-05,  7.192621053246733E-03, -4.006376282943323E-04
A.D. 1966-Jul-01,  9.514379850860873E+00, -9.735333083333693E-01, -3.629746482061202E-01, -1.190176081605870E-03,  4.518408306870466E-03,  4.359526633461140E-04
A.D. 1967-Jan-01,  9.510852771837675E+00,  1.034931259655245E-02, -3.716034911165815E-01,  1.235315556840163E-03,  4.573783349572024E-03, -1.527638099497974E-04
A.D. 1967-Jul-01,  9.431996905141251E+00,  1.026232651300603E+00, -3.942368029725471E-01, -3.093596019531433E-04,  7.280609747447099E-03, -6.146814378508358E-04
A.D. 1968-Jan-01,  9.181925970893468E+00,  2.066966295232572E+00, -4.056398957109554E-01, -3.347556022361419E-03,  5.240646765213063E-03,  3.773941498084880E-04
A.D. 1968-Jul-01,  8.833788634044742E+00,  3.010200118487611E+00, -3.983810640331895E-01, -1.418301658432778E-03,  3.585741321802717E-03,  2.672484128854353E-04
