epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.407053974403178E+00, -3.757738333886905E+00, -6.078640139954982E-02, -4.347393533107929E-03,  6.996026427322963E-03, -2.307292999307010E-04
A.D. 1950-Jul-01,  4.260624094194381E+00, -2.650338445747025E+00, -8.471552955770317E-02,  6.115102727899602E-03, -2.980532943112094E-03, -4.295764813257255E-04
A.D. 1951-Jan-01,  4.798227926227372E+00, -1.315291959217756E+00, -1.022495952079969E-01,  4.382645446830749E-03, -2.025164392168186E-03, -3.843866402516835E-04
A.D. 1951-Jul-01,  4.953807248375171E+00,  1.001239630030338E-01, -1.114544550763949E-01,  7.807598098434843E-03,  1.381579226128621E-02,  2.966246987066448E-04
A.D. 1952-Jan-01,  4.705630712346476E+00,  1.531523489993506E+00, -1.117719859358210E-01,  5.469753349920278E-03,  1.366192129980782E-02,  3.548043619795322E-04
A.D. 1952-Jul-01,  4.078041126072926E+00,  2.823362130107016E+00, -1.031141142737154E-01,  5.583260528067900E-03,  5.334725627216793E-03,  1.667122810014703E-04
A.D. 1953-Jan-01,  3.115667678077388E+00,  3.901001491538136E+00, -8.597383866550101E-02,  3.960171037895245E-03,  4.227826232951871E-03,  2.249977805802639E-04
A.D. 1953-Jul-01,  1.928203111611591E+00,  4.661203929972624E+00, -6.223308346451383E-02, -9.930361183642855E-03,  1.287841485033764E-02,  4.560359652402488E-04
A.D. 1954-Jan-01,  5.698128537817360E-01,  5.071537634224113E+00, -3.347486624207298E-02, -1.077753561366452E-02,  1.065132835801413E-02,  4.632535461037519E-04
A.D. 1954-Jul-01, -8.135857992298098E-01,  5.105308559169123E+00, -2.731335787964920E-03, -1.523702791664893E-02, -7.287670583144518E-03, -1.779489063419293E-04
A.D. 1955-Jan-01, -2.157348706387085E+00,  4.772699793136635E+00,  2.874155572227207E-02, -1.438519283847524E-02, -9.412759152531406E-03, -1.855380795091561E-04
A.D. 1955-Jul-01, -3.333240636698505E+00,  4.116876951425064E+00,  5.762542074378322E-02,  3.028080872284142E-03, -8.854963544057888E-03,  1.283203808281648E-04
A.D. 1956-Jan-01, -4.307618879499611E+00,  3.180845500521381E+00,  8.330679136048907E-02,  4.483946253095125E-03, -9.879365104678101E-03,  1.147660970620826E-04
A.D. 1956-Jul-01, -4.998157224344413E+00,  2.052628795921347E+00,  1.034262377107189E-01,  4.932865985728132E-04, -1.603267830497857E-02, -1.879473623318654E-04
A.D. 1957-Jan-01, -5.380176344096610E+00,  7.809537806387727E-01,  1.172098287834453E-01,  2.672369714948537E-03, -1.637928376453255E-02, -2.152490733919187E-04
A.D. 1957-Jul-01, -5.425343200096801E+00, -5.188849127062815E-01,  1.236932385116332E-01,  7.883653145945569E-03, -2.393940867289024E-04,  3.650410736445960E-04
A.D. 1958-Jan-01, -5.144352127981585E+00, -1.807275780891937E+00,  1.226980174245704E-01,  9.360014706738586E-03,  4.336471924115455E-04,  3.283596705845472E-04
A.D. 1958-Jul-01, -4.560023520277637E+00, -2.962274182698041E+00,  1.144963507347416E-01, -5.237535873853090E-03, -2.081787444198208E-03, -5.729703315257511E-05
A.D. 1959-Jan-01, -3.685101379931135E+00, -3.958205592145529E+00,  9.898344209862840E-02, -3.929088746320787E-03, -1.290137294922387E-03, -1.081842401470255E-04
A.D. 1959-Jul-01, -2.601437673287812E+00, -4.697380229371389E+00,  7.749432194137103E-02,  6.652999765964237E-03, -1.334684320295801E-02, -4.941283530937958E-04
A.D. 1960-Jan-01, -1.330447986004977E+00, -5.145292813508498E+00,  5.085131682072729E-02,  7.737410886670784E-03, -1.149653822617557E-02, -5.106053543241480E-04
A.D. 1960-Jul-01,  1.419877787302961E-02, -5.249643736748583E+00,  2.126315796875053E-02,  7.341633276194634E-04, -6.983173975761598E-03, -5.354081460671127E-04
A.D. 1961-Jan-01,  1.370826441785510E+00, -4.997692083412225E+00, -1.017377932329260E-02,  6.938571691833521E-04, -5.304480593298114E-03, -5.467780351580325E-04
A.D. 1961-Jul-01,  2.610744877171751E+00, -4.405451203028294E+00, -4.052352733655938E-02,  1.585673665000374E-02,  9.566013464569574E-04, -1.366583824713483E-04
A.D. 1962-Jan-01,  3.676673500932143E+00, -3.475147796701575E+00, -6.822316912146420E-02,  1.472097201033157E-02,  2.952747603302140E-03, -9.590065103073622E-05
A.D. 1962-Jul-01,  4.452638674231324E+00, -2.296478271744182E+00, -9.019844359303990E-02,  2.594900349044053E-03,  1.704064768002224E-02,  2.413435520994667E-04
A.D. 1963-Jan-01,  4.887472736403696E+00, -9.215638614034356E-01, -1.055865544664263E-01,  1.173376224966107E-04,  1.774220305060291E-02,  2.752381420463099E-04
