epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.406605178521644E+00, -3.760530090580539E+00, -6.089135717313107E-02,  5.505071280216534E-03,  5.429033732682904E-03, -1.456889915739479E-04
A.D. 1950-Jul-01,  4.263371041500671E+00, -2.649702957351330E+00, -8.465448528881681E-02,  3.893922455647246E-03,  6.774848653933917E-03, -1.150735010119272E-04
A.D. 1951-Jan-01,  4.800967862424331E+00, -1.314600335848588E+00, -1.021868981098564E-01,  1.901659442638761E-03,  7.644009694560043E-03, -7.403511497843368E-05
A.D. 1951-Jul-01,  4.952127802343806E+00,  1.023944950072377E-01, -1.113960921817577E-01, -2.484138465176223E-04,  7.910767653048984E-03, -2.694047184080501E-05
A.D. 1952-Jan-01,  4.703910064085735E+00,  1.533759960126696E+00, -1.117149154472556E-01, -2.432950818932893E-03,  7.539729249196247E-03,  2.351130372406327E-05
A.D. 1952-Jul-01,  4.078387608767103E+00,  2.826146808775940E+00, -1.030078555416692E-01, -4.393217267449375E-03,  6.568474516888141E-03,  7.145949636419415E-05
A.D. 1953-Jan-01,  3.115895339002360E+00,  3.903816062557105E+00, -8.586769616733592E-02, -5.993607455330357E-03,  5.071893700214635E-03,  1.134779110693357E-04
A.D. 1953-Jul-01,  1.925512139445970E+00,  4.660405659622603E+00, -6.230152368227245E-02, -7.070631801861483E-03,  3.244288558648166E-03,  1.451343941000451E-04
A.D. 1954-Jan-01,  5.671339195225499E-01,  5.070631303465585E+00, -3.354772296451904E-02, -7.595558630166479E-03,  1.198472257996745E-03,  1.653054974405663E-04
A.D. 1954-Jul-01, -8.117726498049354E-01,  5.103163144286079E+00, -2.781988214087603E-03, -7.548603315185246E-03, -8.274315054303607E-04,  1.726135559377509E-04
A.D. 1955-Jan-01, -2.155454299160800E+00,  4.770596861390486E+00,  2.869440834632128E-02, -6.971707664191327E-03, -2.752212482222144E-03,  1.675907060625534E-04
A.D. 1955-Jul-01, -3.331999477805339E+00,  4.119398623378626E+00,  5.773469418112799E-02, -5.962008740671861E-03, -4.392740503128317E-03,  1.516561798520897E-04
A.D. 1956-Jan-01, -4.306435865016081E+00,  3.183414792391298E+00,  8.341612498075858E-02, -4.578591803498919E-03, -5.717059309290034E-03,  1.260972897979298E-04
A.D. 1956-Jul-01, -4.995509437584455E+00,  2.053587037062646E+00,  1.034997042304380E-01, -2.960784703296846E-03, -6.628990464766523E-03,  9.358463331895386E-05
A.D. 1957-Jan-01, -5.377582158867079E+00,  7.820404887467158E-01,  1.172863528340516E-01, -1.175805352497972E-03, -7.117334106818743E-03,  5.561637302637275E-05
