julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2433282.500000000, A.D. 1950-Jan-01, -1.620893686602163E+01,  4.057873719416685E+01,  1.295438033545484E+01, -3.272260657396902E-03, -4.838415040676309E-04,  1.249184496885811E-03,  2.632255139204833E-01,  4.557608491825021E+01,  1.088039930118650E-03

2433463.500000000, A.D. 1950-Jul-01, -1.660326038656821E+01,  4.043935648353832E+01,  1.315393335459395E+01, -3.107637278692261E-03, -1.416325704708518E-03,  1.194015712786406E-03,  2.636595771054484E-01,  4.565124062896842E+01,  2.196569869252297E-04

2433647.500000000, A.D. 1951-Jan-01, -1.700026062645779E+01,  4.028785570040198E+01,  1.335494465384009E+01, -1.516788870526538E-03, -1.757823729810863E-03,  9.812292977162797E-04,  2.640665717034942E-01,  4.572170955914745E+01, -6.983308367782918E-04

2433828.500000000, A.D. 1951-Jul-01, -1.738497735742007E+01,  4.013910889303723E+01,  1.355091040745809E+01, -1.010296704599194E-03, -1.001355020984025E-03,  9.365994632727783E-04,  2.644791827273036E-01,  4.579315094330226E+01, -2.170136204856426E-04

2434012.500000000, A.D. 1952-Jan-01, -1.777249473173132E+01,  3.998965569935546E+01,  1.374865024087861E+01, -1.946869382002390E-03,  2.920337780238707E-04,  1.086593948255585E-03,  2.649231905155011E-01,  4.587002850869423E+01,  1.334602532622824E-03

2434194.500000000, A.D. 1952-Jul-01, -1.816127959682538E+01,  3.983821279785158E+01,  1.394372070830496E+01, -3.026931330754080E-03, -1.674403899834109E-04,  1.199512293644495E-03,  2.653813042737601E-01,  4.594934844709100E+01,  1.415212335703428E-03

2434378.500000000, A.D. 1953-Jan-01, -1.855747530935648E+01,  3.967548257671969E+01,  1.413992259052007E+01, -2.813811072545461E-03, -1.804302500336431E-03,  1.115999904969333E-03,  2.658283071702326E-01,  4.602674459940506E+01, -7.798054533767402E-05

2434559.500000000, A.D. 1953-Jul-01, -1.894008721400925E+01,  3.950834291293068E+01,  1.433074950305659E+01, -1.913319287914114E-03, -2.049353358505507E-03,  9.913833207567170E-04,  2.662386438275406E-01,  4.609779218920743E+01, -6.620893013643089E-04

2434743.500000000, A.D. 1954-Jan-01, -1.932099895079898E+01,  3.933400004662844E+01,  1.452251418202868E+01, -9.665192676520868E-04, -7.438015767531521E-04,  9.094530595858046E-04,  2.666368591815856E-01,  4.616674104040879E+01,  5.685849592391224E-05

2434924.500000000, A.D. 1954-Jul-01, -1.969591779245065E+01,  3.916402531066856E+01,  1.471015214298075E+01, -1.458919499269492E-03,  4.881945901904509E-06,  9.877287137123152E-04,  2.670600321138195E-01,  4.624001116231810E+01,  9.397833983741408E-04

2435108.500000000, A.D. 1955-Jan-01, -2.007948738783443E+01,  3.899130745758464E+01,  1.490010860718347E+01, -3.028523930082991E-03, -3.592769493142706E-04,  1.163915267577091E-03,  2.675206816570990E-01,  4.631977015828080E+01,  1.384829711848442E-03

2435289.500000000, A.D. 1955-Jul-01, -2.045700113470843E+01,  3.881153927210637E+01,  1.508560603010956E+01, -3.167580869032640E-03, -1.294615448327883E-03,  1.145894175237223E-03,  2.679491951369568E-01,  4.639396496734672E+01,  6.862895900202515E-04

2435473.500000000, A.D. 1956-Jan-01, -2.083812794793025E+01,  3.861842428547222E+01,  1.527242640306820E+01, -1.767456456866890E-03, -2.145078408566572E-03,  9.405390151980892E-04,  2.683508237527858E-01,  4.646350480650590E+01, -6.810668192164376E-04

2435655.500000000, A.D. 1956-Jul-01, -2.120613779448645E+01,  3.842566309438351E+01,  1.545495745283145E+01, -9.260427988804352E-04, -1.331205439372084E-03,  8.562199723527001E-04,  2.687377646590864E-01,  4.653050154759396E+01, -3.928996394847991E-04

2435839.500000000, A.D. 1957-Jan-01, -2.157354186214150E+01,  3.823366179604554E+01,  1.563789205627072E+01, -1.737029010900822E-03,  4.396652347385373E-05,  9.931253774280151E-04,  2.691524320804410E-01,  4.660229898594638E+01,  1.173445471827987E-03

2436020.500000000, A.D. 1957-Jul-01, -2.193866654870185E+01,  3.804142651750109E+01,  1.581709059630912E+01, -2.630094272407390E-03, -1.294785616376178E-04,  1.091765107895074E-03,  2.695772646251328E-01,  4.667585646084510E+01,  1.500642194452077E-03

2436204.500000000, A.D. 1958-Jan-01, -2.231314201630794E+01,  3.783994798400863E+01,  1.599833991183297E+01, -2.953147146903919E-03, -1.741917621302850E-03,  1.074885744402580E-03,  2.700130394793721E-01,  4.675130853791104E+01,  3.673973530131578E-04

2436385.500000000, A.D. 1958-Jul-01, -2.267483257362677E+01,  3.763379401459969E+01,  1.617443150194699E+01, -2.172549638350547E-03, -2.266548588476807E-03,  9.559748347647814E-04,  2.704067040153836E-01,  4.681946943939563E+01, -4.394384250652315E-04

2436569.500000000, A.D. 1959-Jan-01, -2.303420979015096E+01,  3.741861756159307E+01,  1.635107750887920E+01, -8.402887109767136E-04, -1.340263865250168E-03,  8.142119697438581E-04,  2.707779256976016E-01,  4.688374448120397E+01, -3.728838581473605E-04

2436750.500000000, A.D. 1959-Jul-01, -2.338543030231476E+01,  3.720982051337364E+01,  1.652349127696454E+01, -1.048332800377501E-03, -4.611682254299715E-04,  8.609974737524253E-04,  2.711711866385654E-01,  4.695183550237228E+01,  4.596712941730351E-04

2436934.500000000, A.D. 1960-Jan-01, -2.374288710933513E+01,  3.699990654626838E+01,  1.669769239686996E+01, -2.637586561101508E-03, -2.752031064465897E-04,  1.056231019819643E-03,  2.716048077917366E-01,  4.702691467765789E+01,  1.490169021099744E-03

2437116.500000000, A.D. 1960-Jul-01, -2.409934701609555E+01,  3.678439096091257E+01,  1.686890936150463E+01, -3.056884715659727E-03, -1.388964186519791E-03,  1.066499093261466E-03,  2.720281425764092E-01,  4.710021282344825E+01,  8.612997264715341E-04

2437300.500000000, A.D. 1961-Jan-01, -2.445682203883875E+01,  3.655627801021636E+01,  1.704009797169330E+01, -1.736221036310481E-03, -2.355472231358063E-03,  8.665822909841640E-04,  2.724222396621104E-01,  4.716844861858998E+01, -6.122355628938442E-04

2437481.500000000, A.D. 1961-Jul-01, -2.480051566437621E+01,  3.633093344325496E+01,  1.720626138891050E+01, -9.516465382548695E-04, -1.868957205357980E-03,  7.783016401900509E-04,  2.728012594254057E-01,  4.723407385628201E+01, -6.543575637944850E-04

2437665.500000000, A.D. 1962-Jan-01, -2.514340582462378E+01,  3.610328108269288E+01,  1.737316148320358E+01, -1.259125346379277E-03, -2.921899480612414E-04,  8.586098563689222E-04,  2.731926705221734E-01,  4.730184458685648E+01,  7.616288908840933E-04

2437846.500000000, A.D. 1962-Jul-01, -2.548430746094599E+01,  3.587864818505384E+01,  1.753651127792321E+01, -2.152675895571926E-03, -1.526001878660247E-04,  9.663044355960621E-04,  2.736070082519919E-01,  4.737358494088898E+01,  1.400146825464142E-03

