epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.395553775243386E+00,  9.043964307945367E-01,  5.337868153054327E-02, -7.079450101905351E-03, -1.055357339241759E-02, -4.613925530568703E-05
A.D. 1950-Jul-01, -1.003345926539013E+00, -1.182414756538585E+00,  1.676537749010332E-05,  1.120091400463419E-02, -7.859161156770357E-03, -4.410007545203241E-04
A.D. 1951-Jan-01,  1.268419222364405E+00, -5.454862466969986E-01, -4.272852360667536E-02,  6.068251303062154E-03,  1.404919680443302E-02,  1.442966455271878E-04
A.D. 1951-Jul-01,  2.191075529133924E-01,  1.534663430642536E+00,  2.671733066318883E-02, -1.331635222956979E-02,  3.162926313497010E-03,  3.949150100760091E-04
A.D. 1952-Jan-01, -1.612138665418542E+00,  4.061629593280855E-01,  4.829686984652488E-02, -2.889552295136886E-03, -1.237916680186851E-02, -1.878092362715975E-04
A.D. 1952-Jul-01, -4.441752684450762E-01, -1.426072341791081E+00, -1.888725397440466E-02,  1.389370938544373E-02, -2.964971821948480E-03, -4.050124719477480E-04
A.D. 1953-Jan-01,  1.391502986737935E+00,  1.088231561426536E-01, -3.206933898742848E-02, -5.500770048188315E-04,  1.514219824524966E-02,  3.305358758036836E-04
A.D. 1953-Jul-01, -3.689251524770260E-01,  1.557780280812233E+00,  4.170967631781883E-02, -1.308119386418947E-02, -2.039148563902060E-03,  2.801607055610429E-04
A.D. 1954-Jan-01, -1.636512007874147E+00, -1.522902326069920E-01,  3.719944157576401E-02,  1.825524947205363E-03, -1.274140701081646E-02, -3.117391911833006E-04
A.D. 1954-Jul-01,  1.735618194954988E-01, -1.429875398790306E+00, -3.420949541520997E-02,  1.442744190347274E-02,  2.885419183170001E-03, -2.956357929887701E-04
A.D. 1955-Jan-01,  1.233715217931479E+00,  7.293420445678174E-01, -1.517701656681168E-02, -6.579529855148302E-03,  1.323733644953017E-02,  4.394193224047213E-04
A.D. 1955-Jul-01, -8.961513596602717E-01,  1.371756347412634E+00,  5.082263107719738E-02, -1.118013249372450E-02, -6.465961692774294E-03,  1.405077315049161E-04
A.D. 1956-Jan-01, -1.458207873656477E+00, -6.793780849852120E-01,  2.175316591513775E-02,  6.438014012737902E-03, -1.149058175107031E-02, -3.993787945144754E-04
A.D. 1956-Jul-01,  7.699460977663903E-01, -1.168418489021985E+00, -4.345471524956954E-02,  1.222005537372101E-02,  8.899192817568702E-03, -1.151778102519478E-04
A.D. 1957-Jan-01,  8.384896393383531E-01,  1.226415049386648E+00,  4.991352572530158E-03, -1.101482803166999E-02,  9.088800648181504E-03,  4.620178095984000E-04
A.D. 1957-Jul-01, -1.321347238041145E+00,  1.005932473313892E+00,  5.365783917018842E-02, -7.944373760771497E-03, -9.943195417450432E-03, -1.218755471815916E-05
A.D. 1958-Jan-01, -1.079146142254415E+00, -1.125872899981995E+00,  3.050830158790515E-03,  1.063185108909266E-02, -8.488390646359673E-03, -4.399907125625764E-04
A.D. 1958-Jul-01,  1.201037284283447E+00, -6.822855156059594E-01, -4.391224494320765E-02,  7.448343908343852E-03,  1.336196497924213E-02,  9.599700640477257E-05
A.D. 1959-Jan-01,  3.108110366313295E-01,  1.509516454543033E+00,  2.393457769866249E-02, -1.317248527478909E-02,  4.008952840174223E-03,  4.088699584275348E-04
A.D. 1959-Jul-01, -1.578616503650501E+00,  5.272866573391203E-01,  4.997976107052418E-02, -3.905362442800917E-03, -1.208025146829763E-02, -1.565696240131600E-04
A.D. 1960-Jan-01, -5.532132503810797E-01, -1.398669206344053E+00, -1.563348528987710E-02,  1.354547857658110E-02, -3.949479722760963E-03, -4.167894532966808E-04
A.D. 1960-Jul-01,  1.389408913890335E+00, -4.200944656284084E-02, -3.514685902848937E-02,  9.635331547036692E-04,  1.517870384961000E-02,  2.939880759999797E-04
A.D. 1961-Jan-01, -2.778170420957202E-01,  1.568998605313543E+00,  3.969579042516131E-02, -1.324535016050306E-02, -1.255231209101875E-03,  3.003811853650275E-04
A.D. 1961-Jul-01, -1.649297417936463E+00, -2.603834476268127E-02,  4.012761018802957E-02,  7.466237201346282E-04, -1.279954599731922E-02, -2.863685406225108E-04
A.D. 1962-Jan-01,  7.307401583939310E-02, -1.446743543477723E+00, -3.208988665344700E-02,  1.450875006848851E-02,  1.906718519024093E-03, -3.178743757873793E-04
A.D. 1962-Jul-01,  1.292754700045686E+00,  5.941470109291220E-01, -1.943779495334718E-02, -5.302598594715420E-03,  1.390757726427756E-02,  4.219414973268667E-04
A.D. 1963-Jan-01, -8.174264883891404E-01,  1.414024767534455E+00,  4.976230257386521E-02, -1.158062775691852E-02, -5.817031580888999E-03,  1.637680559343666E-04
A.D. 1963-Jul-01, -1.516535026891748E+00, -5.637738337695771E-01,  2.559051332910444E-02,  5.402687878012596E-03, -1.192497823991124E-02, -3.829007060927442E-04
A.D. 1964-Jan-01,  6.711669941023707E-01, -1.234957923943052E+00, -4.240699641960988E-02,  1.282728057674898E-02,  7.879627394145532E-03, -1.513113430492108E-04
A.D. 1964-Jul-01,  9.441042056709589E-01,  1.130657361595107E+00,  3.929759588131265E-04, -1.020524005310226E-02,  1.015973764908750E-02,  4.643410995435820E-04
A.D. 1965-Jan-01, -1.264229315986005E+00,  1.073153345966779E+00,  5.363770436093950E-02, -8.523619374262058E-03, -9.477894672266684E-03,  1.172135845359121E-05
