epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  3.208815121855068E-01,  9.919523843856283E-02, -2.139652914301896E-02, -1.375997202300677E-02,  2.814371139503642E-02,  3.561886942519482E-03
A.D. 1950-Jul-01,  2.200857246939897E-01,  2.260536710267481E-01, -1.776989308348166E-03, -2.571838332142637E-02,  2.081924476704712E-02,  4.063164051104897E-03
A.D. 1951-Jan-01, -3.242795363115777E-02,  3.073661195034714E-01,  2.806923625667299E-02, -3.361948026386176E-02, -1.919183686390054E-03,  2.933326942068595E-03
A.D. 1951-Jul-01, -1.920874089731783E-01,  2.613510188078246E-01,  3.898777683862614E-02, -2.834688874973749E-02, -1.555139420350327E-02,  1.335965165418418E-03
A.D. 1952-Jan-01, -3.580073175108288E-01,  8.365210510227240E-02,  3.973238812242519E-02, -1.222950012746757E-02, -2.618026923209799E-02, -1.013020668912122E-03
A.D. 1952-Jul-01, -3.952256717547167E-01, -7.823404188955253E-02,  2.993872134440250E-02, -3.802638359208686E-04, -2.637844199336566E-02, -2.118265084477581E-03
A.D. 1953-Jan-01, -3.468550568757235E-01, -2.718586985341827E-01,  9.687085502925992E-03,  1.160304834408300E-02, -2.087716955694057E-02, -2.770573086480092E-03
A.D. 1953-Jul-01, -2.742655434871906E-01, -3.645647129939382E-01, -4.552165494913669E-03,  1.678901528001950E-02, -1.558714222148920E-02, -2.815382696562164E-03
A.D. 1954-Jan-01, -1.167792092632359E-01, -4.510404087920365E-01, -2.608516530583469E-02,  2.159085652350365E-02, -5.629509544710339E-03, -2.443836687858628E-03
A.D. 1954-Jul-01, -4.522700005897462E-03, -4.624266400830905E-01, -3.733193402205633E-02,  2.249233310759715E-02,  1.177558457651235E-03, -1.970978523508298E-03
A.D. 1955-Jan-01,  1.711839635372852E-01, -4.080635031910697E-01, -4.904214415104179E-02,  2.031221649814774E-02,  1.230887028005350E-02, -8.619465241309832E-04
A.D. 1955-Jul-01,  2.648115717127702E-01, -3.285675805868861E-01, -5.115687272368907E-02,  1.630892190698668E-02,  1.902164883186728E-02,  5.397270356092305E-05
A.D. 1956-Jan-01,  3.543015934043661E-01, -1.382239703745973E-01, -4.384283441088960E-02,  4.746172030356144E-03,  2.748993288615399E-02,  1.807874241867361E-03
A.D. 1956-Jul-01,  3.449217115781588E-01,  3.671359923348964E-02, -2.870002598824515E-02, -8.409806531984594E-03,  2.924422751423025E-02,  3.160095756466104E-03
A.D. 1957-Jan-01,  1.980544514052046E-01,  2.425661412094941E-01,  1.600992726504361E-03, -2.737269932066927E-02,  1.896464581833804E-02,  4.063574524138407E-03
A.D. 1957-Jul-01,  4.071462181938518E-02,  3.042843430658045E-01,  2.109844118538624E-02, -3.352543850214964E-02,  4.776652048877976E-03,  3.470752890797911E-03
A.D. 1958-Jan-01, -2.150344050922108E-01,  2.476913158608298E-01,  3.998069861966650E-02, -2.693715263037395E-02, -1.731628745327251E-02,  1.061767646636450E-03
A.D. 1958-Jul-01, -3.265014350853308E-01,  1.389797598397539E-01,  4.134893245006541E-02, -1.681434719443572E-02, -2.468253384080732E-02, -4.698457775143490E-04
A.D. 1959-Jan-01, -3.951218040213741E-01, -7.375336818825513E-02,  3.028786857542862E-02, -6.822440451490719E-04, -2.643746762152370E-02, -2.095557902354490E-03
A.D. 1959-Jul-01, -3.772214491706048E-01, -2.012626365632613E-01,  1.823343429261782E-02,  7.449302192139145E-03, -2.358414576539978E-02, -2.609851681751605E-03
A.D. 1960-Jan-01, -2.770834078416595E-01, -3.619067115321319E-01, -4.083783713108554E-03,  1.664343775805226E-02, -1.577987853777655E-02, -2.817571032404684E-03
A.D. 1960-Jul-01, -1.627016504311047E-01, -4.357641209138721E-01, -2.062394591820093E-02,  2.070442500627357E-02, -8.441775323852341E-03, -2.591655827421474E-03
A.D. 1961-Jan-01,  1.416800518213935E-02, -4.609824355975899E-01, -3.893497511418920E-02,  2.248003091706192E-02,  2.317373742355442E-03, -1.876407183698148E-03
A.D. 1961-Jul-01,  1.259174414744599E-01, -4.315404577307529E-01, -4.679966326792734E-02,  2.137001531966922E-02,  9.321355540856734E-03, -1.202587330642892E-03
A.D. 1962-Jan-01,  2.780026468933161E-01, -3.123505973989605E-01, -5.104326971979896E-02,  1.542833863548281E-02,  2.005982855633376E-02,  2.200667340978058E-04
A.D. 1962-Jul-01,  3.398044733547422E-01, -1.959869381880755E-01, -4.722176425307992E-02,  8.542111608942613E-03,  2.566650617999773E-02,  1.310545649004974E-03
A.D. 1963-Jan-01,  3.463256296863760E-01,  3.175501183047331E-02, -2.922778368224845E-02, -8.000298575075063E-03,  2.928376763187006E-02,  3.125818300407273E-03
A.D. 1963-Jul-01,  2.742753646831288E-01,  1.720542751608992E-01, -1.115338437214848E-02, -2.045457527354671E-02,  2.507122793841949E-02,  3.926216680433802E-03
A.D. 1964-Jan-01,  4.641261469278254E-02,  3.034262642811018E-01,  2.050832619538019E-02, -3.345038072754978E-02,  5.300998182413377E-03,  3.506140141206537E-03
A.D. 1964-Jul-01, -1.526852792488561E-01,  2.801069132216605E-01,  3.689730703111663E-02, -3.036206539874952E-02, -1.238555704433432E-02,  1.778393591209266E-03
A.D. 1965-Jan-01, -3.397197425769583E-01,  1.181896432554759E-01,  4.086192972343543E-02, -1.505457578056545E-02, -2.536332139293049E-02, -6.875882801232685E-04
A.D. 1965-Jul-01, -3.893056696951547E-01, -1.578271140781632E-02,  3.447878095108600E-02, -4.711585723177435E-03, -2.689425773521635E-02, -1.762886918493681E-03
A.D. 1966-Jan-01, -3.705393165098982E-01, -2.205643972381707E-01,  1.603494999844943E-02,  8.606749992208331E-03, -2.293249370335491E-02, -2.663047310562968E-03
A.D. 1966-Jul-01, -3.110285605955321E-01, -3.250600006902623E-01,  2.035188913112538E-03,  1.460871736986287E-02, -1.815596388143940E-02, -2.824460198843194E-03
A.D. 1967-Jan-01, -1.661890911329379E-01, -4.343138919579641E-01, -2.019190658189798E-02,  2.062282262553235E-02, -8.658556342736405E-03, -2.601545973346875E-03
A.D. 1967-Jul-01, -5.693428190608180E-02, -4.614563657872792E-01, -3.244558270033136E-02,  2.228082398322031E-02, -2.004643182040442E-03, -2.210573597158683E-03
A.D. 1968-Jan-01,  1.223002125345642E-01, -4.331044550343673E-01, -4.659696974922801E-02,  2.143698570780133E-02,  9.086485730527123E-03, -1.227468286615567E-03
A.D. 1968-Jul-01,  2.421247382007013E-01, -3.528939612971479E-01, -5.105603281905478E-02,  1.758952016091854E-02,  1.729910880512968E-02, -2.034347703054220E-04
A.D. 1969-Jan-01,  3.463327655275820E-01, -1.743643826932126E-01, -4.605265560259605E-02,  7.150421917510256E-03,  2.641661831186187E-02,  1.500017245760804E-03
A.D. 1969-Jul-01,  3.581338684550602E-01, -3.195264601989851E-02, -3.550842888457544E-02, -2.936086746787635E-03,  2.928956502391577E-02,  2.661213539801270E-03
A.D. 1970-Jan-01,  2.564963171453538E-01,  1.923172660668036E-01, -7.859784211492133E-03, -2.240175155379593E-02,  2.373322362019704E-02,  3.995744430956308E-03
A.D. 1970-Jul-01,  1.173216482705548E-01,  2.847715863201512E-01,  1.247438478002104E-02, -3.163985100845563E-02,  1.181021255476505E-02,  3.870857160567104E-03
A.D. 1971-Jan-01, -1.474747694778522E-01,  2.821805475604540E-01,  3.658768490662970E-02, -3.059214391143732E-02, -1.195617056442051E-02,  1.833988648602171E-03
A.D. 1971-Jul-01, -2.813639100021844E-01,  1.938191622272268E-01,  4.167197587565662E-02, -2.170910964082574E-02, -2.199314289080505E-02,  1.984298801649295E-04
A.D. 1972-Jan-01, -3.884600724159176E-01, -1.120777001821788E-02,  3.476808214570309E-02, -5.040166401264649E-03, -2.690679397023614E-02, -1.734009475415986E-03
