epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.008536810240177E+00,  2.500880894190853E+00,  3.138415647989261E-01, -4.826841381340994E-03, -1.183956414780438E-02,  4.037772148982130E-03
A.D. 1950-Jul-01, -9.278321849301422E+00,  1.513243565813174E+00,  3.420974049786576E-01, -1.504777178273228E-03, -1.306462545285848E-02,  3.881203007438242E-03
A.D. 1951-Jan-01, -9.441081975120605E+00,  4.906184698590412E-01,  3.670421331173482E-01,  7.576702181463163E-03, -6.729966022849711E-03,  1.829771951588974E-05
A.D. 1951-Jul-01, -9.493093164539806E+00, -5.199002786866269E-01,  3.867227950479178E-01,  7.900940947130650E-03, -3.898193399095129E-03, -1.526606746358282E-03
A.D. 1952-Jan-01, -9.436601900704579E+00, -1.539884268456154E+00,  4.017041430131310E-01, -1.050560115329393E-03,  1.769270802492991E-03, -3.845662341930724E-03
A.D. 1952-Jul-01, -9.276233854057400E+00, -2.532213189901689E+00,  4.124125634039318E-01, -5.309699106766664E-03, -7.204962140800791E-04, -1.599836038104939E-03
A.D. 1953-Jan-01, -9.012134643381508E+00, -3.508201130143703E+00,  4.191285438405831E-01, -3.327153015233606E-03, -1.059300165851915E-02,  3.527752977153917E-03
A.D. 1953-Jul-01, -8.653837406023607E+00, -4.430979183188570E+00,  4.212341734402207E-01, -5.261990480535774E-04, -1.200018135298623E-02,  3.699312946745543E-03
A.D. 1954-Jan-01, -8.195656432879611E+00, -5.322656941999102E+00,  4.193196725325593E-01,  1.024177509243918E-02, -7.736674679312275E-03,  9.267540908285758E-04
A.D. 1954-Jul-01, -7.659445007622741E+00, -6.143362300401137E+00,  4.123216110521697E-01,  1.147951872765285E-02, -4.684438194837225E-03, -6.689432343728322E-04
A.D. 1955-Jan-01, -7.033448487154732E+00, -6.912559171356794E+00,  4.003738288065300E-01,  4.249732448059332E-03,  3.293346855632253E-03, -4.217993037537556E-03
A.D. 1955-Jul-01, -6.347153917813122E+00, -7.599813097502965E+00,  3.849106841365883E-01,  1.572927172432408E-03,  3.445135479990680E-03, -3.324895548045131E-03
A.D. 1956-Jan-01, -5.586048704087947E+00, -8.220770029025687E+00,  3.651775616034951E-01, -3.654545340622223E-03, -4.762762563307240E-03,  1.619391307394876E-03
A.D. 1956-Jul-01, -4.776101531139733E+00, -8.753955051926360E+00,  3.425914193021143E-01, -1.655334928083058E-06, -8.775603293265682E-03,  3.249239447610912E-03
A.D. 1957-Jan-01, -3.908164963652945E+00, -9.206383550030665E+00,  3.167938892050037E-01,  1.140947476344891E-02, -6.619681421459453E-03,  1.598244608060696E-03
A.D. 1957-Jul-01, -3.015708081771851E+00, -9.560326239008546E+00,  2.875212019157835E-01,  1.316084432511802E-02, -3.717555686616492E-03,  1.262870561712629E-04
A.D. 1958-Jan-01, -2.077554209332794E+00, -9.824944459328151E+00,  2.544915821743935E-01,  7.614210822068580E-03,  5.676925740532167E-03, -4.274198925458554E-03
A.D. 1958-Jul-01, -1.135668732757884E+00, -9.990527940014983E+00,  2.197484696634872E-01,  4.416557819790020E-03,  6.637329520724719E-03, -3.717707654221331E-03
A.D. 1959-Jan-01, -1.683628798529986E-01, -1.006048716686679E+01,  1.820794851501575E-01, -3.041461719775477E-03, -2.087541195732200E-04,  7.847288517001706E-04
A.D. 1959-Jul-01,  7.859172090402571E-01, -1.003347315821510E+01,  1.437929639573309E-01, -2.255201805783128E-03, -2.243175416902456E-03,  1.701058777751574E-03
A.D. 1960-Jan-01,  1.748025557227996E+00, -9.909216228949528E+00,  1.041856413957409E-01,  8.312666997196563E-03, -5.763626315680590E-03,  3.137239008724549E-03
A.D. 1960-Jul-01,  2.684069096549520E+00, -9.689122796958296E+00,  6.336171876669891E-02,  1.275780609904331E-02, -1.833179100618638E-03,  8.115736876747202E-04
A.D. 1961-Jan-01,  3.604755785379904E+00, -9.369973846114824E+00,  2.094781846647102E-02,  8.655839185877484E-03,  8.258185361171146E-03, -4.131455787002496E-03
