epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.240970619464397E+00,  1.890430772089382E+01,  8.578553556645631E-02, -7.129902260157846E-03, -3.187429727088404E-04, -2.131311127721218E-03
A.D. 1950-Jul-01, -1.955249050778331E+00,  1.881166294444529E+01,  9.458077942028470E-02, -7.622426274523169E-03, -9.565652439869802E-05, -9.921648255375398E-04
A.D. 1951-Jan-01, -2.679358639283485E+00,  1.869024327989448E+01,  1.037522685786077E-01, -6.359691508856616E-03,  3.789653420775240E-04,  2.827933802563414E-03
A.D. 1951-Jul-01, -3.387406091829650E+00,  1.854359877373991E+01,  1.126302980068998E-01, -5.228808508913736E-03,  1.745876039666899E-04,  3.516246087908985E-03
A.D. 1952-Jan-01, -4.102183973732906E+00,  1.836706562237988E+01,  1.221353454113359E-01, -1.305656406856589E-03, -1.011260017862308E-03,  2.933851480513799E-03
A.D. 1952-Jul-01, -4.803618082395433E+00,  1.816473522382245E+01,  1.293316966798619E-01, -6.397327964270604E-03,  2.243409868441457E-05,  2.669152545979852E-03
A.D. 1953-Jan-01, -5.505989684034736E+00,  1.793315227951717E+01,  1.384537684563338E-01, -2.500722687974227E-03, -9.208553791996250E-04,  3.660020009975557E-03
A.D. 1953-Jul-01, -6.188641553355388E+00,  1.767825178343542E+01,  1.466306280975208E-01, -1.382506102645815E-03, -1.520607649502351E-03,  3.097235029905972E-03
A.D. 1954-Jan-01, -6.872657306845503E+00,  1.739185075418850E+01,  1.548045568271353E-01, -6.378201584361207E-05, -2.785107312831148E-03, -5.846806269843689E-04
A.D. 1954-Jul-01, -7.535807149559718E+00,  1.708380315783799E+01,  1.621946880377220E-01, -4.627307081136091E-04, -3.025850093539990E-03, -1.770058286207236E-03
A.D. 1955-Jan-01, -8.198196029637877E+00,  1.674405973159107E+01,  1.687776671457266E-01, -3.827340251436467E-03, -2.467255290254376E-03, -3.769280894684048E-03
A.D. 1955-Jul-01, -8.837695535829624E+00,  1.638447891618249E+01,  1.754803479435030E-01, -4.916330435796371E-03, -2.168222481730010E-03, -3.545629506207380E-03
A.D. 1956-Jan-01, -9.474563953509746E+00,  1.599359425638412E+01,  1.817392021513463E-01, -7.096453674392523E-03, -1.147711691588703E-03, -4.331432983836694E-04
A.D. 1956-Jul-01, -1.008822957109532E+01,  1.558195017359576E+01,  1.891035288800653E-01, -3.234505681459295E-03, -2.824617644805573E-03, -3.792065945205314E-03
A.D. 1957-Jan-01, -1.069379414900840E+01,  1.514153858709660E+01,  1.945341407830149E-01, -6.480935889763507E-03, -1.717495006854608E-03, -1.922738056594350E-03
A.D. 1957-Jul-01, -1.127257583192809E+01,  1.468503583941271E+01,  2.002484913407499E-01, -6.794774831415396E-03, -1.612689301424662E-03, -7.568865255566269E-04
A.D. 1958-Jan-01, -1.184350971608443E+01,  1.419819422189582E+01,  2.061402596985071E-01, -5.319010263764983E-03, -1.825268824215613E-03,  3.013148871094039E-03
A.D. 1958-Jul-01, -1.238584391421949E+01,  1.369721210947778E+01,  2.115574646752252E-01, -4.162259184789026E-03, -2.229959145150616E-03,  3.633807882632080E-03
A.D. 1959-Jan-01, -1.291702851109255E+01,  1.316646173647384E+01,  2.173597682434180E-01, -2.547498052686323E-04, -3.405928337663081E-03,  2.857437762766292E-03
A.D. 1959-Jul-01, -1.341917314664992E+01,  1.262402084139236E+01,  2.220259833271204E-01,  6.012613674983757E-04, -3.735697684862958E-03,  1.864569776400828E-03
A.D. 1960-Jan-01, -1.390748976782524E+01,  1.205269012222986E+01,  2.261898931275019E-01,  4.816894670335086E-04, -3.985662082360477E-03, -2.156321814092467E-03
A.D. 1960-Jul-01, -1.437044117662288E+01,  1.146928183690434E+01,  2.298122108852244E-01, -1.169062209458561E-04, -3.577729669108442E-03,  3.051141741380338E-03
A.D. 1961-Jan-01, -1.481344483968447E+01,  1.086104923050272E+01,  2.336055052099731E-01,  1.356652396602373E-03, -4.133818696595281E-03, -7.219860066184817E-04
A.D. 1961-Jul-01, -1.522651710979614E+01,  1.024603615511467E+01,  2.365566149504129E-01,  1.038433380007730E-03, -4.173951823686673E-03, -1.921024486730979E-03
A.D. 1962-Jan-01, -1.562200237971582E+01,  9.604636123665491E+00,  2.384819263104374E-01, -2.367638800232967E-03, -3.758874623998759E-03, -3.832090194952279E-03
A.D. 1962-Jul-01, -1.598702854524735E+01,  8.958838959392924E+00,  2.405092932646200E-01, -3.477600648037231E-03, -3.647758910612082E-03, -3.535883213882381E-03
A.D. 1963-Jan-01, -1.633331092036330E+01,  8.288154949707476E+00,  2.419495226634830E-01, -5.622107238128712E-03, -3.119221155439756E-03, -2.259475029661055E-04
A.D. 1963-Jul-01, -1.664789817595102E+01,  7.615254930818868E+00,  2.435381859967338E-01, -5.323096881923361E-03, -3.106489705978875E-03,  1.065108687477574E-03
A.D. 1964-Jan-01, -1.694143336348865E+01,  6.918976133579539E+00,  2.454072854959307E-01, -2.148559656588691E-03, -3.287479827212592E-03,  3.774402394331679E-03
A.D. 1964-Jul-01, -1.720337548306772E+01,  6.218616607286009E+00,  2.455043827550134E-01, -5.181535274840194E-03, -3.400342096033284E-03, -4.197811073675650E-04
A.D. 1965-Jan-01, -1.744225209480235E+01,  5.500612399721897E+00,  2.463066330652418E-01, -3.224376076633433E-03, -3.185823089571389E-03,  3.214724665879783E-03
A.D. 1965-Jul-01, -1.764888737919596E+01,  4.785112547694990E+00,  2.465891264692117E-01, -1.874555224805089E-03, -3.274878231176738E-03,  3.707799317385720E-03
A.D. 1966-Jan-01, -1.782997471232447E+01,  4.049706140241092E+00,  2.470635677477502E-01,  2.065841360405744E-03, -4.031864060888699E-03,  2.451852549714286E-03
A.D. 1966-Jul-01, -1.797966365013092E+01,  3.319347607967958E+00,  2.464419418475272E-01,  2.839434203717052E-03, -4.350484155385644E-03,  1.367186612689843E-03
A.D. 1967-Jan-01, -1.810190604843288E+01,  2.571008655293312E+00,  2.451063121603009E-01,  2.174081579214604E-03, -5.020200373175728E-03, -2.523956081700569E-03
A.D. 1967-Jul-01, -1.819374194103555E+01,  1.830537099973613E+00,  2.433399011919594E-01,  1.329792027082404E-03, -5.077303562482122E-03, -3.296045437043094E-03
A.D. 1968-Jan-01, -1.825753501989363E+01,  1.074491446521016E+00,  2.404828726456233E-01, -2.458883850606043E-03, -4.375005506335344E-03, -3.172677368954439E-03
A.D. 1968-Jul-01, -1.829103583176614E+01,  3.251894629878164E-01,  2.392846823157466E-01,  2.838618089603658E-03, -5.196759123831395E-03, -2.260905295374514E-03
