epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.814703731705984E-01,  9.684729979149125E-01,  2.844902930161161E-04, -1.769163243622743E-02, -3.017760497370365E-03,  3.038451646379921E-05
A.D. 1950-Jul-01,  1.652341782773701E-01, -1.005546913813161E+00, -3.097862693332885E-04,  1.726163704506508E-02,  2.945417301925398E-03,  1.822058697113105E-05
A.D. 1951-Jan-01, -1.807301208853813E-01,  9.666701029794893E-01,  4.920437636099293E-05, -1.708726840009505E-02, -3.760479846959455E-03, -4.992637022298004E-05
A.D. 1951-Jul-01,  1.611490056820855E-01, -1.001673995128460E+00,  1.210412470904478E-04,  1.622168598097967E-02,  2.905340386140531E-03,  9.987250971112908E-06
A.D. 1952-Jan-01, -1.718193730826993E-01,  9.665647158878395E-01,  9.062671912003015E-05, -1.687488847747608E-02, -2.598616708994287E-03,  5.403052028638261E-05
A.D. 1952-Jul-01,  1.698116182799668E-01, -1.002680751787934E+00, -2.896872411850993E-04,  1.685642921494713E-02,  2.313061683385687E-03, -2.872967196730636E-05
A.D. 1953-Jan-01, -1.875721384795073E-01,  9.678730912345220E-01,  1.958381123307846E-04, -1.770887947167448E-02, -3.501747886574859E-03, -4.690237197877816E-05
A.D. 1953-Jul-01,  1.701052560095301E-01, -1.003891546843251E+00, -2.548131101197021E-06,  1.698481846786389E-02,  3.309581988292472E-03,  5.032765622315658E-05
A.D. 1954-Jan-01, -1.839156976831282E-01,  9.641911283497894E-01, -1.168855770918895E-04, -1.672918469528554E-02, -3.581412657172893E-03,  2.509939307031031E-05
A.D. 1954-Jul-01,  1.630276551035057E-01, -1.001021723798813E+00, -1.018505860983193E-04,  1.611481084531140E-02,  2.571747494030330E-03, -5.500980931462986E-05
A.D. 1955-Jan-01, -1.753787416530224E-01,  9.670447596024848E-01,  3.241103034611996E-04, -1.722269232954503E-02, -2.584243773727928E-03,  3.470508481145137E-06
A.D. 1955-Jul-01,  1.578703633262087E-01, -1.006234737121044E+00, -2.382191955131284E-04,  1.714481210325659E-02,  2.294356330123936E-03,  4.215975901075015E-05
A.D. 1956-Jan-01, -1.752756379212671E-01,  9.694090681604101E-01, -1.001030314807217E-04, -1.763334039235881E-02, -3.548368141078683E-03, -2.936015523356547E-05
A.D. 1956-Jul-01,  1.744160257852198E-01, -1.001844691741152E+00,  1.113728885750791E-04,  1.658954905383636E-02,  3.407828801641476E-03, -2.585483595421044E-05
A.D. 1957-Jan-01, -1.858373814694241E-01,  9.628684733795251E-01,  2.490545011352032E-04, -1.662042171969802E-02, -3.239022371973954E-03,  3.835995169847888E-05
