epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -2.909262026598143E+01, -8.409023962116242E+00,  8.433793022478373E-01,  8.581975270628178E-04, -2.992437296754499E-03,  4.217856159870922E-05
A.D. 1950-Jul-01, -2.893236806625992E+01, -8.949113008362264E+00,  8.508258463515195E-01,  9.123362584348369E-04, -2.974515822062545E-03,  4.069772754493129E-05
A.D. 1951-Jan-01, -2.875939797183578E+01, -9.494746925948123E+00,  8.580975570480796E-01,  9.678941649449020E-04, -2.955719069227017E-03,  3.867880759811154E-05
A.D. 1951-Jul-01, -2.857945722441351E+01, -1.002805875534959E+01,  8.649546815608555E-01,  1.020930475326341E-03, -2.936496429512266E-03,  3.742667506206613E-05
A.D. 1952-Jan-01, -2.838666427158776E+01, -1.056661608937833E+01,  8.716237803981105E-01,  1.075126948188827E-03, -2.917156766571517E-03,  3.516069515797055E-05
A.D. 1952-Jul-01, -2.818622576924230E+01, -1.109569845786646E+01,  8.779183345558841E-01,  1.128343917683960E-03, -2.896922965815910E-03,  3.356585763079300E-05
A.D. 1953-Jan-01, -2.797376588666322E+01, -1.162681649107700E+01,  8.839733145907946E-01,  1.181115810486554E-03, -2.876395266532822E-03,  3.183066188297929E-05
A.D. 1953-Jul-01, -2.775513849449149E+01, -1.214547914887902E+01,  8.896249813772036E-01,  1.234675873326696E-03, -2.855019096636102E-03,  3.002050121727937E-05
A.D. 1954-Jan-01, -2.752308741444951E+01, -1.266871475421258E+01,  8.950549056345033E-01,  1.287568795737106E-03, -2.832634579434073E-03,  2.864650614132833E-05
A.D. 1954-Jul-01, -2.728515805861919E+01, -1.317931458916902E+01,  9.000835975832681E-01,  1.341061915300155E-03, -2.809782945238746E-03,  2.655242013120410E-05
A.D. 1955-Jan-01, -2.703346172249508E+01, -1.369398651482538E+01,  9.048726156214159E-01,  1.394272476660706E-03, -2.784775907487855E-03,  2.538524728528653E-05
A.D. 1955-Jul-01, -2.677620878182393E+01, -1.419575984891409E+01,  9.092627468561086E-01,  1.447370956671992E-03, -2.759727187723729E-03,  2.316975023958367E-05
A.D. 1956-Jan-01, -2.650490588740366E+01, -1.470101051724383E+01,  9.133965025082027E-01,  1.500940329746306E-03, -2.731943451378854E-03,  2.193318141301325E-05
A.D. 1956-Jul-01, -2.622688680778318E+01, -1.519574711078780E+01,  9.171556312598432E-01,  1.553642108862946E-03, -2.703831328549274E-03,  2.010287100706804E-05
A.D. 1957-Jan-01, -2.593611516258494E+01, -1.569056379467169E+01,  9.206212692086608E-01,  1.607095604718129E-03, -2.674026729555083E-03,  1.791272350399234E-05
A.D. 1957-Jul-01, -2.564065343946433E+01, -1.617183819918638E+01,  9.236987286805035E-01,  1.658041047933058E-03, -2.643121279635459E-03,  1.646181935858018E-05
A.D. 1958-Jan-01, -2.533081851710275E+01, -1.665524997571920E+01,  9.264898095180147E-01,  1.709976693212266E-03, -2.610896503028869E-03,  1.400494570550570E-05
A.D. 1958-Jul-01, -2.501684064955901E+01, -1.712482019937453E+01,  9.289022600657850E-01,  1.759948031762536E-03, -2.577044646252918E-03,  1.262984780068251E-05
A.D. 1959-Jan-01, -2.468846602996537E+01, -1.759584973447347E+01,  9.310158327321004E-01,  1.809785980484886E-03, -2.542514155665791E-03,  1.018245116550091E-05
A.D. 1959-Jul-01, -2.435656323499835E+01, -1.805277949992357E+01,  9.327624702639356E-01,  1.858326212388377E-03, -2.506255384055551E-03,  8.696179564405611E-06
A.D. 1960-Jan-01, -2.401031258016787E+01, -1.851051668064655E+01,  9.341992730600471E-01,  1.905551807462597E-03, -2.469328050205231E-03,  6.543470352662409E-06
A.D. 1960-Jul-01, -2.365924664931472E+01, -1.895639584252528E+01,  9.352869209217501E-01,  1.951992799137815E-03, -2.431077707603787E-03,  4.698103007713431E-06
A.D. 1961-Jan-01, -2.329587217685325E+01, -1.940001820667885E+01,  9.360501514524801E-01,  1.996997434579385E-03, -2.391160606042151E-03,  3.470254810835972E-06
A.D. 1961-Jul-01, -2.293034575875755E+01, -1.982926030251912E+01,  9.364733477636439E-01,  2.040973264192663E-03, -2.351931352342461E-03,  1.221584555894643E-06
A.D. 1962-Jan-01, -2.255078260294319E+01, -2.025819994246717E+01,  9.365727745886689E-01,  2.084059331851777E-03, -2.310495261887436E-03,  7.933542537919465E-09
A.D. 1962-Jul-01, -2.216976818402278E+01, -2.067277821862530E+01,  9.363465853584092E-01,  2.125172280824503E-03, -2.270366392758641E-03, -2.105027887946938E-06
A.D. 1963-Jan-01, -2.177488370208329E+01, -2.108664979338687E+01,  9.357904370212293E-01,  2.166443486377538E-03, -2.228174849867187E-03, -3.566788396999270E-06
A.D. 1963-Jul-01, -2.137917731276892E+01, -2.148630215584221E+01,  9.349222959900615E-01,  2.205347528102548E-03, -2.187333751969082E-03, -5.399792385799609E-06
A.D. 1964-Jan-01, -2.096969129574963E+01, -2.188492434763488E+01,  9.337165547976696E-01,  2.245333351516633E-03, -2.145060348437839E-03, -7.276378728994104E-06
A.D. 1964-Jul-01, -2.055761011721996E+01, -2.227161325524531E+01,  9.322021925988905E-01,  2.283635545644899E-03, -2.103351793877212E-03, -8.970912813221044E-06
A.D. 1965-Jan-01, -2.013396956851403E+01, -2.265479868771984E+01,  9.303459928572433E-01,  2.321750690833496E-03, -2.061616167009174E-03, -1.135427995821755E-05
A.D. 1965-Jul-01, -1.971039996692746E+01, -2.302409196264984E+01,  9.282006836162290E-01,  2.359285760551543E-03, -2.018960279457374E-03, -1.274990590573058E-05
A.D. 1966-Jan-01, -1.927291902093615E+01, -2.339162076898106E+01,  9.256927323185837E-01,  2.396237195964625E-03, -1.976096249006857E-03, -1.487459298065159E-05
A.D. 1966-Jul-01, -1.883584895548701E+01, -2.374530881909353E+01,  9.229045583217274E-01,  2.433542698384360E-03, -1.932236685886749E-03, -1.654839330534991E-05
A.D. 1967-Jan-01, -1.838477001099991E+01, -2.409671511502457E+01,  9.197407777237526E-01,  2.469577822021863E-03, -1.887605790361867E-03, -1.827015099356453E-05
A.D. 1967-Jul-01, -1.793446279977496E+01, -2.443424167102673E+01,  9.163057175213871E-01,  2.506095270591187E-03, -1.842379861036483E-03, -2.025680161061135E-05
A.D. 1968-Jan-01, -1.747009907319286E+01, -2.476887794649199E+01,  9.124832046899689E-01,  2.541041310618023E-03, -1.795401255321688E-03, -2.159329334981466E-05
A.D. 1968-Jul-01, -1.700435429831587E+01, -2.509130497354202E+01,  9.083755863366421E-01,  2.575874095462656E-03, -1.748010094198974E-03, -2.345042988656819E-05
A.D. 1969-Jan-01, -1.652713490079472E+01, -2.540840053959008E+01,  9.038932173790365E-01,  2.610625848314780E-03, -1.698393362229623E-03, -2.490072185147473E-05
A.D. 1969-Jul-01, -1.605160828856053E+01, -2.571145938760227E+01,  8.991602494790016E-01,  2.643189288979747E-03, -1.649576585370289E-03, -2.677584497657952E-05
A.D. 1970-Jan-01, -1.556219243204812E+01, -2.601031471849235E+01,  8.940233080560418E-01,  2.676335405795770E-03, -1.598318686823021E-03, -2.863143306555583E-05
A.D. 1970-Jul-01, -1.507502877223263E+01, -2.629507341542327E+01,  8.886496902017599E-01,  2.706644899489818E-03, -1.547392803710985E-03, -3.017481461699466E-05
A.D. 1971-Jan-01, -1.457417777295128E+01, -2.657498235243249E+01,  8.828652765090081E-01,  2.737386677535687E-03, -1.494672359266201E-03, -3.239003340985417E-05
A.D. 1971-Jul-01, -1.407618928523636E+01, -2.684078719565328E+01,  8.768600809032380E-01,  2.765475105452558E-03, -1.441633987246127E-03, -3.368526673045427E-05
A.D. 1972-Jan-01, -1.356480303514808E+01, -2.710113072392744E+01,  8.704394095691681E-01,  2.793286668636924E-03, -1.387744001793585E-03, -3.605476140247937E-05
A.D. 1972-Jul-01, -1.305412455884191E+01, -2.734876099488091E+01,  8.637786674039223E-01,  2.819276437680637E-03, -1.333312692690486E-03, -3.768723978428954E-05
A.D. 1973-Jan-01, -1.253319732458106E+01, -2.758899312187243E+01,  8.567348736859973E-01,  2.842987742064730E-03, -1.278303823194966E-03, -3.931220804721686E-05
A.D. 1973-Jul-01, -1.201647549353143E+01, -2.781532927441986E+01,  8.495078267534052E-01,  2.866353286518103E-03, -1.223281902882122E-03, -4.112554988507469E-05
A.D. 1974-Jan-01, -1.148710779664885E+01, -2.803520697760657E+01,  8.418606818333455E-01,  2.887111059723006E-03, -1.167248605364868E-03, -4.230187242594767E-05
A.D. 1974-Jul-01, -1.096260986424318E+01, -2.824146467600363E+01,  8.340487611805609E-01,  2.907596629997370E-03, -1.112323299786482E-03, -4.429539203254646E-05
A.D. 1975-Jan-01, -1.042584631735584E+01, -2.844092534344448E+01,  8.258166196921077E-01,  2.926147666006311E-03, -1.056046013303420E-03, -4.523477284921597E-05
A.D. 1975-Jul-01, -9.894527022895247E+00, -2.862713302405929E+01,  8.174367246095608E-01,  2.943918014418241E-03, -1.001755612120491E-03, -4.722519378713359E-05
A.D. 1976-Jan-01, -9.351230301793020E+00, -2.880627702945781E+01,  8.086348053590008E-01,  2.960869140405368E-03, -9.457119963333714E-04, -4.821731442440459E-05
A.D. 1976-Jul-01, -8.810836213097504E+00, -2.897346985953154E+01,  7.996492585924396E-01,  2.976868544467792E-03, -8.910649660640944E-04, -4.974202875956594E-05
A.D. 1977-Jan-01, -8.261597530221760E+00, -2.913238488595563E+01,  7.902854394807332E-01,  2.993122518082176E-03, -8.358562164693935E-04, -5.170720110940457E-05
A.D. 1977-Jul-01, -7.718564383539146E+00, -2.927880920170314E+01,  7.808004402355700E-01,  3.007643762937664E-03, -7.812888773530568E-04, -5.279358062057645E-05
A.D. 1978-Jan-01, -7.163834515648945E+00, -2.941754208865454E+01,  7.708819866709505E-01,  3.022508066444410E-03, -7.263043286585253E-04, -5.495450472360128E-05
A.D. 1978-Jul-01, -6.615585325493350E+00, -2.954403232727967E+01,  7.608541545949709E-01,  3.036252118784127E-03, -6.709835147291285E-04, -5.597837843314739E-05
