epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.237626779192317E+00,  1.890373097558805E+01,  8.664189352442943E-02, -3.929560214961415E-03, -6.943045955387467E-04, -1.752151810095658E-03
A.D. 1950-Jul-01, -1.959023521606049E+00,  1.881244939660608E+01,  9.393088835849153E-02, -4.567011848376190E-03, -2.162125270943605E-04,  1.715475507695344E-03
A.D. 1951-Jan-01, -2.675766669555506E+00,  1.868926372819350E+01,  1.019632652539685E-01, -5.051458736445353E-03, -6.905127958034761E-04, -1.380278426079864E-03
A.D. 1951-Jul-01, -3.390216223609333E+00,  1.854444166715189E+01,  1.141241355624905E-01, -3.315935871733461E-03, -7.712720884656270E-04,  1.767351027371291E-03
A.D. 1952-Jan-01, -4.100856305630840E+00,  1.836611814166040E+01,  1.178195149416677E-01, -5.621302468355958E-03, -7.096884872730174E-04, -3.425122731519824E-04
A.D. 1952-Jul-01, -4.803292745252365E+00,  1.816531365005938E+01,  1.337908918774714E-01, -2.064150740283756E-03, -1.543936922813364E-03,  2.322935265370985E-04
A.D. 1953-Jan-01, -5.508363795937989E+00,  1.793326285303089E+01,  1.359417113419741E-01, -4.791222901762537E-03, -9.139710665363983E-04,  1.505901206344973E-03
A.D. 1953-Jul-01, -6.185767201306382E+00,  1.767793605462066E+01,  1.493280592864607E-01, -2.304313090104832E-03, -1.936640150845143E-03, -9.662714873343649E-04
A.D. 1954-Jan-01, -6.876631761353623E+00,  1.739260669753217E+01,  1.542478418718964E-01, -3.513499578721268E-03, -1.417151883815813E-03,  1.839984913511875E-03
A.D. 1954-Jul-01, -7.532553039225100E+00,  1.708314509497508E+01,  1.625168629975128E-01, -3.191529983223491E-03, -2.112146987753064E-03, -1.694356118256603E-03
A.D. 1955-Jan-01, -8.201696435296004E+00,  1.674526668978813E+01,  1.714797495123576E-01, -2.296591784235334E-03, -2.011587322114748E-03,  1.336676608708142E-03
