epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.395593207631415E+00,  9.044403961300015E-01,  5.339986460877013E-02, -7.890159205299190E-03, -1.141832499262906E-02,  2.942127415173921E-04
A.D. 1950-Jul-01, -1.003295602709549E+00, -1.182442912368378E+00, -9.675552512252839E-06,  1.169403532588248E-02, -6.762442521818771E-03, -6.445437016216497E-04
A.D. 1951-Jan-01,  1.268463279339790E+00, -5.455237983215488E-01, -4.275387256757808E-02,  6.749112725191777E-03,  1.502249022546183E-02, -1.523153473972478E-04
A.D. 1951-Jul-01,  2.190548852802067E-01,  1.534683625945171E+00,  2.674556309808785E-02, -1.369210061257163E-02,  1.999048036444567E-03,  4.889153427197051E-04
A.D. 1952-Jan-01, -1.612187936212217E+00,  4.061937542952263E-01,  4.832251721094083E-02, -3.458444530515768E-03, -1.343784609136280E-02,  1.116918559414738E-05
A.D. 1952-Jul-01, -4.441312177117356E-01, -1.426033577321398E+00, -1.890700891004849E-02,  1.319806660277865E-02, -1.999167407187784E-03, -2.453924015406383E-05
A.D. 1953-Jan-01,  1.391554060432598E+00,  1.088508584259400E-01, -3.209441717789252E-02, -1.016074304733894E-03,  1.623403505703768E-02,  6.230641236528078E-04
A.D. 1953-Jul-01, -3.689632748880406E-01,  1.557734573594707E+00,  4.172604953012767E-02, -1.227933046204447E-02, -2.875449999662219E-03, -1.977838530347698E-04
A.D. 1954-Jan-01, -1.636560048050668E+00, -1.523250752782586E-01,  3.722014619765435E-02,  2.421882593177902E-03, -1.375193455308612E-02, -6.839358142124271E-04
A.D. 1954-Jul-01,  1.735933788972430E-01, -1.429823691623147E+00, -3.422168813979457E-02,  1.349886709542821E-02,  3.573871264426617E-03,  1.853356645945842E-04
A.D. 1955-Jan-01,  1.233757290092275E+00,  7.293838038452887E-01, -1.519641967820882E-02, -7.319350036795855E-03,  1.414571626766431E-02,  8.473603114636588E-04
A.D. 1955-Jul-01, -8.961751648699754E-01,  1.371699727953083E+00,  5.083169580086502E-02, -1.018974067159218E-02, -6.986347603664997E-03, -4.084584039465229E-04
A.D. 1956-Jan-01, -1.458244403820566E+00, -6.794259716165791E-01,  2.176772512275158E-02,  7.282888865599395E-03, -1.226792922820791E-02, -8.901455480168849E-04
A.D. 1956-Jul-01,  7.699165531089437E-01, -1.168365462694337E+00, -4.343686146208595E-02,  1.126917544302787E-02,  8.248408859469515E-03,  2.942844899115902E-04
A.D. 1957-Jan-01,  8.384715968168311E-01,  1.226473168785563E+00,  5.002695033929615E-03, -1.208192849050986E-02,  8.672071134585443E-03,  9.616769004923469E-04
A.D. 1957-Jul-01, -1.321311449365088E+00,  1.005884194753973E+00,  5.363716902830214E-02, -7.102993930554397E-03, -9.158234396558473E-03, -4.094365233003930E-04
A.D. 1958-Jan-01, -1.079121071804082E+00, -1.125927317162294E+00,  3.033824730628437E-03,  1.162197412017508E-02, -7.904620666101484E-03, -9.114195600934288E-04
A.D. 1958-Jul-01,  1.200996314904564E+00, -6.822429263686985E-01, -4.388870573006787E-02,  6.688252430886792E-03,  1.246122045126380E-02,  3.963775484007921E-04
A.D. 1959-Jan-01,  3.107779452844445E-01,  1.509566423607751E+00,  2.395318423619203E-02, -1.408593753096869E-02,  3.280567299280435E-03,  8.028601566241066E-04
A.D. 1959-Jul-01, -1.578570437823425E+00,  5.272505599746595E-01,  4.995529432237389E-02, -3.275809719817337E-03, -1.107214429933151E-02, -4.303029276221927E-04
A.D. 1960-Jan-01, -5.531745968566483E-01, -1.398713703536841E+00, -1.565630225848834E-02,  1.434025757452315E-02, -3.093115299993134E-03, -7.822651116295390E-04
A.D. 1960-Jul-01,  1.389356591659819E+00, -4.203254864800324E-02, -3.512219564663209E-02,  1.352009560904600E-03,  1.403511802543467E-02,  3.641974487835906E-06
A.D. 1961-Jan-01, -2.778737720133613E-01,  1.568987512726610E+00,  3.972217379116984E-02, -1.308044736658860E-02, -2.450347838958289E-03,  1.360939414332422E-04
A.D. 1961-Jul-01, -1.649248877797108E+00, -2.600689197367449E-02,  4.010554189436025E-02,  1.848826003096120E-04, -1.173001256567745E-02,  3.382894977517237E-05
A.D. 1962-Jan-01,  7.312795846258976E-02, -1.446724322323668E+00, -3.211676986624918E-02,  1.418730697532807E-02,  3.066463073103493E-03, -9.980965310534255E-05
A.D. 1962-Jul-01,  1.292711420070317E+00,  5.941076455100489E-01, -1.941811860491091E-02, -4.618956816895306E-03,  1.294691865761929E-02, -3.095530565894394E-06
A.D. 1963-Jan-01, -8.174782421326057E-01,  1.413997782820692E+00,  4.978556322447528E-02, -1.112530665521643E-02, -6.917467738835444E-03, -1.495568687020885E-04
A.D. 1963-Jul-01, -1.516497180653827E+00, -5.637274485129834E-01,  2.557519333201569E-02,  4.576136750192940E-03, -1.109478518823353E-02,  5.892536337986588E-05
A.D. 1964-Jan-01,  6.712139047266701E-01, -1.234923221530952E+00, -4.242897975871053E-02,  1.221209867696580E-02,  8.899568687928594E-03,  1.965783294472880E-04
A.D. 1964-Jul-01,  9.441190215552890E-01,  1.130597315454067E+00,  3.817845334089774E-04, -9.148876742567992E-03,  1.050056331728729E-02, -6.809084524430722E-05
A.D. 1965-Jan-01, -1.264228604123055E+00,  1.073091854781855E+00,  5.363235107531081E-02, -7.405666956425902E-03, -9.418448838956241E-03, -5.518177088512888E-04
A.D. 1965-Jul-01, -1.180062673652994E+00, -1.037449736226873E+00,  7.388427111722921E-03,  8.750279525690803E-03, -9.812865987978148E-03,  1.781439908321488E-05
A.D. 1966-Jan-01,  1.146838422681076E+00, -7.719707571997378E-01, -4.442896900603843E-02,  7.244956984630232E-03,  1.255648254716274E-02,  5.859844034833186E-04
A.D. 1966-Jul-01,  4.399570370385312E-01,  1.463986044149679E+00,  1.978673847810562E-02, -1.193640505023931E-02,  5.857353354118073E-03, -2.200139208807437E-05
A.D. 1967-Jan-01, -1.549221216454714E+00,  6.100682316744866E-01,  5.094582759143420E-02, -3.551788772986066E-03, -1.140478845388429E-02, -6.497416904476290E-04
A.D. 1967-Jul-01, -6.854258510878799E-01, -1.353440726288850E+00, -1.142537834320765E-02,  1.215399584090402E-02, -5.899504623579263E-03, -6.545415075810539E-05
A.D. 1968-Jan-01,  1.376691604950644E+00, -1.614857368990714E-01, -3.729794267342901E-02,  1.177936251913076E-03,  1.451267959030349E-02,  7.014655238004737E-04
A.D. 1968-Jul-01, -1.461699513739266E-01,  1.575871304919038E+00,  3.657318474938119E-02, -1.349693928636065E-02,  1.118609452266752E-03,  4.270280153941709E-04
A.D. 1969-Jan-01, -1.651935373369047E+00,  6.239303358735742E-02,  4.199168991519774E-02,  1.274045244291723E-04, -1.158172387574714E-02, -2.674836441243957E-04
A.D. 1969-Jul-01, -7.125435413650381E-02, -1.458947170063754E+00, -2.876834022013309E-02,  1.474729715257947E-02, -6.808673486636397E-04, -5.652381187905780E-04
A.D. 1970-Jan-01,  1.326047503985488E+00,  4.961896336393760E-01, -2.226464959120717E-02, -4.355538996609361E-03,  1.308687811394472E-02,  3.128113513010513E-04
A.D. 1970-Jul-01, -7.002766568187657E-01,  1.466749171605494E+00,  4.794771445044432E-02, -1.251332735015574E-02, -3.691652432097456E-03,  4.530422835670852E-04
A.D. 1971-Jan-01, -1.551484453511176E+00, -4.803528058026745E-01,  2.815060914372071E-02,  4.491962809668204E-03, -1.097188562327609E-02, -2.282065406224104E-04
A.D. 1971-Jul-01,  5.404668127240903E-01, -1.306663071806252E+00, -4.065288980295161E-02,  1.401836253298282E-02,  5.484200849338204E-03, -5.583205588380205E-04
A.D. 1972-Jan-01,  1.022089309235082E+00,  1.046809255921678E+00, -3.241249593106484E-03, -9.167338245328904E-03,  9.800896539318744E-03,  2.138937650103775E-04
A.D. 1972-Jul-01, -1.175900502274220E+00,  1.163439312228686E+00,  5.333339130022827E-02, -1.043069560438999E-02, -8.750643127113558E-03,  5.791486213971368E-04
A.D. 1973-Jan-01, -1.245788403361168E+00, -9.712298058529979E-01,  1.035024897887594E-02,  8.048344898052302E-03, -9.538363119206431E-03,  1.183586690839791E-04
A.D. 1973-Jul-01,  1.057361272249003E+00, -8.951418589338281E-01, -4.479608368804559E-02,  1.066160715768159E-02,  1.204959598252476E-02, -5.432442496487399E-04
A.D. 1974-Jan-01,  5.281138320147486E-01,  1.424808230384141E+00,  1.682750492866852E-02, -1.147942683910215E-02,  5.936447683696932E-03, -1.387608374997546E-04
A.D. 1974-Jul-01, -1.498776529904306E+00,  7.252519965805382E-01,  5.211577192460349E-02, -6.635112144921378E-03, -1.174220382537172E-02,  3.873628719284470E-04
A.D. 1975-Jan-01, -7.739561385434975E-01, -1.315557188699650E+00, -8.483877822231452E-03,  1.146564360943360E-02, -5.972117578339266E-03,  1.041513381792711E-04
A.D. 1975-Jul-01,  1.347629057924062E+00, -3.109757469240274E-01, -3.971921121803797E-02,  4.682670305508517E-03,  1.532550966668171E-02, -2.683669932166619E-04
A.D. 1976-Jan-01, -3.943775342155244E-02,  1.572759436926287E+00,  3.389931040468922E-02, -1.237134623765530E-02,  1.093508780706505E-03, -1.990436405674590E-04
A.D. 1976-Jul-01, -1.646618149952504E+00,  1.890396579764821E-01,  4.454317002367349E-02, -1.296849426877935E-03, -1.391341102596108E-02, -2.260746119720675E-04
A.D. 1977-Jan-01, -1.710843909765324E-01, -1.459127878475900E+00, -2.631598325825328E-02,  1.400326547386122E-02, -1.564514750479261E-03, -2.313346102403002E-04
A.D. 1977-Jul-01,  1.362800573224943E+00,  3.519634641522887E-01, -2.622076428824373E-02, -2.906031448486531E-03,  1.597338365678393E-02,  4.060439594986676E-04
A.D. 1978-Jan-01, -6.151269331581789E-01,  1.497842069226259E+00,  4.648337688474571E-02, -1.213639442274294E-02, -2.946812148045915E-03,  1.394311463564188E-04
A.D. 1978-Jul-01, -1.592722768199370E+00, -3.578309727102744E-01,  3.174961517245006E-02,  3.683056116516717E-03, -1.369087320488874E-02, -4.928799089325071E-04
A.D. 1979-Jan-01,  4.456941341576478E-01, -1.348503994595811E+00, -3.918636063709622E-02,  1.367761638393420E-02,  4.383764756516820E-03, -2.461671639477832E-04
A.D. 1979-Jul-01,  1.110953708404407E+00,  9.337066092203697E-01, -7.823350193210798E-03, -8.736979840199444E-03,  1.311075707637407E-02,  6.481821823844011E-04
A.D. 1980-Jan-01, -1.099872480473047E+00,  1.230316653676573E+00,  5.281658514560793E-02, -9.925516754577160E-03, -6.915227746472455E-03,  1.384404625736542E-04
A.D. 1980-Jul-01, -1.331853574499589E+00, -8.703395973138439E-01,  1.456509234368275E-02,  9.232035513724290E-03, -1.087255946326939E-02, -9.944553608315855E-04
A.D. 1981-Jan-01,  9.879165507978726E-01, -9.752360308288747E-01, -4.473642662830973E-02,  1.130569442927574E-02,  1.052816284891723E-02, -5.424618427256943E-04
A.D. 1981-Jul-01,  6.501669830392006E-01,  1.358961430509566E+00,  1.245565736447600E-02, -1.319343087592257E-02,  7.404533017191833E-03,  9.858195764703174E-04
A.D. 1982-Jan-01, -1.458258733110133E+00,  8.026998255179166E-01,  5.270344086240849E-02, -7.255264668317394E-03, -1.060231792253192E-02,  4.506355248032244E-04
A.D. 1982-Jul-01, -8.954302401655885E-01, -1.252046055885989E+00, -4.179458985783432E-03,  1.300248515612117E-02, -6.937596845118283E-03, -1.006073984800143E-03
