julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2433282.500000000, A.D. 1950-Jan-01, -2.653296174543575E+01,  2.428864534103904E+01,  5.074449506675807E+00, -2.387607488205720E-03, -2.307385644645593E-03,  8.020199817824826E-04,  2.098100732680291E-01,  3.632748806734835E+01,  3.131743224217773E-04

2433463.500000000, A.D. 1950-Jul-01, -2.676641509388276E+01,  2.381688761157650E+01,  5.192056143347243E+00, -2.204937521085104E-03, -3.258880619425651E-03,  7.292557259214145E-04,  2.090899216196068E-01,  3.620279767471253E+01, -4.091336798942834E-04

2433647.500000000, A.D. 1951-Jan-01, -2.699602898718273E+01,  2.332672017951742E+01,  5.310074243035153E+00, -5.859886203772928E-04, -3.592414958371934E-03,  5.258337026532134E-04,  2.083288260384856E-01,  3.607101805988930E+01, -1.807203683909875E-03

2433828.500000000, A.D. 1951-Jul-01, -2.721218130608731E+01,  2.284408644284849E+01,  5.424624927961681E+00, -7.364968007837538E-05, -2.858531834472456E-03,  4.801157048805490E-04,  2.075800071428039E-01,  3.594136408725696E+01, -1.688637418172239E-03

2434012.500000000, A.D. 1952-Jan-01, -2.742432021940214E+01,  2.235448785303225E+01,  5.539878616044957E+00, -9.762613164297737E-04, -1.559551909664099E-03,  6.263791813528301E-04,  2.068334574013524E-01,  3.581210300650030E+01, -1.289959606120690E-04

2434194.500000000, A.D. 1952-Jul-01, -2.763557486249109E+01,  2.186585346250376E+01,  5.653554229874735E+00, -2.046691622309809E-03, -2.021378457047161E-03,  7.652115882378560E-04,  2.061304436635530E-01,  3.569037995110408E+01,  4.675909768687097E-04

2434378.500000000, A.D. 1953-Jan-01, -2.784806395562382E+01,  2.136155521938415E+01,  5.767658077724449E+00, -1.813572277123173E-03, -3.672577052972980E-03,  6.712334156312361E-04,  2.054247696764505E-01,  3.556819628781945E+01, -6.768978591583489E-04

2434559.500000000, A.D. 1953-Jul-01, -2.804579331757161E+01,  2.085774421220624E+01,  5.877920271531273E+00, -8.779041339485326E-04, -3.902197483624811E-03,  5.570491941650875E-04,  2.046980879489689E-01,  3.544237524704356E+01, -1.509357879151683E-03

2434743.500000000, A.D. 1954-Jan-01, -2.823439371731754E+01,  2.034049853672190E+01,  5.987890690616795E+00,  8.209657732655747E-05, -2.611764455464933E-03,  4.760565736969309E-04,  2.039315571130030E-01,  3.530965454701676E+01, -1.489449956975735E-03

2434924.500000000, A.D. 1954-Jul-01, -2.841578470060882E+01,  1.983262047303104E+01,  6.095216340399312E+00, -3.683209890446421E-04, -1.853254867595371E-03,  5.446395148101931E-04,  2.032080908652552E-01,  3.518439024929827E+01, -6.528200338378293E-04

2435108.500000000, A.D. 1955-Jan-01, -2.859811650935535E+01,  1.931578410035761E+01,  6.203587591394648E+00, -1.923077789332778E-03, -2.224200564400386E-03,  7.329707403541379E-04,  2.025088369513108E-01,  3.506331818722234E+01,  4.728951458393259E-04

2435289.500000000, A.D. 1955-Jul-01, -2.877313508284827E+01,  1.879699443982569E+01,  6.308901993986614E+00, -2.027248330338672E-03, -3.165432048132482E-03,  6.930800792304355E-04,  2.018147054456720E-01,  3.494313304265088E+01,  9.164191822357781E-05

2435473.500000000, A.D. 1956-Jan-01, -2.894376190227395E+01,  1.825869300293233E+01,  6.414241405315093E+00, -6.027703200156353E-04, -4.011442850645855E-03,  5.019329452716339E-04,  2.010895581913348E-01,  3.481757768766393E+01, -1.510091950561969E-03

2435655.500000000, A.D. 1956-Jul-01, -2.909881325024148E+01,  1.772403616798472E+01,  6.516150759290084E+00,  2.496421510256058E-04, -3.221894475737281E-03,  4.086892410528243E-04,  2.003482782226610E-01,  3.468922903977914E+01, -1.778828343815889E-03

2435839.500000000, A.D. 1957-Jan-01, -2.924607349644257E+01,  1.718595948692377E+01,  6.617587106787579E+00, -5.231141630780480E-04, -1.841637352243856E-03,  5.371168311145368E-04,  1.996093398139245E-01,  3.456128582042958E+01, -3.702655137000517E-04

2436020.500000000, A.D. 1957-Jul-01, -2.938980925841026E+01,  1.665288402320820E+01,  6.716535735484534E+00, -1.403626241767236E-03, -2.020314462944806E-03,  6.549240770391839E-04,  1.989153651894978E-01,  3.444112783899797E+01,  3.486258085798077E-04

2436204.500000000, A.D. 1958-Jan-01, -2.953419158307018E+01,  1.610461378064568E+01,  6.816128557954673E+00, -1.693792435295066E-03, -3.637912292257526E-03,  6.228466919574371E-04,  1.982346584646214E-01,  3.432326712316036E+01, -1.257741289295773E-04

2436385.500000000, A.D. 1958-Jul-01, -2.966455508031964E+01,  1.555702061635974E+01,  6.911784863352225E+00, -8.855521530841360E-04, -4.151030190898080E-03,  5.239568791664652E-04,  1.975345046364075E-01,  3.420203924575879E+01, -1.014169773958797E-03

2436569.500000000, A.D. 1959-Jan-01, -2.978355964122595E+01,  1.499454257804406E+01,  7.006490248356468E+00,  4.702199181150110E-04, -3.237371825680352E-03,  3.716377763853769E-04,  1.967907877960319E-01,  3.407326866661831E+01, -1.759263450393805E-03

2436750.500000000, A.D. 1959-Jul-01, -2.989316745163065E+01,  1.444394459558291E+01,  7.098151369732618E+00,  3.049581085663812E-04, -2.339949418020369E-03,  4.231481024679420E-04,  1.960797190911907E-01,  3.395015093691243E+01, -1.175567506209065E-03

2436934.500000000, A.D. 1960-Jan-01, -2.999964149379070E+01,  1.388645952851319E+01,  7.190007329515629E+00, -1.266184179577665E-03, -2.165003802937718E-03,  6.199512553394222E-04,  1.953891614363431E-01,  3.383058458542347E+01,  3.658904504722619E-04

