epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.004544976167690E+00,  2.498470615690473E+00,  3.147616949741591E-01,  1.121335055365050E-03, -2.000915800742365E-03, -1.870926834553862E-03
A.D. 1950-Jul-01, -9.273686138327021E+00,  1.512349937000684E+00,  3.421278775990225E-01, -1.287946617508873E-04, -1.314538347449968E-03, -2.156236698356314E-03
A.D. 1951-Jan-01, -9.442099244730459E+00,  4.887978158718268E-01,  3.680553995413610E-01,  4.014264749122716E-03, -7.212457343188827E-03,  5.634221081227690E-04
A.D. 1951-Jul-01, -9.493194381606457E+00, -5.219311836821166E-01,  3.878435510519722E-01,  4.882239091354621E-03, -5.439548215659583E-03, -4.173663123347053E-04
A.D. 1952-Jan-01, -9.441299528952229E+00, -1.539758671668540E+00,  4.020743355222604E-01,  3.565774366159102E-04, -9.832201131577140E-03,  2.369728830531430E-03
A.D. 1952-Jul-01, -9.276347754988173E+00, -2.536158289564297E+00,  4.144760421144484E-01,  5.970195951330168E-03, -4.758348420410761E-03, -7.233365782121189E-04
A.D. 1953-Jan-01, -9.014648015057041E+00, -3.508976191888704E+00,  4.197847110200877E-01,  2.036665162361795E-03, -9.542060971667172E-03,  2.281295678827340E-03
A.D. 1953-Jul-01, -8.655808155281644E+00, -4.432717881658420E+00,  4.223133580786063E-01,  4.501379425153116E-03, -8.901952201260837E-03,  1.863547211778648E-03
A.D. 1954-Jan-01, -8.196402685539510E+00, -5.318707338804091E+00,  4.172661498223409E-01, -1.834731014713815E-03, -6.045609426608259E-03,  1.110931118374696E-03
A.D. 1954-Jul-01, -7.661930762258081E+00, -6.139938031193974E+00,  4.107844060550692E-01, -2.946649742285900E-04, -7.269547897901678E-03,  1.808126790302238E-03
A.D. 1955-Jan-01, -7.031878552867123E+00, -6.910619220128134E+00,  3.992069310699340E-01,  6.224061000110537E-04, -4.495331200389951E-04, -1.673696375387304E-03
A.D. 1955-Jul-01, -6.346681627815590E+00, -7.597436686750219E+00,  3.835915799959457E-01, -3.144562033725404E-04, -1.363879550898496E-03, -8.754191497056096E-04
A.D. 1956-Jan-01, -5.582840920073819E+00, -8.223737992173442E+00,  3.664743954621680E-01,  7.153372913700483E-03,  2.579210137588993E-04, -2.194567558604247E-03
A.D. 1956-Jul-01, -4.773780660135891E+00, -8.751778670864296E+00,  3.411978114770245E-01,  6.577253578601338E-05, -8.984784122703054E-04, -6.580257975086979E-04
A.D. 1957-Jan-01, -3.904361370914033E+00, -9.207151473548015E+00,  3.168051428910461E-01,  7.202897133128449E-03,  1.492750310601474E-03, -2.340832603777065E-03
A.D. 1957-Jul-01, -3.011946980032323E+00, -9.559679028878479E+00,  2.868610976587800E-01,  5.451375300574816E-03,  2.594419876662065E-03, -2.491298069042885E-03
A.D. 1958-Jan-01, -2.079462129539255E+00, -9.827564736717296E+00,  2.560726136101811E-01,  9.931562398573141E-03, -2.287599851181466E-03, -5.752596096364680E-05
A.D. 1958-Jul-01, -1.136208262087879E+00, -9.993688377874424E+00,  2.214568346904892E-01,  1.002697846601698E-02,  3.083517745072925E-05, -1.025683157618062E-03
A.D. 1959-Jan-01, -1.717650393769496E-01, -1.006166521905170E+01,  1.830624578233962E-01,  5.673178812630711E-03, -4.443290363206661E-03,  2.049911249677769E-03
A.D. 1959-Jul-01,  7.833017983934630E-01, -1.003588491728781E+01,  1.452992376177440E-01,  7.593059981073964E-03, -3.481944529155326E-03,  1.621698790013896E-03
A.D. 1960-Jan-01,  1.747884490207563E+00, -9.905887477839622E+00,  1.024063331052902E-01,  6.603674710172678E-04, -4.551015632962493E-04,  9.712184330078004E-04
A.D. 1960-Jul-01,  2.681683121823505E+00, -9.689808937577567E+00,  6.400751998893785E-02,  7.881129370500374E-03, -2.183641057953064E-03,  1.432288872238777E-03
A.D. 1961-Jan-01,  3.602012399012504E+00, -9.366591237202000E+00,  1.943660082379940E-02,  6.064399626822394E-04,  1.269181800084772E-04,  1.187125547652194E-03
A.D. 1961-Jul-01,  4.470004956138462E+00, -8.962667417919722E+00, -2.162785247473422E-02,  1.688937142251738E-03, -8.041224686525274E-04,  1.811294013973416E-03
A.D. 1962-Jan-01,  5.314180298455479E+00, -8.461978005253203E+00, -6.426425108108834E-02,  9.674254937039167E-04,  6.161261747409465E-03, -1.574157352850353E-03
A.D. 1962-Jul-01,  6.085876982449136E+00, -7.885317123913358E+00, -1.053053194402837E-01, -4.404997322440623E-04,  5.148381192866223E-03, -6.850230208332347E-04
A.D. 1963-Jan-01,  6.811844579760279E+00, -7.224668314328038E+00, -1.435308101800772E-01,  6.055819363197007E-03,  7.549302132540524E-03, -2.419903842361909E-03
A.D. 1963-Jul-01,  7.456185926692010E+00, -6.496778227857626E+00, -1.825042381299115E-01,  3.716486688016440E-03,  8.511086851849177E-03, -2.518864512656779E-03
A.D. 1964-Jan-01,  8.029552433460923E+00, -5.693896512332405E+00, -2.177150802503779E-01,  7.701656791304000E-03,  3.492017286209021E-03, -1.291581307518198E-04
A.D. 1964-Jul-01,  8.521721562669111E+00, -4.835392585985129E+00, -2.540859602948595E-01,  2.243454605644195E-03,  9.189249915206459E-03, -2.449701275834115E-03
A.D. 1965-Jan-01,  8.920690692141127E+00, -3.922552731155030E+00, -2.841166613146889E-01,  6.796076239225637E-03,  4.532364960090106E-03, -3.677268409702661E-04
A.D. 1965-Jul-01,  9.224005461793661E+00, -2.980360543100027E+00, -3.128118567395489E-01,  6.014511068018368E-03,  6.526117253912308E-03, -1.268657172207822E-03
A.D. 1966-Jan-01,  9.425641164332063E+00, -1.988093444851190E+00, -3.391827174797191E-01,  1.857781238606560E-03,  1.165820978256150E-03,  2.014710393874752E-03
A.D. 1966-Jul-01,  9.526274630627642E+00, -9.942964407461704E-01, -3.600238955135796E-01,  3.130247524969224E-03,  1.903257538113777E-03,  1.502020252722793E-03
A.D. 1967-Jan-01,  9.521745380927664E+00,  3.250157545369513E-02, -3.801998752733504E-01, -4.592021471592246E-03,  3.643198166988085E-03,  1.362643793707193E-03
A.D. 1967-Jul-01,  9.407734237207087E+00,  1.036728737336825E+00, -3.927980081652707E-01, -3.861901587605260E-03,  2.195369795833091E-03,  1.988172608100610E-03
A.D. 1968-Jan-01,  9.188527115707521E+00,  2.046149041324858E+00, -4.021810648499270E-01, -5.023922182155975E-03,  8.600678603301173E-03, -1.330230700231892E-03
A.D. 1968-Jul-01,  8.853027419280279E+00,  3.019781524985725E+00, -4.053548871095920E-01, -4.585387160417409E-03,  1.631561829713122E-03,  2.142585165600955E-03
A.D. 1969-Jan-01,  8.417447814358512E+00,  3.968442506870661E+00, -4.053325548518783E-01, -6.550544919229727E-03,  7.841046783627233E-03, -1.048985959368542E-03
A.D. 1969-Jul-01,  7.881049568667128E+00,  4.853605411914747E+00, -3.997514779361537E-01, -7.967782060364022E-03,  5.959901639019438E-03, -1.059526575209165E-04
A.D. 1970-Jan-01,  7.241390747006508E+00,  5.687903562058707E+00, -3.869606838509734E-01, -2.017827265245815E-03,  8.366845371502611E-03, -2.183225845409566E-03
A.D. 1970-Jul-01,  6.519850390764483E+00,  6.443156522271361E+00, -3.721611779139102E-01, -4.492095208715215E-03,  8.309370407068365E-03, -2.137282824392683E-03
A.D. 1971-Jan-01,  5.698810184294032E+00,  7.123672764753513E+00, -3.496321859116533E-01,  2.174013759153851E-04,  2.968839990695030E-03, -1.115417306192121E-04
A.D. 1971-Jul-01,  4.823345986702694E+00,  7.705144064366243E+00, -3.251582101735200E-01, -4.353339349481136E-04,  4.243859356769976E-03, -9.901038115888066E-04
A.D. 1972-Jan-01,  3.863913913650300E+00,  8.197164034994547E+00, -2.965576979273789E-01, -4.248727319196414E-03, -1.915437996002871E-03,  2.279409321401497E-03
A.D. 1972-Jul-01,  2.873439981100145E+00,  8.571202777859739E+00, -2.628722583645708E-01, -1.215282079653958E-03,  3.528828469881681E-03, -1.162716052695103E-03
A.D. 1973-Jan-01,  1.823568477601760E+00,  8.838631414176072E+00, -2.264861892136283E-01, -4.131663647654335E-03, -3.048269496841392E-03,  2.201855314829470E-03
A.D. 1973-Jul-01,  7.719611389582831E-01,  8.981661309605006E+00, -1.866484712334784E-01, -2.503082322602939E-03, -2.828478214132855E-03,  1.595729153692099E-03
A.D. 1974-Jan-01, -3.079770038700102E-01,  9.011559028277588E+00, -1.465766139250558E-01, -9.800789575010500E-03, -2.621886327976438E-03,  1.878500820845504E-03
