epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.007366877021711E+00,  2.500428636239023E+00,  3.139899195289680E-01, -1.785925444367175E-03, -5.384986882634746E-03,  1.656643123746291E-04
A.D. 1950-Jul-01, -9.277111897610270E+00,  1.513153532971537E+00,  3.420156910301058E-01, -1.192934724246231E-03, -5.513071104675841E-03,  1.437560227277523E-04
A.D. 1951-Jan-01, -9.440914473210794E+00,  4.916877334470077E-01,  3.664293881161954E-01, -5.873364685171404E-04, -5.578745883764977E-03,  1.214560691156571E-04
A.D. 1951-Jul-01, -9.493450911544842E+00, -5.188149368008492E-01,  3.862272688860111E-01,  6.175805390642367E-06, -5.576889438507955E-03,  9.732232849694612E-05
A.D. 1952-Jan-01, -9.437789944892163E+00, -1.540045868382314E+00,  4.019062876655633E-01,  5.966334617883786E-04, -5.513402943664846E-03,  7.309277020579500E-05
A.D. 1952-Jul-01, -9.277002914808385E+00, -2.533075119940515E+00,  4.129101769062619E-01,  1.167040027796103E-03, -5.389670941555109E-03,  4.793532115579549E-05
A.D. 1953-Jan-01, -9.011141497744349E+00, -3.508908119310544E+00,  4.194275570851915E-01,  1.718501939992603E-03, -5.208138244293730E-03,  2.299770541776102E-05
A.D. 1953-Jul-01, -8.652694536372081E+00, -4.431395100844515E+00,  4.213281691273295E-01,  2.237327005055822E-03, -4.977060106114903E-03, -1.685072706561353E-06
A.D. 1954-Jan-01, -8.195160433122226E+00, -5.321671339771045E+00,  4.187185711470300E-01,  2.730226077827851E-03, -4.692039719057080E-03, -2.652219511276251E-05
A.D. 1954-Jul-01, -7.659465900392919E+00, -6.142255409139661E+00,  4.117818249665501E-01,  3.182645371244577E-03, -4.368543619390342E-03, -4.977957536029894E-05
A.D. 1955-Jan-01, -7.034658183672302E+00, -6.912413929711769E+00,  4.004166818126982E-01,  3.601810785535202E-03, -3.996459501864396E-03, -7.354532969966984E-05
A.D. 1955-Jul-01, -6.348356023639387E+00, -7.600110061181135E+00,  3.851651642688068E-01,  3.973936570165115E-03, -3.596779631453152E-03, -9.470992109681044E-05
A.D. 1956-Jan-01, -5.585693304184058E+00, -8.221817667115191E+00,  3.657255838665450E-01,  4.307987455340230E-03, -3.155834607886728E-03, -1.163534281317813E-04
A.D. 1956-Jul-01, -4.775091948338656E+00, -8.754616518536949E+00,  3.428272850495301E-01,  4.591655782641060E-03, -2.694681353216644E-03, -1.350538019903765E-04
A.D. 1957-Jan-01, -3.907428477474211E+00, -9.205522919844864E+00,  3.162340979942532E-01,  4.831172414850207E-03, -2.202986605314349E-03, -1.537584385494044E-04
A.D. 1957-Jul-01, -3.015441435262201E+00, -9.559265565097995E+00,  2.869774149378340E-01,  5.016440076628936E-03, -1.702693978193314E-03, -1.694294512183154E-04
A.D. 1958-Jan-01, -2.078715455981460E+00, -9.824555842881065E+00,  2.544037304696286E-01,  5.156555789330262E-03, -1.178815761831426E-03, -1.844048669678449E-04
A.D. 1958-Jul-01, -1.136917058731748E+00, -9.990614685460903E+00,  2.198946262950307E-01,  5.241504771985876E-03, -6.541542505846266E-04, -1.968901705971797E-04
A.D. 1959-Jan-01, -1.682634538872258E-01, -1.006155810225830E+01,  1.826631221203673E-01,  5.278720510068161E-03, -1.161956613987886E-04, -2.075876548202674E-04
A.D. 1959-Jul-01,  7.863881805814502E-01, -1.003452650066020E+01,  1.442749208291394E-01,  5.262007995563688E-03,  4.152085492974175E-04, -2.165423463576625E-04
A.D. 1960-Jan-01,  1.749178737238211E+00, -9.908837303921429E+00,  1.038427975574170E-01,  5.194739798939327E-03,  9.500109999397456E-04, -2.226798255789318E-04
A.D. 1960-Jul-01,  2.684557877479249E+00, -9.688140117306567E+00,  6.283675053101506E-02,  5.076043035047920E-03,  1.473702838529714E-03, -2.276760325283481E-04
A.D. 1961-Jan-01,  3.603670158023817E+00, -9.369407768602724E+00,  2.076332523767007E-02,  4.906070099261291E-03,  1.988340589768480E-03, -2.293064871427500E-04
A.D. 1961-Jul-01,  4.472773740637295E+00, -8.964701143359379E+00, -2.082905289310841E-02,  4.690030867194887E-03,  2.480532353697823E-03, -2.299352840423590E-04
A.D. 1962-Jan-01,  5.311703519193976E+00, -8.464080699739633E+00, -6.290129833086951E-02,  4.421121514294978E-03,  2.956855545223340E-03, -2.269516996387454E-04
