julian, epoch, x, y, z, vx, vy, vz, LT, RG, RR
2433282.500000000, A.D. 1950-Jan-01,0,0,0,0,0,0,0,0,0
2433463.500000000, A.D. 1950-Jul-01,0,0,0,0,0,0,0,0,0
2433647.500000000, A.D. 1951-Jan-01,0,0,0,0,0,0,0,0,0
2433828.500000000, A.D. 1951-Jul-01,0,0,0,0,0,0,0,0,0
2434012.500000000, A.D. 1952-Jan-01,0,0,0,0,0,0,0,0,0
2434194.500000000, A.D. 1952-Jul-01,0,0,0,0,0,0,0,0,0
2434378.500000000, A.D. 1953-Jan-01,0,0,0,0,0,0,0,0,0
2434559.500000000, A.D. 1953-Jul-01,0,0,0,0,0,0,0,0,0
2434743.500000000, A.D. 1954-Jan-01,0,0,0,0,0,0,0,0,0
2434924.500000000, A.D. 1954-Jul-01,0,0,0,0,0,0,0,0,0
2435108.500000000, A.D. 1955-Jan-01,0,0,0,0,0,0,0,0,0
2435289.500000000, A.D. 1955-Jul-01,0,0,0,0,0,0,0,0,0
2435473.500000000, A.D. 1956-Jan-01,0,0,0,0,0,0,0,0,0
2435655.500000000, A.D. 1956-Jul-01,0,0,0,0,0,0,0,0,0
2435839.500000000, A.D. 1957-Jan-01,0,0,0,0,0,0,0,0,0
2436020.500000000, A.D. 1957-Jul-01,0,0,0,0,0,0,0,0,0
2436204.500000000, A.D. 1958-Jan-01,0,0,0,0,0,0,0,0,0
2436385.500000000, A.D. 1958-Jul-01,0,0,0,0,0,0,0,0,0
2436569.500000000, A.D. 1959-Jan-01,0,0,0,0,0,0,0,0,0
2436750.500000000, A.D. 1959-Jul-01,0,0,0,0,0,0,0,0,0
2436934.500000000, A.D. 1960-Jan-01,0,0,0,0,0,0,0,0,0
2437116.500000000, A.D. 1960-Jul-01,0,0,0,0,0,0,0,0,0
2437300.500000000, A.D. 1961-Jan-01,0,0,0,0,0,0,0,0,0
2437481.500000000, A.D. 1961-Jul-01,0,0,0,0,0,0,0,0,0
