epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.005520741015715E+00,  2.499755783318363E+00,  3.141258345161064E-01,  4.048706250534008E-04,  2.658703634896756E-05, -2.818034980595618E-03
A.D. 1950-Jul-01, -9.276230094512940E+00,  1.511544766178678E+00,  3.427330671677074E-01,  4.640598686543265E-03, -3.108227193142386E-03, -1.634964739865987E-03
A.D. 1951-Jan-01, -9.441428036577626E+00,  4.934038426017553E-01,  3.656106156334851E-01, -6.897153810501946E-03, -6.894449321984952E-03,  1.323572632203802E-03
A.D. 1951-Jul-01, -9.492514830709116E+00, -5.173034735270957E-01,  3.853791402653257E-01, -5.745162389053258E-03, -2.619787070759445E-03, -9.785362010426761E-04
A.D. 1952-Jan-01, -9.439051542211423E+00, -1.541341507162420E+00,  4.026865093048019E-01,  5.612695821432379E-03, -9.391643048105041E-03,  1.743249600910969E-03
A.D. 1952-Jul-01, -9.275125534466742E+00, -2.532628881902118E+00,  4.125134017115261E-01, -7.612969744397360E-04,  1.839778663021570E-04, -2.812876946283056E-03
A.D. 1953-Jan-01, -9.013095125214994E+00, -3.508997842207485E+00,  4.196626435413327E-01,  2.355012223564414E-03, -1.095464339959360E-02,  3.113881574700490E-03
A.D. 1953-Jul-01, -8.654238457451232E+00, -4.430258094288191E+00,  4.208750537264523E-01, -1.787076917878754E-03, -9.323200594623783E-03,  2.804757015061162E-03
A.D. 1954-Jan-01, -8.193893325188718E+00, -5.323057749535562E+00,  4.193109016498317E-01,  7.704424178952348E-03, -1.192729970079600E-03, -2.477835615938154E-03
A.D. 1954-Jul-01, -7.659583393920880E+00, -6.143994914812692E+00,  4.126988772293758E-01,  9.690791096695663E-03, -5.030541158484807E-03, -4.731304342013428E-04
A.D. 1955-Jan-01, -7.034149315832530E+00, -6.910739689684091E+00,  3.995131133937006E-01, -2.699751527645492E-03, -2.195823373301223E-03, -2.877314623396545E-04
A.D. 1955-Jul-01, -6.346678019556729E+00, -7.599262979336907E+00,  3.845766881934583E-01,  5.886186733719226E-04,  1.551358165182771E-03, -2.335733949296641E-03
A.D. 1956-Jan-01, -5.587542627806511E+00, -8.222346495291516E+00,  3.661493175132365E-01,  6.507199800753914E-03, -8.747231420884632E-03,  2.508420083523111E-03
A.D. 1956-Jul-01, -4.773179232033120E+00, -8.755079360441478E+00,  3.429184036956779E-01,  6.096261725598853E-03,  2.932074420512034E-03, -3.142640140754909E-03
A.D. 1957-Jan-01, -3.909211866159731E+00, -9.204735454860089E+00,  3.159526472589450E-01,  2.083089761143424E-03, -7.375809039490267E-03,  2.791453230775972E-03
A.D. 1957-Jul-01, -3.016161496592927E+00, -9.557629219974531E+00,  2.861499411744313E-01, -1.066237478476888E-03, -3.604180112082292E-03,  1.365875634549138E-03
A.D. 1958-Jan-01, -2.078376843961909E+00, -9.826270472673899E+00,  2.553117238770642E-01,  1.159247902173450E-02, -4.465111723242845E-04, -1.201550759602039E-03
A.D. 1958-Jul-01, -1.138008057100396E+00, -9.992001898045331E+00,  2.207694923342492E-01,  1.066518089585386E-02, -4.103379417577798E-03,  1.094391550124638E-03
A.D. 1959-Jan-01, -1.668679360759495E-01, -1.006040631874211E+01,  1.818849047128660E-01,  7.019627529365552E-04,  4.227090157223648E-03, -1.989108151460162E-03
A.D. 1959-Jul-01,  7.883468981920401E-01, -1.003459682294236E+01,  1.440807654816938E-01,  5.172043098965724E-03,  6.239242019919467E-03, -3.226910956511008E-03
A.D. 1960-Jan-01,  1.747253349093632E+00, -9.908420838195489E+00,  1.038444725711215E-01,  3.965455614457791E-03, -4.740624844877138E-03,  2.790655776167683E-03
A.D. 1960-Jul-01,  2.685971382010681E+00, -9.689417576143303E+00,  6.333714478915932E-02,  9.605886833566052E-03,  5.520562425597896E-03, -2.693636791123016E-03
A.D. 1961-Jan-01,  3.602559003598385E+00, -9.367919220065076E+00,  2.010842307427122E-02, -4.844518840528483E-04, -1.141911031245446E-03,  1.803486801754312E-03
A.D. 1961-Jul-01,  4.473088827383533E+00, -8.962982116954624E+00, -2.173762293637927E-02, -1.766417215080487E-03,  3.615718367771898E-03, -3.195705009181386E-04
A.D. 1962-Jan-01,  5.311006004344932E+00, -8.465686004985308E+00, -6.199810385100839E-02,  1.053694058356242E-02,  7.079439493580805E-04,  4.997511589522049E-04
A.D. 1962-Jul-01,  6.082846052161420E+00, -7.888856869603297E+00, -1.031486399494433E-01,  6.930325636909395E-03, -1.897617918413985E-03,  2.417508232723409E-03
A.D. 1963-Jan-01,  6.810658313321663E+00, -7.222732844517218E+00, -1.444288284874355E-01,  2.179563721001386E-03,  9.464391296320068E-03, -3.159655411147319E-03
A.D. 1963-Jul-01,  7.454389698819267E+00, -6.497341866219975E+00, -1.820190533098177E-01,  6.604720473456396E-03,  9.047099157671424E-03, -3.201939036115804E-03
A.D. 1964-Jan-01,  8.028778548819918E+00, -5.689648438720866E+00, -2.198615064257552E-01, -1.409123487655888E-03,  4.287358029253803E-04,  2.508319299672548E-03
A.D. 1964-Jul-01,  8.518736871384771E+00, -4.837084643669748E+00, -2.529105982351789E-01,  8.730016271698225E-03,  6.084746032308717E-03, -1.563187474379322E-03
A.D. 1965-Jan-01,  8.920860931013845E+00, -3.917700637853156E+00, -2.866501278612168E-01, -4.582380479558513E-03,  5.015764530243804E-03,  5.924260963661922E-04
A.D. 1965-Jul-01,  9.224122599771535E+00, -2.976068928195222E+00, -3.150392846161192E-01, -3.594841170526043E-03,  9.272430375613745E-03, -1.647653952265590E-03
A.D. 1966-Jan-01,  9.427532513961058E+00, -1.988625221183901E+00, -3.391499933202994E-01,  4.884334848378911E-03,  7.127994128071047E-04,  1.914056619347182E-03
A.D. 1966-Jul-01,  9.527160870258930E+00, -9.923582110105048E-01, -3.611824268947419E-01, -3.588531868392513E-04, -2.471787494390731E-04,  2.918594252423110E-03
A.D. 1967-Jan-01,  9.525328447290752E+00,  2.912742268724171E-02, -3.787478448328168E-01,  1.593789520419212E-03,  1.104141145468100E-02, -3.134149623799819E-03
A.D. 1967-Jul-01,  9.411493794116748E+00,  1.033180479865394E+00, -3.912807464151952E-01,  4.787516268867907E-03,  8.141420519669266E-03, -1.955740046707723E-03
A.D. 1968-Jan-01,  9.185496403752204E+00,  2.045678876715499E+00, -4.016699534534897E-01, -7.746519944857085E-03,  3.949956094178574E-03,  1.378336330399863E-03
A.D. 1968-Jul-01,  8.855526252914791E+00,  3.016421500708452E+00, -4.038182424581930E-01,  4.181517793072434E-03,  3.432708848674020E-03,  2.998975069613051E-04
A.D. 1969-Jan-01,  8.416208616787088E+00,  3.967555911607147E+00, -4.047730778744879E-01, -8.479472269874378E-03,  7.961217408125928E-03, -8.614635949821608E-04
A.D. 1969-Jul-01,  7.882077755315990E+00,  4.851079831135293E+00, -3.985680977643460E-01, -5.339625375476924E-03,  1.034471670234121E-02, -2.610300913654769E-03
A.D. 1970-Jan-01,  7.236166542804880E+00,  5.689010888475202E+00, -3.869898029046493E-01, -2.929858827449775E-03, -1.472101635068256E-03,  2.932903857889174E-03
A.D. 1970-Jul-01,  6.514774430622833E+00,  6.444238893921117E+00, -3.721915389485088E-01, -8.114769590632653E-03, -6.054601735319415E-04,  2.753342096111418E-03
A.D. 1971-Jan-01,  5.700360783050042E+00,  7.125424365338025E+00, -3.506961679399979E-01,  2.232017583685715E-04,  7.202764967445471E-03, -2.166415699057771E-03
A.D. 1971-Jul-01,  4.822082303909342E+00,  7.706384035065443E+00, -3.256796579971654E-01,  1.511268455439092E-03,  2.541967206773044E-03, -1.419176455265305E-04
A.D. 1972-Jan-01,  3.867799512014470E+00,  8.199398942117321E+00, -2.981175104325007E-01, -1.169790491422173E-02,  3.933697197093182E-03, -1.751574860184336E-04
A.D. 1972-Jul-01,  2.870446035636255E+00,  8.572928033924200E+00, -2.634581105170955E-01, -1.098570236737078E-03, -2.587441684876044E-03,  2.176600667069618E-03
A.D. 1973-Jan-01,  1.828548731418544E+00,  8.840379056362865E+00, -2.279099128200398E-01, -9.192048358128414E-03,  6.150245698016864E-03, -2.216511802834466E-03
A.D. 1973-Jul-01,  7.764314506005774E-01,  8.983254982631268E+00, -1.879247040560768E-01, -4.487703591186006E-03,  6.039228791165586E-03, -2.956648492596750E-03
A.D. 1974-Jan-01, -3.076837350613751E-01,  9.009744648967814E+00, -1.456474504516106E-01, -8.508412916688485E-03, -5.362457886335143E-03,  3.295470507768225E-03
A.D. 1974-Jul-01, -1.365688360816140E+00,  8.915538854027343E+00, -1.024280170517161E-01, -1.184554850207485E-02, -2.776631886404266E-03,  1.948928926986756E-03
A.D. 1975-Jan-01, -2.422961762144618E+00,  8.694976186787134E+00, -5.493883816659974E-02,  7.361482327198086E-04, -7.108918297743357E-04, -8.484994270187986E-04
A.D. 1975-Jul-01, -3.433779002697269E+00,  8.366208954213961E+00, -9.072742229660119E-03,  1.268891671548215E-06, -5.547070510747827E-03,  1.437186511988030E-03
A.D. 1976-Jan-01, -4.411632437658814E+00,  7.921960644999333E+00,  3.616937954147346E-02, -9.815320010594618E-03,  1.558613538098950E-03, -1.517984119858862E-03
A.D. 1976-Jul-01, -5.326636661749583E+00,  7.373536804730086E+00,  8.299579792956548E-02, -3.452439128168449E-03, -9.017197706861671E-03,  3.106364109294005E-03
A.D. 1977-Jan-01, -6.174186065584959E+00,  6.723059626148623E+00,  1.277760700387794E-01, -4.476146888344017E-03,  2.004676501488009E-03, -2.830654647068226E-03
A.D. 1977-Jul-01, -6.933175040723725E+00,  5.995043001933674E+00,  1.712931024263203E-01,  5.184788316883935E-04, -1.942655713358877E-04, -2.343550793990674E-03
A.D. 1978-Jan-01, -7.617375007110669E+00,  5.181312898983591E+00,  2.114036378030144E-01, -8.785487512140051E-03, -7.717199233046711E-03,  2.433507993291287E-03
A.D. 1978-Jul-01, -8.191237475691640E+00,  4.313302724404120E+00,  2.491638872458049E-01, -9.358755658055988E-03, -3.793975262888037E-03,  2.828720602650324E-04
A.D. 1979-Jan-01, -8.674280823627086E+00,  3.373192729186784E+00,  2.865707483811911E-01,  3.785161279128344E-03, -7.526684736889610E-03,  6.906171883754007E-04
A.D. 1979-Jul-01, -9.044228228843361E+00,  2.411399896331377E+00,  3.176717589827291E-01,  1.099852131868076E-03, -1.078553874815536E-02,  2.607747259465486E-03
A.D. 1980-Jan-01, -9.305622661522079E+00,  1.404475407156136E+00,  3.448753204503032E-01, -2.729987090233821E-03,  2.110090598048190E-04, -2.582937255109629E-03
A.D. 1980-Jul-01, -9.461181870314995E+00,  3.910881604161612E-01,  3.688516432738933E-01, -2.649174894080640E-03, -1.105922162770728E-02,  3.053702937455246E-03
A.D. 1981-Jan-01, -9.499565297071701E+00, -6.398507299659227E-01,  3.889787481249299E-01,  3.397160574198350E-03, -6.554462189238292E-04, -2.668952340456591E-03
A.D. 1981-Jul-01, -9.433890207964200E+00, -1.645969951906929E+00,  4.043743537254487E-01,  6.955007782519458E-03, -4.124337178015334E-03, -1.125987247360703E-03
A.D. 1982-Jan-01, -9.259405651755742E+00, -2.645858259912760E+00,  4.131731240776390E-01, -5.283651398636244E-03, -5.597241808924691E-03,  6.585499003204620E-04
A.D. 1982-Jul-01, -8.983915279007338E+00, -3.604334836735245E+00,  4.191011278211053E-01, -3.258053239593085E-03, -1.351697672061525E-03, -1.642623664572946E-03
A.D. 1983-Jan-01, -8.609386331673416E+00, -4.540949859276902E+00,  4.219238617073268E-01,  6.409626047123329E-03, -9.598133513205032E-03,  2.141257529997986E-03
A.D. 1983-Jul-01, -8.147126629483235E+00, -5.410591362924653E+00,  4.181091380601063E-01,  2.242325523245210E-03, -1.037572545165052E-02,  3.137132787343584E-03
