epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -9.000325437497253E+00,  2.503707609090388E+00,  3.116188761953352E-01, -3.294900788882884E-03, -2.785029855898620E-03, -1.034258449520907E-03
A.D. 1950-Jul-01, -9.284450149034525E+00,  1.517001859448161E+00,  3.407289239935910E-01, -2.655348681652885E-03, -7.915150335875374E-03,  1.526298549799066E-03
A.D. 1951-Jan-01, -9.433109446503353E+00,  4.900190664258352E-01,  3.665442968200139E-01,  1.007680114957296E-04, -2.746371745595346E-03, -1.409387117678673E-03
A.D. 1951-Jul-01, -9.496880419151216E+00, -5.118807433060096E-01,  3.829696560467537E-01, -2.848926962143750E-03, -6.584945312620207E-03,  8.922668047646688E-04
A.D. 1952-Jan-01, -9.433001985628609E+00, -1.545839146793524E+00,  4.044436279292767E-01,  3.219762015821264E-03, -3.830236611147634E-03, -1.048676923022703E-03
A.D. 1952-Jul-01, -9.278199110497003E+00, -2.525675170682130E+00,  4.091980761829629E-01, -1.937556953666649E-03, -5.625306184571339E-03,  4.671647310218838E-04
A.D. 1953-Jan-01, -9.008504987351740E+00, -3.515668018199396E+00,  4.226704302146403E-01,  4.813678487604648E-03, -4.323172887377881E-03, -7.310317406044996E-04
A.D. 1953-Jul-01, -8.648613458982558E+00, -4.425204188297894E+00,  4.177364888494869E-01, -4.765246613832181E-04, -3.395268040580996E-03, -5.596053831961064E-04
A.D. 1954-Jan-01, -8.198126926682644E+00, -5.328204226659211E+00,  4.223799420883022E-01,  5.780720299126587E-03, -5.814153505820344E-03,  2.614185968806808E-04
A.D. 1954-Jul-01, -7.651936423363058E+00, -6.140011560872582E+00,  4.099007752916617E-01,  2.117341818912471E-03, -1.597089393165528E-03, -1.380317011198573E-03
A.D. 1955-Jan-01, -7.041845234156619E+00, -6.915624371805686E+00,  4.027645262495702E-01,  5.205747094785167E-03, -6.516126188279407E-03,  1.075061760794361E-03
A.D. 1955-Jul-01, -6.340915768428432E+00, -7.602846510003067E+00,  3.858662922445296E-01,  5.152434081387132E-03, -9.041248366381608E-04, -1.599174220228519E-03
A.D. 1956-Jan-01, -5.593894708708151E+00, -8.220251426271842E+00,  3.657025452388920E-01,  3.837889031421336E-03, -5.902071277055807E-03,  1.347781444059399E-03
A.D. 1956-Jul-01, -4.768864040621178E+00, -8.759203878243756E+00,  3.446001285217409E-01,  6.636555279447416E-03, -4.661597631237559E-04, -1.482635035366548E-03
A.D. 1957-Jan-01, -3.914959340421206E+00, -9.202002208513129E+00,  3.151378832033792E-01,  3.510043832303862E-03, -4.673976135663137E-03,  1.249649012957493E-03
A.D. 1957-Jul-01, -3.014024269375374E+00, -9.566285806680265E+00,  2.904680639136323E-01,  8.240862977199339E-03, -1.262305545082595E-03, -7.065685386916451E-04
A.D. 1958-Jan-01, -2.082527373134209E+00, -9.817768896306896E+00,  2.512639421233335E-01,  2.368742294852325E-03, -2.317174233617800E-03,  6.715342943505194E-04
A.D. 1958-Jul-01, -1.141014117654482E+00, -9.996649862343892E+00,  2.234062056848720E-01,  8.072337811742703E-03, -2.161561061350222E-03,  3.096214293604229E-04
A.D. 1959-Jan-01, -1.667567521593334E-01, -1.005436502329232E+01,  1.788023618501392E-01,  2.191430068503830E-03,  5.828247030420555E-04, -2.716446554173954E-04
A.D. 1959-Jul-01,  7.786666107447509E-01, -1.003675306869782E+01,  1.461685611644936E-01,  6.435202196349367E-03, -2.258846452713793E-03,  1.051897612100378E-03
A.D. 1960-Jan-01,  1.755333248417998E+00, -9.904359412312465E+00,  1.009365410891647E-01,  3.169530377514794E-03,  3.255789306472986E-03, -1.218762701283204E-03
A.D. 1960-Jul-01,  2.676290284377544E+00, -9.688312087513347E+00,  6.372258650342826E-02,  5.358115921172414E-03, -1.333736719861741E-03,  1.195574154968745E-03
A.D. 1961-Jan-01,  3.611042544059141E+00, -9.366819711669653E+00,  1.871503402127491E-02,  3.685462424195157E-03,  4.714704590654313E-03, -1.520235435762604E-03
A.D. 1961-Jul-01,  4.465808928275548E+00, -8.960291190127972E+00, -2.243567048523607E-02,  2.977522317758618E-03,  2.254050218265582E-04,  1.100607558108324E-03
