epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.244158947757128E+00,  1.890524451588498E+01,  8.728108916125443E-02, -3.319858698686372E-03, -2.923064466665843E-04,  2.048000473076259E-03
A.D. 1950-Jul-01, -1.956994501996864E+00,  1.881186269567965E+01,  9.291593247119782E-02, -5.667861864935578E-03, -5.668957990056080E-05,  1.119026196469462E-03
A.D. 1951-Jan-01, -2.681529921419707E+00,  1.869077552317082E+01,  1.038039003048777E-01, -4.233608599222878E-03, -3.780882900395029E-04,  2.096109955545232E-03
A.D. 1951-Jul-01, -3.386915920865329E+00,  1.854315426360304E+01,  1.100862646399682E-01, -5.945865764641651E-03, -4.162320896429695E-04,  2.019097527267271E-04
A.D. 1952-Jan-01, -4.103892312766453E+00,  1.836705911849959E+01,  1.198376089043056E-01, -5.062847888309154E-03, -5.407704081709717E-04,  1.703016009656811E-03
A.D. 1952-Jul-01, -4.804004771019647E+00,  1.816454325775289E+01,  1.272059383126317E-01, -5.760921485586355E-03, -6.695136533170533E-04,  7.161804867736573E-04
A.D. 1953-Jan-01, -5.507870365674854E+00,  1.793331737215391E+01,  1.370944490815409E-01, -4.526550878780865E-03, -9.026090315942664E-04,  1.967056234928342E-03
A.D. 1953-Jul-01, -6.187697419958698E+00,  1.767750163770266E+01,  1.432642940445154E-01, -5.794576292751289E-03, -1.075059012170384E-03, -2.414928846936308E-04
A.D. 1954-Jan-01, -6.874769633648100E+00,  1.739185372752902E+01,  1.517733634246237E-01, -5.208200437317720E-03, -1.106131580959488E-03,  1.400655960908064E-03
A.D. 1954-Jul-01, -7.534691919783222E+00,  1.708312107317967E+01,  1.590670518275509E-01, -5.361549202521298E-03, -1.564104505954145E-03, -1.145904349353989E-03
A.D. 1955-Jan-01, -8.199804348708724E+00,  1.674408406041179E+01,  1.659980947444706E-01, -5.548682585302459E-03, -1.412519014096027E-03,  5.447776145172335E-04
A.D. 1955-Jul-01, -8.836010090898686E+00,  1.638402297094107E+01,  1.743928501433034E-01, -4.537433219595073E-03, -2.088314615806232E-03, -1.796149109226490E-03
A.D. 1956-Jan-01, -9.474098072138265E+00,  1.599321471243309E+01,  1.797725171779082E-01, -5.435860135934941E-03, -1.817779761804791E-03, -4.203078418471026E-04
A.D. 1956-Jul-01, -1.008704849290539E+01,  1.558147196186717E+01,  1.870696038789687E-01, -4.788450622148378E-03, -2.225070295087464E-03, -1.483676537501150E-03
A.D. 1957-Jan-01, -1.069438409052518E+01,  1.514136949106904E+01,  1.923926283311005E-01, -5.297189666851798E-03, -2.000437508216457E-03,  1.037128782849456E-04
A.D. 1957-Jul-01, -1.127002453511649E+01,  1.468445339637492E+01,  2.002756957933591E-01, -3.792715832843217E-03, -2.728578410762975E-03, -1.972870103735871E-03
A.D. 1958-Jan-01, -1.184173222648243E+01,  1.419744028827114E+01,  2.040618840944658E-01, -4.939221786731096E-03, -2.419611808937172E-03, -8.459280619023252E-04
A.D. 1958-Jul-01, -1.238223468512995E+01,  1.369648054814911E+01,  2.123742422330362E-01, -2.635595998770427E-03, -3.184910590433502E-03, -2.025461514118953E-03
A.D. 1959-Jan-01, -1.291424439725171E+01,  1.316553710415070E+01,  2.149798547324448E-01, -4.160636050031552E-03, -2.883377187811743E-03, -1.610394536082262E-03
A.D. 1959-Jul-01, -1.341646283627014E+01,  1.262361870298591E+01,  2.230060323959302E-01, -1.524337295480037E-03, -3.548104531545188E-03, -1.643182133984278E-03
A.D. 1960-Jan-01, -1.390520935398126E+01,  1.205206900225714E+01,  2.248848643538267E-01, -3.077793777645307E-03, -3.341735191100137E-03, -2.022674496784291E-03
A.D. 1960-Jul-01, -1.436711641583589E+01,  1.146868382395556E+01,  2.303842740075332E-01, -1.745800662034017E-03, -3.689536105918173E-03, -1.908502707271828E-03
