epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -2.909079238423207E+01, -8.409687959409398E+00,  8.420222291182111E-01, -5.908697584513491E-04, -4.769099138936501E-03, -1.040311906318024E-03
A.D. 1950-Jul-01, -2.893052453269212E+01, -8.947727759334049E+00,  8.513791179684913E-01,  2.336453187866930E-03, -4.185730734882232E-03, -1.671900850017820E-03
A.D. 1951-Jan-01, -2.875882938326144E+01, -9.496305134835449E+00,  8.564027535222052E-01, -1.385238172279574E-03, -3.896550253419160E-03,  1.142491123175150E-04
A.D. 1951-Jul-01, -2.857718850764394E+01, -1.002768796327930E+01,  8.643723413766252E-01,  8.891826566468925E-04, -4.808236149236624E-03, -1.667670631794228E-03
A.D. 1952-Jan-01, -2.838760502315735E+01, -1.056838211215718E+01,  8.703510761060660E-01, -1.134593573909529E-03, -2.607671942408865E-03,  1.239111187543328E-03
A.D. 1952-Jul-01, -2.818674883063452E+01, -1.109748707896320E+01,  8.764517467834217E-01, -1.232924240254475E-03, -2.961608144846410E-03,  9.546279933443174E-04
A.D. 1953-Jan-01, -2.797563110323821E+01, -1.162622406672471E+01,  8.853125530770533E-01,  2.561455629179748E-03, -1.070811669675574E-03,  1.155570106613592E-03
A.D. 1953-Jul-01, -2.775693196511265E+01, -1.214691179001227E+01,  8.890294960669671E-01, -2.482687968107925E-04, -1.708038413479018E-03,  1.736918382859198E-03
A.D. 1954-Jan-01, -2.752372537531439E+01, -1.266719525649951E+01,  8.967601024754878E-01,  3.612296043947984E-03, -1.821260971034291E-03, -2.833811986120015E-06
A.D. 1954-Jul-01, -2.728742233566253E+01, -1.317975999023484E+01,  9.006297111604612E-01,  1.393483224694478E-03, -9.561907402418671E-04,  1.755626552708883E-03
A.D. 1955-Jan-01, -2.703259161979285E+01, -1.369220918214993E+01,  9.061793698603443E-01,  3.628425046111920E-03, -3.013394721962542E-03, -1.151250479228832E-03
A.D. 1955-Jul-01, -2.677793678993613E+01, -1.419502148493039E+01,  9.107092476806024E-01,  3.008541060596018E-03, -1.016009710334037E-03,  9.980824398206245E-04
A.D. 1956-Jan-01, -2.650291760936772E+01, -1.469975836104576E+01,  9.137166639613924E-01,  2.652089613220673E-03, -4.100215462746746E-03, -1.775518155878722E-03
A.D. 1956-Jul-01, -2.622514524169300E+01, -1.519426926148542E+01,  9.177932376143610E-01,  3.093286455259104E-03, -3.784864732170469E-03, -1.679607204880212E-03
A.D. 1957-Jan-01, -2.593540886623210E+01, -1.569204228670563E+01,  9.189069534764587E-01, -6.865100781564526E-04, -3.754443853556522E-03,  4.758310923451595E-06
A.D. 1957-Jul-01, -2.563839627003140E+01, -1.617131887577069E+01,  9.231896437051671E-01,  1.684586069423054E-03, -4.475743020286248E-03, -1.735371955063374E-03
A.D. 1958-Jan-01, -2.533161718033976E+01, -1.665703596858028E+01,  9.251496602958272E-01, -5.457979763915231E-04, -2.463559392966577E-03,  1.162005965479283E-03
A.D. 1958-Jul-01, -2.501507181597990E+01, -1.712548872326855E+01,  9.274711785954464E-01,  2.650388484078374E-04, -4.354086194109363E-03, -1.004953641056920E-03
A.D. 1959-Jan-01, -2.469041140642943E+01, -1.759715637887032E+01,  9.306528062725212E-01,  5.938936636613635E-04, -1.231672687251241E-03,  1.807820434727682E-03
A.D. 1959-Jul-01, -2.435606740482127E+01, -1.805434195457426E+01,  9.310488322461744E-01, -4.904274608731917E-04, -3.444599205233102E-03,  1.846751572555086E-04
A.D. 1960-Jan-01, -2.401253779310651E+01, -1.851076786072862E+01,  9.349795974605861E-01,  2.267308174525710E-03, -5.719311079093077E-04,  1.648880635640474E-03
A.D. 1960-Jul-01, -2.366149397156702E+01, -1.895698838651778E+01,  9.357581020119183E-01,  1.846874993122485E-03, -6.221678608923846E-04,  1.778123935916888E-03
A.D. 1961-Jan-01, -2.329514547143279E+01, -1.939822625346125E+01,  9.374228831799664E-01,  4.271548782808885E-03, -2.456993423904480E-03, -1.114682775477373E-03
A.D. 1961-Jul-01, -2.293215302524231E+01, -1.982866268113995E+01,  9.378876301993662E-01,  3.468179427853984E-03, -5.441761954550467E-04,  1.061109188575641E-03
A.D. 1962-Jan-01, -2.254888220403333E+01, -2.025684078338436E+01,  9.369787442088644E-01,  3.362834900540425E-03, -3.561919410834365E-03, -1.796327907780404E-03
A.D. 1962-Jul-01, -2.217033364283953E+01, -2.067125289940893E+01,  9.380720471983371E-01,  4.447048717416010E-03, -1.260539961978718E-03, -1.338770730399190E-04
A.D. 1963-Jan-01, -2.177265657817846E+01, -2.108632284388079E+01,  9.350443101430597E-01,  1.883825303119932E-03, -4.114589872084973E-03, -1.673803748372791E-03
A.D. 1963-Jul-01, -2.137825280471040E+01, -2.148452066617289E+01,  9.361852980979349E-01,  4.388367950900866E-03, -2.421214870879902E-03, -1.273430411725440E-03
A.D. 1964-Jan-01, -2.096812747317081E+01, -2.188577464331670E+01,  9.321496647617681E-01,  5.306733000313479E-04, -3.835536210710459E-03, -8.012118776337314E-04
A.D. 1964-Jul-01, -2.055576677715918E+01, -2.227213903846661E+01,  9.308060050179923E-01,  9.255507351081438E-04, -3.939085656499314E-03, -1.110694136054532E-03
A.D. 1965-Jan-01, -2.013582284109724E+01, -2.265620840655262E+01,  9.298969072592241E-01,  9.819201153565555E-04, -8.715627663124936E-04,  1.782195268621918E-03
A.D. 1965-Jul-01, -1.970976586057789E+01, -2.302557782703078E+01,  9.264646571145633E-01,  6.702942100071458E-05, -3.098817315822326E-03,  7.423680475342038E-05
A.D. 1966-Jan-01, -1.927514529348935E+01, -2.339202310573349E+01,  9.264036543101251E-01,  2.599758700077783E-03, -1.034739467891117E-04,  1.682215276398442E-03
A.D. 1966-Jul-01, -1.883670265790842E+01, -2.374710075511807E+01,  9.216069475215161E-01,  2.275229865182975E-04, -1.779361657568142E-03,  1.223709207049439E-03
A.D. 1967-Jan-01, -1.838637957469437E+01, -2.409593158038574E+01,  9.212960700149222E-01,  4.122156763367926E-03, -1.572489820931523E-04,  8.202410528425199E-04
A.D. 1967-Jul-01, -1.793642137302770E+01, -2.443555000676225E+01,  9.160303095447836E-01,  1.365821336863832E-03, -5.227542460733798E-04,  1.820005649963074E-03
A.D. 1968-Jan-01, -1.747037867874724E+01, -2.476725261378415E+01,  9.141872226145393E-01,  4.905012810525753E-03, -9.703888215199199E-04, -4.206038513377701E-04
A.D. 1968-Jul-01, -1.700505584852299E+01, -2.508986084109755E+01,  9.101208272709423E-01,  4.835916300371185E-03, -5.996648532932446E-04, -6.517454135322627E-05
A.D. 1969-Jan-01, -1.652491216441410E+01, -2.540792337725107E+01,  9.032183568742317E-01,  2.486001571205647E-03, -3.554369333449720E-03, -1.747675602386535E-03
A.D. 1969-Jul-01, -1.605082597754950E+01, -2.570965970152771E+01,  9.004916799853850E-01,  4.869381077867208E-03, -1.721166458870348E-03, -1.238028537364949E-03
A.D. 1970-Jan-01, -1.556053930439986E+01, -2.601103025467366E+01,  8.924809509225451E-01,  1.087572839859405E-03, -3.365968825763965E-03, -9.114383976077525E-04
A.D. 1970-Jul-01, -1.507311392183551E+01, -2.629371130453385E+01,  8.889685030728881E-01,  3.910509078098843E-03, -2.808977000683339E-03, -1.870629679499812E-03
A.D. 1971-Jan-01, -1.457382680343749E+01, -2.657657669115036E+01,  8.811452266470162E-01,  3.938786758692939E-04, -2.394385019857556E-03,  3.233971710305314E-04
A.D. 1971-Jul-01, -1.407399520346212E+01, -2.684046396412560E+01,  8.760203146829677E-01,  2.415186011176051E-03, -3.338528818580083E-03, -1.679046996144704E-03
A.D. 1972-Jan-01, -1.356590655460598E+01, -2.710290201699528E+01,  8.693131777082218E-01,  7.376469496230487E-04, -1.021486167761213E-03,  1.402118762228046E-03
A.D. 1972-Jul-01, -1.305483481816095E+01, -2.735056576560215E+01,  8.624141244508047E-01,  5.757622289966207E-04, -1.343268113358148E-03,  1.143273974054693E-03
A.D. 1973-Jan-01, -1.253489170941404E+01, -2.758834677010184E+01,  8.582628939143639E-01,  4.366358855192412E-03,  5.240869768228835E-04,  8.875000585266355E-04
A.D. 1973-Jul-01, -1.201834443621411E+01, -2.781674324333880E+01,  8.491453997505608E-01,  1.600672439985124E-03, -2.173591346296411E-05,  1.798040753044416E-03
A.D. 1974-Jan-01, -1.148752924211429E+01, -2.803364607106306E+01,  8.435954765870233E-01,  5.207427347033264E-03, -1.940797310345034E-04, -3.542254321983057E-04
A.D. 1974-Jul-01, -1.096480448864946E+01, -2.824186351896139E+01,  8.348538226724982E-01,  3.179007045288140E-03,  7.726864278908276E-04,  1.629419689369537E-03
A.D. 1975-Jan-01, -1.042481125893138E+01, -2.843913692484694E+01,  8.269801520099068E-01,  5.011011682937047E-03, -1.342726115985437E-03, -1.459215777372377E-03
A.D. 1975-Jul-01, -9.896072060058996E+00, -2.862633910345582E+01,  8.190510680397659E-01,  4.627619270544324E-03,  7.363152638976020E-04,  7.094183243211925E-04
A.D. 1976-Jan-01, -9.349202366142558E+00, -2.880504966540162E+01,  8.087033751620900E-01,  3.885359306425640E-03, -2.367911705158811E-03, -1.932579946901823E-03
A.D. 1976-Jul-01, -8.809015174211719E+00, -2.897200610589206E+01,  8.000553064119711E-01,  4.302408790100437E-03, -2.030707766753393E-03, -1.886130602706844E-03
A.D. 1977-Jan-01, -8.261106454312019E+00, -2.913390997976853E+01,  7.885371246929695E-01,  6.987938320321677E-04, -1.881152193094499E-03,  2.156969237727218E-04
A.D. 1977-Jul-01, -7.716371905749684E+00, -2.927833525990440E+01,  7.800309622918435E-01,  2.814983005659674E-03, -2.651549856369759E-03, -1.753716534182009E-03
A.D. 1978-Jan-01, -7.164800129120686E+00, -2.941934501735532E+01,  7.696817041115865E-01,  9.111564887465311E-04, -5.198129422837102E-04,  1.333458180962536E-03
