epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.242872632943502E+00,  1.890470549902066E+01,  8.543487441851030E-02, -5.448681994422993E-03,  1.929762950213390E-04,  2.192801420803980E-03
A.D. 1950-Jul-01, -1.953928776894453E+00,  1.881143218519806E+01,  9.461070692455596E-02, -5.193042660094397E-03, -6.471955315389074E-04, -2.348176715100051E-03
A.D. 1951-Jan-01, -2.680436442720604E+00,  1.869057400709378E+01,  1.040442448483974E-01, -4.270876454376180E-03, -2.901359430448809E-04,  2.675577272969948E-03
A.D. 1951-Jul-01, -3.385635925918142E+00,  1.854308213010625E+01,  1.115485068590759E-01, -6.079776122677736E-03, -6.279112375417012E-04, -1.535044860467194E-03
A.D. 1952-Jan-01, -4.103210530100504E+00,  1.836723723365320E+01,  1.221296269339324E-01, -2.997410886035848E-03, -8.718335447872687E-04,  2.579148336342461E-03
A.D. 1952-Jul-01, -4.804719405436803E+00,  1.816503933037674E+01,  1.295818256067282E-01, -4.305446135772959E-03, -7.156448636821369E-04,  2.648668179415968E-03
A.D. 1953-Jan-01, -5.504021399383277E+00,  1.793281829677554E+01,  1.395273694654909E-01, -1.871373672853778E-03, -2.006694468610908E-03, -1.723927353042633E-03
A.D. 1953-Jul-01, -6.189664645649827E+00,  1.767840443448460E+01,  1.465865670783305E-01, -2.992940053271895E-03, -1.286766187221279E-03,  2.611672138062729E-03
A.D. 1954-Jan-01, -6.871207858693097E+00,  1.739147429802707E+01,  1.546083407653474E-01, -2.806490066786125E-03, -2.175207162604328E-03, -2.451724278565584E-03
A.D. 1954-Jul-01, -7.537499476725006E+00,  1.708423968045222E+01,  1.626273703241300E-01, -1.819466952189979E-03, -1.895007635719705E-03,  2.015688709037383E-03
A.D. 1955-Jan-01, -8.197309217079901E+00,  1.674390887284764E+01,  1.686248075573806E-01, -3.914858316848314E-03, -2.214896289493018E-03, -2.625429677153225E-03
A.D. 1955-Jul-01, -8.839038271340907E+00,  1.638511362641090E+01,  1.774277267818646E-01, -1.017328444628670E-03, -2.468136307856090E-03,  9.862240815719232E-04
A.D. 1956-Jan-01, -9.473210642144995E+00,  1.599328464675018E+01,  1.816403605589819E-01, -4.924153220174810E-03, -2.178170429215836E-03, -2.212348822750709E-03
A.D. 1956-Jul-01, -1.008733468207173E+01,  1.558180059576394E+01,  1.889652265678385E-01, -3.551362246742806E-03, -2.655392413212871E-03, -2.640638229148088E-03
A.D. 1957-Jan-01, -1.069569210873361E+01,  1.514193435700365E+01,  1.943332643961823E-01, -4.596027985638387E-03, -1.846068762714871E-03,  2.279267598751967E-03
A.D. 1957-Jul-01, -1.127125759504961E+01,  1.468471266377865E+01,  2.002117637054621E-01, -4.550771152129990E-03, -2.601492514121606E-03, -2.284839358993491E-03
A.D. 1958-Jan-01, -1.184458562400708E+01,  1.419841547390897E+01,  2.065182378030515E-01, -3.226150128291215E-03, -2.297611516878419E-03,  2.679694498322109E-03
A.D. 1958-Jul-01, -1.238416665054537E+01,  1.369662023627986E+01,  2.103762093122417E-01, -5.214589220701561E-03, -2.528164161385750E-03, -1.411583078170205E-03
A.D. 1959-Jan-01, -1.291801932816098E+01,  1.316671040702932E+01,  2.174219205778929E-01, -1.800071855117342E-03, -2.821320268746773E-03,  2.504327957026838E-03
A.D. 1959-Jul-01, -1.341867364355120E+01,  1.262360973841498E+01,  2.195169828811278E-01, -5.355496791450881E-03, -2.504457522022915E-03, -2.243876528058157E-04
A.D. 1960-Jan-01, -1.390909096661545E+01,  1.205318924864614E+01,  2.268007087773897E-01, -5.828035496364516E-04, -3.353410439519452E-03,  1.784626918846149E-03
A.D. 1960-Jul-01, -1.437140865435749E+01,  1.146954862292645E+01,  2.298511378958235E-01, -1.558272340263013E-03, -3.105018691015504E-03,  2.541082569467291E-03
A.D. 1961-Jan-01, -1.481195206443086E+01,  1.086074040993586E+01,  2.332994923919981E-01, -1.618229878202834E-03, -3.870108185015583E-03, -2.528098533568399E-03
