epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01, -1.241439189376733E+00,  1.890453731550977E+01,  8.647936650002229E-02, -3.950104122436834E-03, -4.380172355384342E-04,  4.960170873134319E-05
A.D. 1950-Jul-01, -1.955452150246027E+00,  1.881187769221545E+01,  9.539663701138658E-02, -3.938628646965339E-03, -5.858022794801601E-04,  4.889155882645672E-05
A.D. 1951-Jan-01, -2.678708953707562E+00,  1.869023383952246E+01,  1.043265278245309E-01, -3.921742057731300E-03, -7.364684096954252E-04,  4.811002654732480E-05
A.D. 1951-Jul-01, -3.386613387193925E+00,  1.854349642765496E+01,  1.129659156213572E-01, -3.899287931999538E-03, -8.849276884895637E-04,  4.726167331915469E-05
A.D. 1952-Jan-01, -4.101566351814317E+00,  1.836679945743583E+01,  1.215880964425023E-01, -3.870778791615777E-03, -1.035883516227901E-03,  4.630495626677380E-05
A.D. 1952-Jul-01, -4.803003300216192E+00,  1.816471267865067E+01,  1.299434454362168E-01, -3.836316664112727E-03, -1.184835780345145E-03,  4.538632648183273E-05
A.D. 1953-Jan-01, -5.505202036945348E+00,  1.793289172168582E+01,  1.382019898317342E-01, -3.795255368847204E-03, -1.334893684734488E-03,  4.428319730677790E-05
A.D. 1953-Jul-01, -6.187994630635430E+00,  1.767797225374936E+01,  1.461258916047765E-01, -3.748375187594992E-03, -1.481553179544788E-03,  4.322052832687514E-05
A.D. 1954-Jan-01, -6.872837877397721E+00,  1.739174230489956E+01,  1.539631874360659E-01, -3.694414906952701E-03, -1.629398780036221E-03,  4.189593513998300E-05
A.D. 1954-Jul-01, -7.536239956234159E+00,  1.708379611332759E+01,  1.614431722947782E-01, -3.634893577466622E-03, -1.773002769657837E-03,  4.071302959680155E-05
A.D. 1955-Jan-01, -8.199026829998312E+00,  1.674431137264976E+01,  1.687990122226915E-01, -3.568277503727066E-03, -1.916817374092074E-03,  3.921478947822263E-05
A.D. 1955-Jul-01, -8.838463573103482E+00,  1.638475524417581E+01,  1.757769512987691E-01, -3.496373816090088E-03, -2.055681636618066E-03,  3.790197605331200E-05
A.D. 1956-Jan-01, -9.474633598205534E+00,  1.599373189012694E+01,  1.825944461420594E-01, -3.417443722257833E-03, -2.194033366004172E-03,  3.627654569083024E-05
A.D. 1956-Jul-01, -1.008906091006969E+01,  1.558219279236136E+01,  1.890517643034529E-01, -3.333360304782858E-03, -2.327689598601543E-03,  3.474354635508542E-05
A.D. 1957-Jan-01, -1.069419664445745E+01,  1.514173771029800E+01,  1.952778757160504E-01, -3.243040364421651E-03, -2.459364719826364E-03,  3.298392317535267E-05
A.D. 1957-Jul-01, -1.127272485780663E+01,  1.468515979678962E+01,  2.010952889064903E-01, -3.148538208777769E-03, -2.585126277730030E-03,  3.130705162141145E-05
A.D. 1958-Jan-01, -1.184284714852035E+01,  1.419805611968030E+01,  2.066857455937755E-01, -3.047466629572750E-03, -2.708941933813301E-03,  2.949487064480794E-05
A.D. 1958-Jul-01, -1.238505050136201E+01,  1.369702279146398E+01,  2.118575585727263E-01, -2.942859771618903E-03, -2.826542277396681E-03,  2.768986098852196E-05
A.D. 1959-Jan-01, -1.291641814486278E+01,  1.316626675698565E+01,  2.167737363433584E-01, -2.831844197712770E-03, -2.941798490641640E-03,  2.582023219607389E-05
A.D. 1959-Jul-01, -1.341877927891353E+01,  1.262387828027431E+01,  2.212654031239215E-01, -2.718183941846169E-03, -3.050627534998970E-03,  2.390696945985740E-05
A.D. 1960-Jan-01, -1.390797592098520E+01,  1.205275766705728E+01,  2.254751605421288E-01, -2.598344151099816E-03, -3.156554908683192E-03,  2.197857113210440E-05
A.D. 1960-Jul-01, -1.436977772041272E+01,  1.146910895327393E+01,  2.292784629916727E-01, -2.475817199771174E-03, -3.256362602554136E-03,  1.993342325948557E-05
A.D. 1961-Jan-01, -1.481361730573910E+01,  1.086103102450728E+01,  2.327548926402846E-01, -2.347964809546517E-03, -3.352372777947527E-03,  1.791022971681564E-05
A.D. 1961-Jul-01, -1.522695392266711E+01,  1.024606763979408E+01,  2.358075761833720E-01, -2.218747339861209E-03, -3.441787607915857E-03,  1.595938182428352E-05
A.D. 1962-Jan-01, -1.562285424733548E+01,  9.604787544715888E+00,  2.385351730174266E-01, -2.083930203792662E-03, -3.527759791479469E-03,  1.387436418473285E-05
A.D. 1962-Jul-01, -1.598781257896752E+01,  8.958993741153495E+00,  2.408449859888938E-01, -1.948275737037393E-03, -3.607192755519069E-03,  1.185196561460284E-05
A.D. 1963-Jan-01, -1.633335074327196E+01,  8.288240348592048E+00,  2.428112136546705E-01, -1.807278723895965E-03, -3.682813510273400E-03,  9.751037452292021E-06
A.D. 1963-Jul-01, -1.664764877082428E+01,  7.615304428824484E+00,  2.443672821832920E-01, -1.665452844177271E-03, -3.751951208222138E-03,  7.606700855379525E-06
A.D. 1964-Jan-01, -1.694058529591813E+01,  6.918874095563373E+00,  2.455621897629936E-01, -1.518451019634912E-03, -3.816922547147817E-03,  5.510357485867101E-06
