epoch, x, y, z, vx, vy, vz
A.D. 1950-Jan-01,  9.427793944201103E-02,  7.138887941617102E-01,  4.209010138173755E-03, -2.012121326219054E-02,  2.544987109692214E-03,  1.196676434239236E-03
A.D. 1950-Jul-01,  7.077095840210552E-01,  1.557593070970475E-01, -3.876990069445112E-02, -4.422349873406020E-03,  1.966250935255351E-02,  5.214368783998950E-04
A.D. 1951-Jan-01,  4.463368533400343E-01, -5.744590444205737E-01, -3.355203998553723E-02,  1.583636906422544E-02,  1.233789628962650E-02, -7.477775117290085E-04
A.D. 1951-Jul-01, -3.774063329682101E-01, -6.185915481854334E-01,  1.342903057025849E-02,  1.712515955942779E-02, -1.062695169477819E-02, -1.132923046939918E-03
A.D. 1952-Jan-01, -7.132517190576946E-01,  8.571679183469155E-02,  4.235628009187097E-02, -2.523148685804381E-03, -2.017224639998680E-02, -1.273083026173443E-04
A.D. 1952-Jul-01, -1.715872469897746E-01,  6.979567949544889E-01,  1.935818653348029E-02, -1.970943897116611E-02, -4.941091370703769E-03,  1.071501563478830E-03
A.D. 1953-Jan-01,  5.676084381867892E-01,  4.479825665128561E-01, -2.672020973965184E-02, -1.259269217100228E-02,  1.579058399337602E-02,  9.410830818755648E-04
A.D. 1953-Jul-01,  6.212825681673491E-01, -3.773195258991099E-01, -4.099385847833347E-02,  1.037676655435837E-02,  1.720435967945966E-02, -3.664071865117156E-04
A.D. 1954-Jan-01, -7.158340065221704E-02, -7.231077283105687E-01, -5.656365264677315E-03,  1.999139046526253E-02, -2.071594552636651E-03, -1.182735452229550E-03
A.D. 1954-Jul-01, -6.971111968123265E-01, -1.803465896425583E-01,  3.782238321730388E-02,  4.932764539549264E-03, -1.967336141963694E-02, -5.512942636047304E-04
A.D. 1955-Jan-01, -4.464473949446687E-01,  5.618975477806520E-01,  3.339603893033069E-02, -1.590673618169982E-02, -1.269190083951051E-02,  7.468770045001631E-04
A.D. 1955-Jul-01,  3.842520405767217E-01,  6.110106359975416E-01, -1.391880960809104E-02, -1.718593920625631E-02,  1.067883443062280E-02,  1.137264894059945E-03
A.D. 1956-Jan-01,  7.200497476576981E-01, -9.051913852694785E-02, -4.281467851260801E-02,  2.427869743819093E-03,  1.997695848189776E-02,  1.303381489316210E-04
